### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,37,107,-70.1521,0,255,0,0,100,1,1
1,408,446,-18.3507,0,255,0,0,100,1,1
2,161,196,50.08,0,255,0,0,100,1,1
3,291,473,-32.365,0,255,0,0,100,1,1
4,348,543,25.8554,0,255,0,0,100,1,1
5,87,472,176.678,0,255,0,0,100,1,1
6,256,569,-153.658,0,255,0,0,100,1,1
7,288,439,123.226,0,255,0,0,100,1,1
8,354,25,-151.987,0,255,0,0,100,1,1
9,537,139,107.171,0,255,0,0,100,1,1
10,51,254,148.604,0,255,0,0,100,1,1
11,78,378,-126.312,0,255,0,0,100,1,1
12,450,297,-148.464,0,255,0,0,100,1,1
13,541,542,95.3972,0,255,0,0,100,1,1
14,93,166,-143.968,0,255,0,0,100,1,1
15,515,335,-87.7823,0,255,0,0,100,1,1
16,162,480,97.4644,0,255,0,0,100,1,1
17,522,466,-7.14454,0,255,0,0,100,1,1
18,347,366,-15.5186,0,255,0,0,100,1,1
19,520,561,74.5145,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,369,201,1
1,52,222,1
2,370,454,1
3,568,502,1
4,474,38,1
5,239,407,1
6,378,570,1
7,508,371,1
8,306,263,1
9,24,374,1
10,452,337,1
11,412,60,1
12,413,375,1
13,222,361,1
14,146,80,1
15,527,328,1
16,283,395,1
17,300,464,1
18,344,394,1
19,246,73,1
20,143,431,1
21,554,343,1
22,553,47,1
23,107,321,1
24,528,149,1
25,79,147,1
26,155,102,1
27,171,305,1
28,565,23,1
29,88,253,1
30,321,508,1
31,409,231,1
32,152,49,1
33,323,466,1
34,99,401,1
35,545,280,1
36,298,576,1
37,87,374,0
38,429,323,1
39,94,483,1
40,113,51,1
41,201,63,1
42,510,407,1
43,527,486,1
44,511,530,1
45,354,359,1
46,69,427,1
47,377,240,1
48,51,359,1
49,346,275,1
50,166,555,1
51,578,527,1
52,450,254,1
53,46,495,1
54,174,462,1
55,382,422,1
56,477,271,1
57,227,295,1
58,556,567,1
59,225,260,1
60,261,417,1
61,526,508,1
62,397,409,1
63,139,227,1
64,524,95,1
65,509,168,1
66,279,69,1
67,182,509,1
68,415,557,1
69,149,266,1
70,181,366,1
71,286,184,1
72,233,199,1
73,512,234,1
74,220,54,1
75,376,318,1
76,394,203,1
77,489,388,1
78,386,142,1
79,295,221,1
80,367,278,1
81,131,359,1
82,55,42,1
83,299,21,1
84,246,271,1
85,550,128,1
86,281,37,1
87,459,546,1
88,28,123,1
89,41,441,1
90,346,496,1
91,407,469,1
92,298,107,1
93,106,382,1
94,404,513,1
95,393,548,1
96,127,119,1
97,362,526,1
98,96,63,1
99,284,269,1
100,370,500,1
101,189,408,1
102,563,473,1
103,216,167,1
104,227,531,1
105,207,281,1
106,416,266,1
107,499,269,1
108,113,421,1
109,62,101,1
110,255,472,1
111,333,80,1
112,237,42,1
113,219,123,1
114,469,503,1
115,503,74,1
116,471,80,1
117,84,541,1
118,423,79,1
119,413,199,1
120,79,125,1
121,147,516,1
122,457,431,1
123,305,202,1
124,98,36,1
125,295,546,1
126,498,561,1
127,538,386,1
128,332,246,1
129,386,108,1
130,581,258,1
131,554,364,1
132,133,253,1
133,501,437,1
134,230,456,1
135,199,305,1
136,66,198,1
137,21,348,1
138,337,206,1
139,40,565,1
140,492,188,1
141,204,23,1
142,126,564,1
143,76,341,1
144,31,246,1
145,528,32,1
146,21,524,1
147,463,134,1
148,198,567,1
149,433,413,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
