### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,535,470,-149.658,0,255,0,0,100,1,1
1,406,272,90.4971,0,255,0,0,100,1,1
2,221,30,-136.851,0,255,0,0,100,1,1
3,576,264,173.056,0,255,0,0,100,1,1
4,536,216,-135.964,0,255,0,0,100,1,1
5,120,173,-109.669,0,255,0,0,100,1,1
6,526,232,136.903,0,255,0,0,100,1,1
7,360,422,172.733,0,255,0,0,100,1,1
8,562,192,-76.3338,0,255,0,0,100,1,1
9,203,310,-109.743,0,255,0,0,100,1,1
10,84,454,-150.246,0,255,0,0,100,1,1
11,520,379,-61.2163,0,255,0,0,100,1,1
12,400,433,65.4695,0,255,0,0,100,1,1
13,262,266,137.629,0,255,0,0,100,1,1
14,270,273,177.414,0,255,0,0,100,1,1
15,518,458,114.738,0,255,0,0,100,1,1
16,251,386,156.493,0,255,0,0,100,1,1
17,276,557,19.1706,0,255,0,0,100,1,1
18,40,161,-37.1228,0,255,0,0,100,1,1
19,293,219,159.95,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,267,53,1
1,406,403,1
2,441,333,1
3,229,223,1
4,249,314,1
5,351,97,1
6,109,191,1
7,219,47,1
8,179,117,1
9,363,517,1
10,249,336,1
11,360,231,1
12,226,485,1
13,506,84,1
14,405,456,1
15,247,436,1
16,478,89,1
17,125,392,1
18,286,490,1
19,48,81,1
20,31,125,1
21,269,220,1
22,384,243,1
23,61,363,1
24,199,126,1
25,297,248,1
26,580,257,0
27,271,474,1
28,421,136,1
29,215,175,1
30,415,539,1
31,530,291,1
32,301,361,1
33,166,476,1
34,509,222,1
35,543,527,1
36,464,166,1
37,362,476,1
38,516,522,1
39,378,304,1
40,281,267,1
41,396,530,1
42,159,395,1
43,461,563,1
44,258,550,1
45,342,65,1
46,537,243,1
47,315,498,1
48,105,152,1
49,257,88,1
50,538,115,1
51,119,489,1
52,307,67,1
53,77,567,1
54,286,35,1
55,253,182,1
56,206,402,1
57,517,141,1
58,385,90,1
59,461,398,1
60,43,333,1
61,144,279,1
62,170,501,1
63,200,86,1
64,19,165,1
65,304,184,1
66,413,217,1
67,309,137,1
68,534,96,1
69,447,229,1
70,550,204,1
71,193,219,1
72,129,449,1
73,507,382,1
74,202,375,1
75,564,364,1
76,316,448,1
77,54,165,1
78,284,83,1
79,392,440,1
80,385,138,1
81,434,47,1
82,37,184,1
83,397,163,1
84,351,347,1
85,430,313,1
86,100,476,1
87,438,536,1
88,143,32,1
89,492,475,1
90,49,218,1
91,205,519,1
92,64,467,1
93,286,377,1
94,135,198,1
95,575,30,1
96,178,378,1
97,581,471,1
98,222,106,1
99,31,443,1
100,103,525,1
101,83,392,1
102,286,299,1
103,274,188,1
104,320,28,1
105,580,234,1
106,79,412,1
107,519,196,1
108,221,456,1
109,315,268,1
110,98,125,1
111,466,227,1
112,180,23,1
113,52,264,1
114,363,543,1
115,114,362,1
116,187,552,1
117,510,115,1
118,170,171,1
119,274,523,1
120,87,433,1
121,505,49,1
122,517,414,1
123,516,334,1
124,37,40,1
125,255,399,1
126,111,304,1
127,468,375,1
128,349,368,1
129,425,27,1
130,166,344,1
131,281,321,1
132,356,137,1
133,85,236,1
134,414,478,1
135,316,302,1
136,201,271,1
137,183,298,1
138,172,537,1
139,221,372,1
140,81,342,1
141,496,431,1
142,539,57,1
143,445,153,1
144,396,118,1
145,56,296,1
146,463,461,1
147,476,186,1
148,522,560,1
149,277,158,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
