### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,143,182,40.581,0,255,0,0,100,1,1
1,46,294,-145.987,0,255,0,0,100,1,1
2,127,452,-157.714,0,255,0,0,100,1,1
3,38,222,171.413,0,255,0,0,100,1,1
4,117,551,142.101,0,255,0,0,100,1,1
5,168,326,94.1699,0,255,0,0,100,1,1
6,486,103,-176.056,0,255,0,0,100,1,1
7,192,469,156.907,0,255,0,0,100,1,1
8,72,265,-137.109,0,255,0,0,100,1,1
9,375,542,6.54118,0,255,0,0,100,1,1
10,189,361,97.399,0,255,0,0,100,1,1
11,516,253,-74.3984,0,255,0,0,100,1,1
12,14,382,161.098,0,255,0,0,100,1,1
13,217,83,67.8874,0,255,0,0,100,1,1
14,316,519,-86.9729,0,255,0,0,100,1,1
15,213,486,-21.3414,0,255,0,0,100,1,1
16,94,39,64.5254,0,255,0,0,100,1,1
17,300,514,0.713238,0,255,0,0,100,1,1
18,513,476,139.434,0,255,0,0,100,1,1
19,22,229,-36.2665,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,555,510,1
1,24,528,1
2,283,106,1
3,120,132,1
4,99,242,1
5,554,148,1
6,92,189,1
7,554,406,1
8,454,403,1
9,298,536,1
10,338,399,1
11,431,459,1
12,281,248,1
13,320,509,1
14,166,403,1
15,158,501,1
16,259,382,1
17,494,116,1
18,36,414,1
19,397,244,1
20,446,137,1
21,413,558,1
22,204,115,1
23,53,519,1
24,153,150,1
25,261,553,1
26,371,534,1
27,469,145,1
28,464,521,1
29,375,413,1
30,580,78,1
31,276,189,1
32,562,173,1
33,68,255,1
34,192,98,1
35,243,289,1
36,571,362,1
37,534,162,1
38,390,543,1
39,117,177,1
40,145,94,1
41,51,232,1
42,473,168,1
43,156,549,1
44,330,214,1
45,298,55,1
46,438,299,1
47,401,476,1
48,126,159,1
49,183,193,1
50,70,151,1
51,478,228,1
52,503,315,1
53,282,575,1
54,532,123,1
55,283,325,1
56,327,540,1
57,408,96,1
58,233,443,1
59,568,268,1
60,376,208,1
61,70,320,1
62,315,101,1
63,372,349,1
64,128,216,1
65,373,470,1
66,207,413,1
67,330,174,1
68,97,31,1
69,237,510,1
70,312,574,1
71,150,331,1
72,474,426,1
73,527,511,1
74,115,434,1
75,449,113,1
76,561,560,1
77,531,531,1
78,417,154,1
79,175,304,1
80,256,46,1
81,206,350,1
82,127,564,1
83,268,164,1
84,30,22,1
85,308,214,1
86,94,106,1
87,356,198,1
88,414,497,1
89,441,572,1
90,314,241,1
91,186,287,1
92,28,287,1
93,503,425,1
94,267,279,1
95,52,454,1
96,331,419,1
97,197,540,1
98,145,39,1
99,203,384,1
100,578,137,1
101,412,385,1
102,116,413,1
103,573,311,1
104,306,362,1
105,34,494,1
106,88,483,1
107,172,77,1
108,425,337,1
109,240,554,1
110,98,568,1
111,540,23,1
112,477,339,1
113,428,481,1
114,207,247,1
115,534,87,1
116,415,29,1
117,29,165,1
118,369,147,1
119,270,530,1
120,25,556,1
121,104,162,1
122,564,287,1
123,62,32,1
124,517,466,1
125,25,96,1
126,569,38,1
127,450,204,1
128,194,493,1
129,441,544,1
130,472,206,1
131,503,493,1
132,284,474,1
133,104,222,1
134,173,371,1
135,129,494,1
136,153,253,1
137,243,399,1
138,296,150,1
139,440,83,1
140,559,204,1
141,27,330,1
142,229,165,1
143,277,403,1
144,457,298,1
145,453,373,1
146,150,441,1
147,263,353,1
148,113,281,1
149,498,401,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
