### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,133,368,50.4168,0,255,0,0,100,1,1
1,135,89,116.065,0,255,0,0,100,1,1
2,151,570,146.749,0,255,0,0,100,1,1
3,64,442,5.58416,0,255,0,0,100,1,1
4,543,81,44.2521,0,255,0,0,100,1,1
5,558,82,143.513,0,255,0,0,100,1,1
6,375,74,4.14573,0,255,0,0,100,1,1
7,542,48,60.8238,0,255,0,0,100,1,1
8,34,251,-118.3,0,255,0,0,100,1,1
9,265,240,-109.772,0,255,0,0,100,1,1
10,351,71,157.22,0,255,0,0,100,1,1
11,348,369,-112.155,0,255,0,0,100,1,1
12,538,378,106.485,0,255,0,0,100,1,1
13,61,546,-146.402,0,255,0,0,100,1,1
14,394,287,-90.6761,0,255,0,0,100,1,1
15,499,465,-7.5869,0,255,0,0,100,1,1
16,434,523,-147.602,0,255,0,0,100,1,1
17,173,258,96.5358,0,255,0,0,100,1,1
18,80,383,-80.1115,0,255,0,0,100,1,1
19,561,97,110.573,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,508,58,1
1,397,525,1
2,166,563,1
3,395,556,1
4,289,156,1
5,258,568,1
6,558,466,1
7,207,567,1
8,569,559,1
9,225,42,1
10,570,104,0
11,205,421,1
12,43,393,1
13,471,389,1
14,307,462,1
15,24,78,1
16,427,130,1
17,161,354,1
18,468,203,1
19,318,407,1
20,557,493,1
21,124,89,1
22,179,48,1
23,95,513,1
24,145,401,1
25,174,24,1
26,144,225,1
27,524,126,1
28,239,548,1
29,548,307,1
30,529,53,1
31,358,541,1
32,326,442,1
33,532,233,1
34,302,353,1
35,81,395,1
36,374,392,1
37,24,182,1
38,108,175,1
39,286,93,1
40,286,394,1
41,413,325,1
42,478,306,1
43,545,218,1
44,487,260,1
45,468,126,1
46,305,484,1
47,139,117,1
48,55,115,1
49,109,568,1
50,62,88,1
51,77,114,1
52,342,83,1
53,179,322,1
54,351,122,1
55,405,120,1
56,395,411,1
57,247,27,1
58,254,434,1
59,231,236,1
60,171,219,1
61,487,429,1
62,412,143,1
63,300,304,1
64,478,334,1
65,347,406,1
66,400,59,1
67,440,100,1
68,323,222,1
69,371,129,1
70,41,552,1
71,108,491,1
72,448,218,1
73,300,278,1
74,23,433,1
75,220,294,1
76,450,536,1
77,83,570,1
78,570,306,1
79,379,353,1
80,167,467,1
81,83,492,1
82,439,194,1
83,430,450,1
84,563,523,1
85,52,193,1
86,379,255,1
87,260,549,1
88,272,61,1
89,398,461,1
90,562,364,1
91,128,540,1
92,366,516,1
93,565,23,1
94,63,416,1
95,247,138,1
96,180,522,1
97,199,248,1
98,510,339,1
99,93,295,1
100,193,107,1
101,530,462,1
102,475,31,1
103,250,464,1
104,237,496,1
105,281,509,1
106,208,379,1
107,282,533,1
108,374,156,1
109,294,333,1
110,439,504,1
111,164,495,1
112,348,225,1
113,23,120,1
114,128,501,1
115,384,94,1
116,512,393,1
117,375,34,1
118,148,289,1
119,495,87,1
120,547,565,1
121,523,311,1
122,47,348,1
123,162,60,1
124,40,132,1
125,44,527,1
126,446,422,1
127,520,504,1
128,138,480,1
129,580,472,1
130,146,453,1
131,370,315,1
132,523,430,1
133,401,261,1
134,114,58,1
135,396,302,1
136,329,567,1
137,139,270,1
138,220,397,1
139,113,361,1
140,420,89,1
141,53,256,1
142,409,24,1
143,101,242,1
144,25,299,1
145,357,428,1
146,443,274,1
147,498,484,1
148,457,561,1
149,533,267,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
