### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,329,21,52.0214,0,255,0,0,100,1,1
1,413,218,174.252,0,255,0,0,100,1,1
2,297,193,-177.303,0,255,0,0,100,1,1
3,482,463,-79.0173,0,255,0,0,100,1,1
4,551,68,-85.0205,0,255,0,0,100,1,1
5,384,72,106.219,0,255,0,0,100,1,1
6,17,207,-137.783,0,255,0,0,100,1,1
7,451,211,-41.5429,0,255,0,0,100,1,1
8,282,72,89.9782,0,255,0,0,100,1,1
9,472,565,11.7536,0,255,0,0,100,1,1
10,287,144,157.687,0,255,0,0,100,1,1
11,306,120,45.8633,0,255,0,0,100,1,1
12,403,422,154.559,0,255,0,0,100,1,1
13,78,252,-143.756,0,255,0,0,100,1,1
14,572,31,77.5889,0,255,0,0,100,1,1
15,497,510,-15.1345,0,255,0,0,100,1,1
16,537,516,65.6408,0,255,0,0,100,1,1
17,475,290,151.606,0,255,0,0,100,1,1
18,206,416,23.1572,0,255,0,0,100,1,1
19,225,218,124.366,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,137,59,1
1,573,479,1
2,366,554,1
3,326,42,1
4,381,135,1
5,484,140,1
6,390,382,1
7,486,387,1
8,362,465,1
9,156,136,1
10,543,82,1
11,255,442,1
12,422,506,1
13,71,65,1
14,269,509,1
15,211,278,1
16,224,438,1
17,547,173,1
18,509,479,1
19,474,244,1
20,499,423,1
21,285,302,1
22,424,328,1
23,173,304,1
24,362,317,1
25,295,77,1
26,228,158,1
27,455,432,1
28,200,164,1
29,383,442,1
30,355,168,1
31,435,425,1
32,147,221,1
33,200,564,1
34,455,327,1
35,274,418,1
36,67,195,1
37,490,273,1
38,476,33,1
39,292,377,1
40,316,322,1
41,89,435,1
42,518,136,1
43,353,368,1
44,155,38,1
45,461,82,1
46,414,124,1
47,305,545,1
48,433,26,1
49,201,457,1
50,99,411,1
51,437,370,1
52,410,96,1
53,275,277,1
54,433,174,1
55,123,356,1
56,332,244,1
57,75,473,1
58,193,338,1
59,311,485,1
60,241,208,1
61,395,190,1
62,29,327,1
63,563,543,1
64,389,318,1
65,302,289,1
66,220,137,1
67,542,413,1
68,309,192,1
69,381,41,1
70,410,287,1
71,183,501,1
72,143,378,1
73,138,310,1
74,330,284,1
75,580,70,1
76,144,532,1
77,274,364,1
78,172,164,1
79,549,358,1
80,414,201,1
81,458,105,1
82,154,453,1
83,566,192,1
84,449,49,1
85,335,351,1
86,342,105,1
87,435,552,1
88,264,39,1
89,235,264,1
90,297,219,1
91,51,166,1
92,500,298,1
93,507,101,1
94,518,514,1
95,315,362,1
96,495,353,1
97,59,304,1
98,33,76,1
99,84,495,1
100,529,452,1
101,48,463,1
102,96,558,1
103,115,126,1
104,433,473,1
105,492,560,1
106,134,140,1
107,341,572,1
108,42,356,1
109,572,121,1
110,66,28,1
111,90,343,1
112,193,365,1
113,99,49,1
114,288,473,1
115,376,178,1
116,284,536,1
117,355,415,1
118,75,402,1
119,560,393,1
120,128,200,1
121,473,63,1
122,410,470,1
123,95,165,1
124,244,34,1
125,61,445,1
126,577,341,1
127,311,458,1
128,285,438,1
129,569,93,1
130,565,312,1
131,374,523,1
132,153,261,1
133,235,575,1
134,190,266,1
135,153,559,1
136,53,102,1
137,567,149,1
138,75,557,1
139,348,61,1
140,316,419,1
141,518,331,1
142,276,324,1
143,155,177,1
144,465,306,1
145,188,211,1
146,26,533,1
147,235,391,1
148,253,137,1
149,247,371,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
