### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,61,414,109.107,0,255,0,0,100,1,1
1,453,218,-127.605,0,255,0,0,100,1,1
2,57,451,52.7253,0,255,0,0,100,1,1
3,90,196,-84.5219,0,255,0,0,100,1,1
4,21,241,-74.4417,0,255,0,0,100,1,1
5,347,410,-12.9337,0,255,0,0,100,1,1
6,585,336,91.8436,0,255,0,0,100,1,1
7,161,295,-99.991,0,255,0,0,100,1,1
8,143,326,100.848,0,255,0,0,100,1,1
9,566,270,-4.507,0,255,0,0,100,1,1
10,432,268,-94.8238,0,255,0,0,100,1,1
11,567,432,-146.552,0,255,0,0,100,1,1
12,216,574,-66.908,0,255,0,0,100,1,1
13,122,311,20.1049,0,255,0,0,100,1,1
14,101,228,-71.1504,0,255,0,0,100,1,1
15,411,66,66.7517,0,255,0,0,100,1,1
16,485,24,-77.6892,0,255,0,0,100,1,1
17,157,135,-117.165,0,255,0,0,100,1,1
18,546,526,-65.8143,0,255,0,0,100,1,1
19,518,41,-133.175,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,181,551,1
1,570,219,1
2,579,289,1
3,253,343,1
4,441,305,1
5,394,549,1
6,59,467,1
7,157,394,1
8,85,37,1
9,176,383,1
10,369,161,1
11,466,101,1
12,192,199,1
13,94,434,1
14,88,79,1
15,88,376,1
16,124,230,1
17,94,116,1
18,438,196,1
19,97,472,1
20,555,119,1
21,525,427,1
22,282,54,1
23,59,361,1
24,221,440,1
25,86,563,1
26,150,159,1
27,163,286,1
28,210,555,1
29,390,357,1
30,37,461,1
31,126,172,1
32,436,102,1
33,294,133,1
34,339,467,1
35,468,120,1
36,488,299,1
37,279,373,1
38,449,495,1
39,129,468,1
40,424,561,1
41,344,523,1
42,197,24,1
43,144,134,1
44,212,532,1
45,69,206,1
46,516,368,1
47,404,58,1
48,237,555,1
49,550,505,1
50,382,437,1
51,292,349,1
52,480,230,1
53,291,394,1
54,243,22,1
55,324,116,1
56,402,494,1
57,316,368,1
58,208,292,1
59,507,121,1
60,536,481,1
61,191,467,1
62,509,452,1
63,90,177,1
64,565,409,1
65,494,249,1
66,486,46,1
67,352,29,1
68,31,484,1
69,520,407,1
70,70,530,1
71,403,325,1
72,458,427,1
73,342,157,1
74,462,348,1
75,543,462,1
76,29,274,1
77,153,183,1
78,235,519,1
79,194,328,1
80,140,485,1
81,521,141,1
82,198,437,1
83,579,363,1
84,211,255,1
85,363,105,1
86,478,160,1
87,133,567,1
88,319,40,1
89,508,45,1
90,417,293,1
91,200,508,1
92,436,414,1
93,24,353,1
94,308,496,1
95,330,572,1
96,245,157,1
97,155,461,1
98,363,503,1
99,70,162,1
100,491,91,1
101,63,138,1
102,452,75,1
103,218,411,1
104,123,132,1
105,449,56,1
106,558,574,1
107,559,30,1
108,201,154,1
109,400,220,1
110,146,542,1
111,192,267,1
112,336,387,1
113,496,568,1
114,473,256,1
115,23,524,1
116,276,74,1
117,167,362,1
118,240,384,1
119,60,492,1
120,374,86,1
121,468,444,1
122,112,534,1
123,232,298,1
124,350,424,1
125,39,164,1
126,119,109,1
127,502,227,1
128,225,38,1
129,543,53,1
130,256,512,1
131,119,283,1
132,313,76,1
133,374,237,1
134,410,103,1
135,322,243,1
136,97,357,1
137,454,393,1
138,267,206,1
139,246,227,1
140,179,145,1
141,32,98,1
142,387,108,1
143,24,382,1
144,146,438,1
145,532,250,1
146,230,461,1
147,369,457,1
148,308,465,1
149,472,195,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
