### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,398,277,-90.7406,0,255,0,0,100,1,1
1,298,51,26.3463,0,255,0,0,100,1,1
2,434,46,164.63,0,255,0,0,100,1,1
3,397,225,-62.0665,0,255,0,0,100,1,1
4,62,508,83.608,0,255,0,0,100,1,1
5,382,264,-9.02871,0,255,0,0,100,1,1
6,213,560,16.2178,0,255,0,0,100,1,1
7,174,242,-127.851,0,255,0,0,100,1,1
8,100,249,115.264,0,255,0,0,100,1,1
9,216,119,45.2538,0,255,0,0,100,1,1
10,412,194,136.098,0,255,0,0,100,1,1
11,205,446,93.4177,0,255,0,0,100,1,1
12,413,179,-51.6578,0,255,0,0,100,1,1
13,358,449,-152.021,0,255,0,0,100,1,1
14,250,515,-64.711,0,255,0,0,100,1,1
15,23,341,133.319,0,255,0,0,100,1,1
16,293,225,-22.6869,0,255,0,0,100,1,1
17,73,377,29.9912,0,255,0,0,100,1,1
18,172,452,108.603,0,255,0,0,100,1,1
19,288,31,61.9153,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,148,406,1
1,284,520,1
2,470,434,1
3,97,235,1
4,325,30,1
5,358,342,1
6,100,557,1
7,237,471,1
8,80,148,1
9,114,350,1
10,255,447,1
11,49,211,1
12,64,356,1
13,151,571,1
14,208,234,1
15,113,113,1
16,305,457,1
17,578,449,1
18,413,85,1
19,227,260,1
20,173,436,1
21,85,479,1
22,358,291,1
23,229,154,1
24,253,336,1
25,71,187,1
26,149,141,1
27,65,399,1
28,85,577,1
29,488,87,1
30,410,35,1
31,256,533,1
32,252,221,1
33,222,109,1
34,263,135,1
35,562,388,1
36,346,538,1
37,25,151,1
38,449,377,1
39,399,262,1
40,437,444,1
41,560,542,1
42,198,266,1
43,42,427,1
44,250,398,1
45,201,148,1
46,393,180,1
47,319,119,1
48,86,253,1
49,280,104,1
50,329,200,1
51,279,38,1
52,375,398,1
53,559,161,1
54,425,200,1
55,515,275,1
56,67,531,1
57,518,461,1
58,453,115,1
59,418,152,1
60,36,238,1
61,454,517,1
62,500,424,1
63,488,129,1
64,250,156,1
65,493,313,1
66,352,450,0
67,503,495,1
68,561,232,1
69,447,96,1
70,123,561,1
71,284,269,1
72,341,430,1
73,432,495,1
74,423,323,1
75,24,524,1
76,446,247,1
77,51,335,1
78,326,49,1
79,415,517,1
80,368,175,1
81,394,471,1
82,419,233,1
83,189,495,1
84,183,164,1
85,148,280,1
86,58,235,1
87,171,67,1
88,119,495,1
89,256,195,1
90,299,116,1
91,391,571,1
92,80,554,1
93,321,75,1
94,336,108,1
95,415,382,1
96,557,325,1
97,164,198,1
98,441,141,1
99,319,406,1
100,293,204,1
101,83,311,1
102,338,304,1
103,394,221,0
104,29,69,1
105,43,479,1
106,368,313,1
107,172,397,1
108,466,300,1
109,262,507,1
110,442,553,1
111,549,422,1
112,222,448,1
113,271,556,1
114,180,121,1
115,162,231,1
116,124,157,1
117,115,177,1
118,557,288,1
119,51,164,1
120,484,570,1
121,231,185,1
122,305,359,1
123,402,441,1
124,52,35,1
125,154,547,1
126,321,328,1
127,26,575,1
128,52,566,1
129,231,543,1
130,504,195,1
131,513,352,1
132,115,72,1
133,556,565,1
134,575,407,1
135,203,528,1
136,378,517,1
137,436,466,1
138,255,314,1
139,338,181,1
140,375,31,1
141,394,402,1
142,300,96,1
143,63,448,1
144,267,283,1
145,312,150,1
146,323,276,1
147,157,501,1
148,106,538,1
149,353,196,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
