### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,528,527,89.8687,0,255,0,0,100,1,1
1,430,95,-35.7389,0,255,0,0,100,1,1
2,261,387,57.4351,0,255,0,0,100,1,1
3,342,505,43.3033,0,255,0,0,100,1,1
4,418,24,-176.629,0,255,0,0,100,1,1
5,380,21,64.7719,0,255,0,0,100,1,1
6,156,319,42.4766,0,255,0,0,100,1,1
7,117,420,-24.9545,0,255,0,0,100,1,1
8,447,568,-19.6423,0,255,0,0,100,1,1
9,517,52,-50.1326,0,255,0,0,100,1,1
10,92,108,113.503,0,255,0,0,100,1,1
11,275,308,-126.763,0,255,0,0,100,1,1
12,539,544,100.801,0,255,0,0,100,1,1
13,165,538,59.3212,0,255,0,0,100,1,1
14,108,561,-36.0635,0,255,0,0,100,1,1
15,18,260,-54.8192,0,255,0,0,100,1,1
16,346,122,98.3658,0,255,0,0,100,1,1
17,376,346,41.002,0,255,0,0,100,1,1
18,301,60,-23.5301,0,255,0,0,100,1,1
19,357,407,22.7577,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,68,256,1
1,442,493,1
2,556,34,1
3,212,397,1
4,541,360,1
5,471,243,1
6,127,161,1
7,23,411,1
8,33,302,1
9,335,575,1
10,171,575,1
11,436,112,1
12,501,129,1
13,386,223,1
14,211,558,1
15,485,433,1
16,110,34,1
17,100,516,1
18,249,178,1
19,43,73,1
20,215,70,1
21,319,530,1
22,68,322,1
23,573,469,1
24,330,489,1
25,23,99,1
26,165,360,1
27,494,509,1
28,527,87,1
29,465,518,1
30,203,447,1
31,448,291,1
32,49,114,1
33,85,293,1
34,354,280,1
35,351,341,1
36,185,480,1
37,355,240,1
38,558,227,1
39,356,127,0
40,28,531,1
41,392,24,1
42,482,79,1
43,351,215,1
44,514,395,1
45,185,84,1
46,263,524,1
47,462,566,1
48,178,49,1
49,298,282,1
50,450,463,1
51,62,558,1
52,245,344,1
53,386,347,0
54,130,571,1
55,464,89,1
56,123,478,1
57,63,366,1
58,95,56,1
59,74,82,1
60,270,222,1
61,118,291,1
62,38,229,1
63,448,45,1
64,269,185,1
65,421,457,1
66,524,440,1
67,531,40,1
68,258,435,1
69,393,180,1
70,466,58,1
71,502,379,1
72,379,552,1
73,191,274,1
74,416,65,1
75,131,373,1
76,470,491,1
77,162,302,1
78,129,118,1
79,282,505,1
80,510,28,1
81,193,532,1
82,451,337,1
83,214,318,1
84,559,503,1
85,579,84,1
86,141,404,1
87,230,257,1
88,331,246,1
89,196,102,1
90,423,574,1
91,329,274,1
92,465,319,1
93,402,161,1
94,361,522,1
95,164,114,1
96,151,250,1
97,316,474,1
98,118,348,1
99,403,391,1
100,117,398,1
101,549,89,1
102,329,86,1
103,293,31,1
104,81,341,1
105,370,208,1
106,518,498,1
107,327,173,1
108,340,415,1
109,240,482,1
110,116,181,1
111,211,148,1
112,366,50,1
113,261,469,1
114,144,462,1
115,496,151,1
116,408,99,1
117,482,460,1
118,480,108,1
119,467,183,1
120,503,275,1
121,374,77,1
122,250,116,1
123,507,97,1
124,140,276,1
125,530,412,1
126,316,375,1
127,364,326,1
128,449,204,1
129,29,324,1
130,38,368,1
131,348,87,1
132,441,538,1
133,168,220,1
134,425,357,1
135,449,139,1
136,577,287,1
137,18,389,1
138,397,288,1
139,70,472,1
140,474,209,1
141,401,268,1
142,198,348,1
143,249,395,1
144,519,575,1
145,234,98,1
146,101,224,1
147,398,489,1
148,140,141,1
149,453,24,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
