### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,189,243,-42.7893,0,255,0,0,100,1,1
1,223,211,-111.726,0,255,0,0,100,1,1
2,376,383,102.052,0,255,0,0,100,1,1
3,314,308,6.07728,0,255,0,0,100,1,1
4,223,521,41.3707,0,255,0,0,100,1,1
5,308,210,4.95835,0,255,0,0,100,1,1
6,139,393,-12.46,0,255,0,0,100,1,1
7,93,197,-20.4714,0,255,0,0,100,1,1
8,140,83,142.817,0,255,0,0,100,1,1
9,546,13,174.154,0,255,0,0,100,1,1
10,275,328,116.97,0,255,0,0,100,1,1
11,373,133,-102.632,0,255,0,0,100,1,1
12,503,137,69.5924,0,255,0,0,100,1,1
13,220,327,89.6569,0,255,0,0,100,1,1
14,406,13,-69.4418,0,255,0,0,100,1,1
15,555,343,170.374,0,255,0,0,100,1,1
16,390,375,-32.6173,0,255,0,0,100,1,1
17,293,457,-12.526,0,255,0,0,100,1,1
18,35,223,50.5282,0,255,0,0,100,1,1
19,374,483,-21.5235,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,317,504,1
1,161,486,1
2,179,237,1
3,288,502,1
4,171,324,1
5,571,221,1
6,436,93,1
7,162,507,1
8,474,404,1
9,289,385,1
10,554,248,1
11,568,509,1
12,199,171,1
13,535,246,1
14,124,427,1
15,141,351,1
16,238,53,1
17,325,51,1
18,70,112,1
19,153,44,1
20,170,399,1
21,505,107,1
22,481,165,1
23,107,303,1
24,211,88,1
25,355,30,1
26,376,435,1
27,69,263,1
28,499,382,1
29,431,222,1
30,137,171,1
31,104,479,1
32,119,525,1
33,137,404,0
34,160,197,1
35,41,469,1
36,214,418,1
37,293,482,1
38,481,29,1
39,515,61,1
40,456,56,1
41,550,539,1
42,574,24,1
43,395,111,1
44,451,474,1
45,424,536,1
46,171,82,1
47,119,545,1
48,247,170,1
49,219,509,1
50,41,363,1
51,494,144,1
52,37,45,1
53,354,277,1
54,19,191,1
55,73,307,1
56,210,260,1
57,202,350,1
58,237,340,1
59,260,444,1
60,157,153,1
61,181,526,1
62,504,178,1
63,489,454,1
64,54,24,1
65,575,341,1
66,581,577,1
67,200,543,1
68,517,408,1
69,117,373,1
70,111,223,1
71,527,186,1
72,175,419,1
73,142,527,1
74,458,546,1
75,141,288,1
76,220,474,1
77,328,363,1
78,533,551,1
79,435,64,1
80,540,461,1
81,526,302,1
82,520,356,1
83,519,379,1
84,281,203,1
85,562,291,1
86,445,132,1
87,337,565,1
88,158,122,1
89,93,321,1
90,450,379,1
91,369,321,1
92,279,243,1
93,395,189,1
94,273,484,1
95,574,101,1
96,414,429,1
97,402,569,1
98,428,382,1
99,371,225,1
100,84,414,1
101,424,489,1
102,126,69,1
103,181,490,1
104,238,76,1
105,348,90,1
106,164,292,1
107,203,119,1
108,294,267,1
109,454,441,1
110,226,400,1
111,288,163,1
112,257,129,1
113,454,105,1
114,69,171,1
115,308,70,1
116,548,308,1
117,124,113,1
118,201,138,1
119,514,458,1
120,358,576,1
121,148,377,1
122,319,549,1
123,206,384,1
124,314,159,1
125,28,240,1
126,385,59,1
127,162,266,1
128,276,547,1
129,229,294,1
130,387,389,0
131,556,331,1
132,145,241,1
133,468,310,1
134,413,51,1
135,48,325,1
136,351,156,1
137,411,85,1
138,525,111,1
139,389,518,1
140,118,198,1
141,420,322,1
142,324,341,1
143,86,500,1
144,370,190,1
145,267,174,1
146,399,150,1
147,482,274,1
148,580,321,1
149,20,419,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
