### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,402,167,-27.4604,0,255,0,0,100,1,1
1,116,107,-68.9285,0,255,0,0,100,1,1
2,357,208,140.894,0,255,0,0,100,1,1
3,163,98,-120.632,0,255,0,0,100,1,1
4,139,332,16.8478,0,255,0,0,100,1,1
5,427,147,60.2401,0,255,0,0,100,1,1
6,227,532,-101.779,0,255,0,0,100,1,1
7,26,339,166.388,0,255,0,0,100,1,1
8,415,169,48.1358,0,255,0,0,100,1,1
9,38,261,27.4912,0,255,0,0,100,1,1
10,110,392,98.8089,0,255,0,0,100,1,1
11,555,104,115.177,0,255,0,0,100,1,1
12,458,554,-40.1283,0,255,0,0,100,1,1
13,508,63,47.8817,0,255,0,0,100,1,1
14,456,185,-91.9202,0,255,0,0,100,1,1
15,113,258,-147.903,0,255,0,0,100,1,1
16,233,182,-136.401,0,255,0,0,100,1,1
17,153,88,136.965,0,255,0,0,100,1,1
18,44,171,-83.5764,0,255,0,0,100,1,1
19,388,151,-76.3255,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,270,227,1
1,38,239,1
2,577,30,1
3,495,421,1
4,304,513,1
5,406,523,1
6,105,455,1
7,406,273,1
8,41,134,1
9,451,257,1
10,435,187,1
11,492,322,1
12,156,402,1
13,451,334,1
14,244,340,1
15,564,390,1
16,256,303,1
17,299,205,1
18,256,389,1
19,189,116,1
20,321,27,1
21,169,136,1
22,478,254,1
23,457,136,1
24,76,397,1
25,340,546,1
26,435,128,1
27,361,159,1
28,65,30,1
29,379,423,1
30,388,576,1
31,200,88,1
32,109,155,1
33,225,358,1
34,91,262,1
35,318,142,1
36,120,556,1
37,478,490,1
38,137,503,1
39,433,553,1
40,515,508,1
41,226,88,1
42,385,274,1
43,494,64,1
44,380,486,1
45,20,61,1
46,94,72,1
47,371,302,1
48,450,22,1
49,473,78,1
50,402,196,1
51,38,458,1
52,433,360,1
53,298,477,1
54,445,312,1
55,214,506,1
56,101,381,1
57,497,253,1
58,239,34,1
59,547,523,1
60,348,344,1
61,474,392,1
62,275,152,1
63,215,172,1
64,172,211,1
65,229,468,1
66,339,211,1
67,105,284,1
68,328,113,1
69,109,109,0
70,298,371,1
71,379,123,1
72,265,365,1
73,332,504,1
74,427,442,1
75,32,567,1
76,563,289,1
77,205,420,1
78,51,159,1
79,331,447,1
80,528,45,1
81,524,571,1
82,124,222,1
83,324,171,1
84,309,241,1
85,539,385,1
86,141,344,1
87,428,49,1
88,408,445,1
89,520,71,1
90,215,218,1
91,244,285,1
92,73,444,1
93,199,561,1
94,567,512,1
95,503,343,1
96,196,302,1
97,205,338,1
98,30,308,1
99,488,31,1
100,125,285,1
101,291,299,1
102,394,241,1
103,495,285,1
104,356,96,1
105,428,473,1
106,287,124,1
107,246,446,1
108,549,442,1
109,432,334,1
110,470,420,1
111,257,510,1
112,510,158,1
113,478,195,1
114,291,549,1
115,502,234,1
116,531,253,1
117,445,165,1
118,538,316,1
119,561,237,1
120,18,26,1
121,414,399,1
122,81,336,1
123,246,219,1
124,45,353,1
125,562,79,1
126,570,446,1
127,191,40,1
128,353,54,1
129,145,79,1
130,544,487,1
131,217,321,1
132,518,441,1
133,84,362,1
134,524,359,1
135,208,262,1
136,295,414,1
137,96,323,1
138,272,271,1
139,63,316,1
140,517,204,1
141,486,536,1
142,91,38,1
143,351,302,1
144,562,267,1
145,256,470,1
146,218,577,1
147,411,305,1
148,380,509,1
149,190,455,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
