### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,540,407,-122.924,0,255,0,0,100,1,1
1,49,34,-15.8915,0,255,0,0,100,1,1
2,348,454,90.4935,0,255,0,0,100,1,1
3,474,302,-98.8595,0,255,0,0,100,1,1
4,297,242,-165.658,0,255,0,0,100,1,1
5,295,56,-164.213,0,255,0,0,100,1,1
6,230,190,-96.1122,0,255,0,0,100,1,1
7,502,64,64.4578,0,255,0,0,100,1,1
8,370,339,34.4456,0,255,0,0,100,1,1
9,542,523,102.027,0,255,0,0,100,1,1
10,298,345,-156.772,0,255,0,0,100,1,1
11,123,223,-97.1416,0,255,0,0,100,1,1
12,91,539,77.9453,0,255,0,0,100,1,1
13,97,383,17.011,0,255,0,0,100,1,1
14,501,438,-158.754,0,255,0,0,100,1,1
15,481,350,11.9146,0,255,0,0,100,1,1
16,437,314,-71.9661,0,255,0,0,100,1,1
17,123,487,119.256,0,255,0,0,100,1,1
18,489,221,43.9063,0,255,0,0,100,1,1
19,118,437,30.7287,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,323,185,1
1,193,196,1
2,176,561,1
3,503,415,1
4,377,180,1
5,549,302,1
6,392,286,1
7,493,466,1
8,236,30,1
9,113,365,1
10,328,40,1
11,397,518,1
12,425,265,1
13,389,329,1
14,145,406,1
15,110,413,1
16,545,22,1
17,358,249,1
18,442,46,1
19,159,356,1
20,410,216,1
21,349,76,1
22,507,554,1
23,300,569,1
24,323,511,1
25,489,87,1
26,41,357,1
27,382,128,1
28,96,27,1
29,446,149,1
30,435,204,1
31,572,554,1
32,29,212,1
33,402,55,1
34,578,516,1
35,571,304,1
36,110,467,1
37,282,216,1
38,197,365,1
39,548,71,1
40,147,561,1
41,205,43,1
42,431,432,1
43,255,160,1
44,432,358,1
45,478,235,1
46,81,305,1
47,147,197,1
48,20,522,1
49,164,138,1
50,478,179,1
51,205,390,1
52,178,486,1
53,215,274,1
54,286,135,1
55,444,340,1
56,31,460,1
57,465,209,1
58,531,129,1
59,319,434,1
60,61,149,1
61,468,470,1
62,270,333,1
63,187,84,1
64,370,36,1
65,303,367,1
66,310,147,1
67,283,430,1
68,407,89,1
69,300,302,1
70,497,298,1
71,431,391,1
72,174,525,1
73,213,325,1
74,493,249,1
75,532,503,1
76,442,546,1
77,299,511,1
78,401,109,1
79,350,402,1
80,198,490,1
81,278,572,1
82,551,97,1
83,305,114,1
84,543,173,1
85,555,383,1
86,225,487,1
87,379,441,1
88,250,425,1
89,101,523,1
90,364,504,1
91,245,338,1
92,130,130,1
93,433,132,1
94,258,283,1
95,274,191,1
96,49,565,1
97,103,76,1
98,271,59,1
99,346,347,1
100,360,104,1
101,553,445,1
102,86,50,1
103,259,127,1
104,513,147,1
105,560,213,1
106,343,370,1
107,424,337,1
108,415,539,1
109,153,170,1
110,309,271,1
111,459,412,1
112,438,102,1
113,348,55,1
114,203,141,1
115,321,130,1
116,571,146,1
117,389,239,1
118,509,33,1
119,553,328,1
120,514,203,1
121,350,221,1
122,384,481,1
123,59,251,1
124,168,90,1
125,57,275,1
126,191,160,1
127,459,283,1
128,19,442,1
129,559,194,1
130,415,23,1
131,326,226,1
132,87,129,1
133,108,313,1
134,88,480,1
135,225,303,1
136,215,230,1
137,239,204,1
138,310,325,1
139,168,387,1
140,444,248,1
141,206,435,1
142,38,152,1
143,159,278,1
144,277,303,1
145,130,331,1
146,404,310,1
147,335,256,1
148,174,248,1
149,506,347,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
