### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,305,404,92.1816,0,255,0,0,100,1,1
1,484,458,-43.2013,0,255,0,0,100,1,1
2,164,223,52.7128,0,255,0,0,100,1,1
3,499,298,-65.5304,0,255,0,0,100,1,1
4,353,437,-17.5561,0,255,0,0,100,1,1
5,407,48,-44.6747,0,255,0,0,100,1,1
6,128,507,170.865,0,255,0,0,100,1,1
7,85,44,-24.6279,0,255,0,0,100,1,1
8,21,547,36.3062,0,255,0,0,100,1,1
9,366,305,125.372,0,255,0,0,100,1,1
10,332,323,16.9368,0,255,0,0,100,1,1
11,561,374,173.655,0,255,0,0,100,1,1
12,365,118,-117.751,0,255,0,0,100,1,1
13,303,108,55.575,0,255,0,0,100,1,1
14,451,27,168.679,0,255,0,0,100,1,1
15,90,371,90.2805,0,255,0,0,100,1,1
16,366,430,-74.4475,0,255,0,0,100,1,1
17,28,565,75.6578,0,255,0,0,100,1,1
18,84,374,2.94449,0,255,0,0,100,1,1
19,472,277,-25.9684,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,225,507,1
1,160,152,1
2,324,343,1
3,449,206,1
4,347,362,1
5,276,143,1
6,376,217,1
7,384,131,1
8,330,226,1
9,199,131,1
10,257,161,1
11,57,159,1
12,123,153,1
13,151,279,1
14,105,418,1
15,421,98,1
16,73,284,1
17,288,305,1
18,533,300,1
19,186,421,1
20,567,192,1
21,576,274,1
22,238,386,1
23,565,406,1
24,441,305,1
25,40,573,1
26,350,535,1
27,244,407,1
28,559,431,1
29,216,114,1
30,304,70,1
31,18,505,1
32,498,206,1
33,335,78,1
34,221,158,1
35,576,128,1
36,363,69,1
37,491,531,1
38,114,472,1
39,231,250,1
40,257,215,1
41,64,207,1
42,406,401,1
43,106,76,1
44,292,381,1
45,463,129,1
46,21,200,1
47,349,304,1
48,38,67,1
49,120,98,1
50,285,100,1
51,371,295,1
52,356,399,1
53,22,392,1
54,382,31,1
55,357,271,1
56,43,290,1
57,463,231,1
58,456,367,1
59,573,54,1
60,239,141,1
61,46,505,1
62,172,32,1
63,270,122,1
64,171,557,1
65,255,510,1
66,114,50,1
67,87,203,1
68,321,482,1
69,398,496,1
70,325,370,1
71,536,78,1
72,415,197,1
73,259,393,1
74,119,329,1
75,345,141,1
76,228,560,1
77,251,444,1
78,91,22,1
79,72,443,1
80,496,398,1
81,194,376,1
82,196,544,1
83,23,311,1
84,283,469,1
85,278,429,1
86,142,505,1
87,95,381,0
88,276,252,1
89,180,245,1
90,556,116,1
91,84,555,1
92,342,420,1
93,576,322,1
94,50,268,1
95,576,232,1
96,260,566,1
97,561,504,1
98,409,252,1
99,467,568,1
100,481,182,1
101,112,539,1
102,66,377,1
103,427,495,1
104,92,355,1
105,395,313,1
106,524,559,1
107,231,484,1
108,207,191,1
109,546,154,1
110,133,23,1
111,480,265,1
112,378,172,1
113,560,367,0
114,512,132,1
115,446,346,1
116,47,528,1
117,258,269,1
118,421,461,1
119,313,186,1
120,148,465,1
121,412,569,1
122,270,34,1
123,190,151,1
124,221,52,1
125,464,94,1
126,413,119,1
127,546,282,1
128,455,530,1
129,525,268,1
130,394,291,1
131,492,27,1
132,389,106,1
133,68,473,1
134,541,220,1
135,104,506,1
136,515,414,1
137,536,340,1
138,156,46,1
139,315,270,1
140,401,465,1
141,444,152,1
142,364,573,1
143,345,45,1
144,176,179,1
145,421,39,1
146,152,86,1
147,197,479,1
148,477,474,1
149,536,462,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
