### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,452,349,78.2123,0,255,0,0,100,1,1
1,36,176,-31.0172,0,255,0,0,100,1,1
2,99,502,-24.4724,0,255,0,0,100,1,1
3,166,14,-147.36,0,255,0,0,100,1,1
4,207,225,33.8154,0,255,0,0,100,1,1
5,484,89,-8.18432,0,255,0,0,100,1,1
6,219,475,163.022,0,255,0,0,100,1,1
7,252,259,-75.3363,0,255,0,0,100,1,1
8,561,46,-126.766,0,255,0,0,100,1,1
9,263,346,117.004,0,255,0,0,100,1,1
10,396,355,-176.768,0,255,0,0,100,1,1
11,65,39,10.0361,0,255,0,0,100,1,1
12,56,213,-48.2248,0,255,0,0,100,1,1
13,582,127,-97.0456,0,255,0,0,100,1,1
14,469,498,158.606,0,255,0,0,100,1,1
15,437,478,26.7169,0,255,0,0,100,1,1
16,290,556,-74.3897,0,255,0,0,100,1,1
17,14,315,-111.083,0,255,0,0,100,1,1
18,317,49,-142.437,0,255,0,0,100,1,1
19,405,288,98.1322,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,236,424,1
1,165,325,1
2,189,196,1
3,68,252,1
4,494,91,0
5,554,152,1
6,111,99,1
7,193,243,1
8,156,40,1
9,228,322,1
10,85,160,1
11,405,522,1
12,445,289,1
13,462,423,1
14,301,547,1
15,198,375,1
16,191,558,1
17,129,533,1
18,294,30,1
19,367,202,1
20,505,216,1
21,185,300,1
22,46,521,1
23,372,51,1
24,329,315,1
25,80,449,1
26,75,80,1
27,569,296,1
28,483,549,1
29,435,336,1
30,310,488,1
31,438,371,1
32,351,261,1
33,488,398,1
34,388,270,1
35,180,106,1
36,567,91,1
37,310,53,0
38,222,271,1
39,464,385,1
40,237,284,1
41,381,85,1
42,193,427,1
43,401,242,1
44,71,198,1
45,116,509,1
46,212,413,1
47,228,170,1
48,221,389,1
49,392,340,1
50,476,521,1
51,445,104,1
52,231,526,1
53,495,306,1
54,414,330,1
55,549,441,1
56,143,238,1
57,520,536,1
58,86,538,1
59,43,200,1
60,565,187,1
61,258,65,1
62,305,73,1
63,88,245,1
64,133,416,1
65,102,171,1
66,567,553,1
67,170,573,1
68,317,368,1
69,530,112,1
70,545,460,1
71,190,153,1
72,376,455,1
73,152,559,1
74,426,178,1
75,487,266,1
76,511,34,1
77,396,198,1
78,456,335,1
79,428,260,1
80,228,487,1
81,567,483,1
82,380,475,1
83,257,429,1
84,46,127,1
85,205,482,1
86,479,44,1
87,83,472,1
88,428,71,1
89,416,435,1
90,122,434,1
91,155,126,1
92,71,320,1
93,50,94,1
94,56,293,1
95,188,399,1
96,141,152,1
97,517,575,1
98,113,573,1
99,423,42,1
100,334,458,1
101,62,375,1
102,211,133,1
103,336,423,1
104,37,354,1
105,247,189,1
106,326,557,1
107,156,419,1
108,165,392,1
109,483,243,1
110,40,40,1
111,245,472,1
112,70,177,1
113,356,240,1
114,208,25,1
115,384,295,1
116,424,535,1
117,145,499,1
118,541,333,1
119,50,419,1
120,278,276,1
121,148,528,1
122,559,386,1
123,514,260,1
124,447,574,1
125,505,179,1
126,398,486,1
127,364,422,1
128,452,447,1
129,356,465,1
130,362,549,1
131,539,166,1
132,481,120,1
133,273,136,1
134,209,80,1
135,536,38,1
136,454,226,1
137,540,261,1
138,380,388,1
139,206,514,1
140,551,74,1
141,225,117,1
142,570,416,1
143,324,263,1
144,507,351,1
145,461,122,1
146,489,335,1
147,21,113,1
148,349,100,1
149,529,366,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
