### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,21,497,-157.784,0,255,0,0,100,1,1
1,319,81,64.5246,0,255,0,0,100,1,1
2,490,393,-145.365,0,255,0,0,100,1,1
3,478,75,-31.2509,0,255,0,0,100,1,1
4,270,555,-133.366,0,255,0,0,100,1,1
5,345,525,142.251,0,255,0,0,100,1,1
6,205,13,-105.123,0,255,0,0,100,1,1
7,579,344,155.72,0,255,0,0,100,1,1
8,487,72,-103.208,0,255,0,0,100,1,1
9,157,78,166.568,0,255,0,0,100,1,1
10,473,226,32.9935,0,255,0,0,100,1,1
11,422,82,-17.1836,0,255,0,0,100,1,1
12,19,304,63.718,0,255,0,0,100,1,1
13,428,491,-119.594,0,255,0,0,100,1,1
14,314,466,24.026,0,255,0,0,100,1,1
15,434,405,-58.4488,0,255,0,0,100,1,1
16,149,118,137.733,0,255,0,0,100,1,1
17,389,289,-9.18149,0,255,0,0,100,1,1
18,322,145,-16.8336,0,255,0,0,100,1,1
19,211,330,166.896,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,146,373,1
1,132,155,1
2,197,33,1
3,215,406,1
4,395,103,1
5,299,159,1
6,252,278,1
7,201,548,1
8,291,239,1
9,141,347,1
10,205,214,1
11,138,502,1
12,494,339,1
13,450,497,1
14,166,437,1
15,547,420,1
16,527,147,1
17,267,168,1
18,417,249,1
19,23,112,1
20,264,237,1
21,221,529,1
22,82,207,1
23,435,141,1
24,279,385,1
25,197,55,1
26,173,482,1
27,575,446,1
28,424,213,1
29,62,202,1
30,357,136,1
31,252,202,1
32,447,121,1
33,484,393,0
34,444,374,1
35,261,24,1
36,170,215,1
37,213,97,1
38,534,437,1
39,557,561,1
40,139,270,1
41,170,562,1
42,437,516,1
43,542,400,1
44,60,493,1
45,170,170,1
46,180,82,1
47,515,548,1
48,335,263,1
49,341,392,1
50,394,505,1
51,172,34,1
52,197,127,1
53,506,63,1
54,410,487,1
55,386,549,1
56,334,140,1
57,302,29,1
58,489,546,1
59,82,63,1
60,561,337,1
61,73,427,1
62,465,145,1
63,344,571,1
64,490,245,1
65,99,75,1
66,356,377,1
67,283,476,1
68,259,388,1
69,371,25,1
70,262,77,1
71,38,88,1
72,186,351,1
73,176,325,1
74,572,77,1
75,372,259,1
76,386,576,1
77,122,175,1
78,108,35,1
79,322,305,1
80,339,104,1
81,312,217,1
82,311,280,1
83,276,306,1
84,212,68,1
85,119,232,1
86,258,317,1
87,161,360,1
88,538,229,1
89,416,359,1
90,499,87,1
91,371,101,1
92,358,498,1
93,205,291,1
94,118,419,1
95,545,295,1
96,530,57,1
97,143,521,1
98,453,222,1
99,191,189,1
100,54,274,1
101,54,331,1
102,281,498,1
103,334,60,1
104,85,268,1
105,405,202,1
106,231,454,1
107,558,99,1
108,553,178,1
109,423,398,1
110,304,181,1
111,250,151,1
112,79,577,1
113,348,550,1
114,138,419,1
115,29,380,1
116,106,349,1
117,83,464,1
118,56,465,1
119,214,178,1
120,153,67,1
121,572,216,1
122,427,160,1
123,315,260,1
124,495,428,1
125,351,439,1
126,466,93,1
127,59,248,1
128,177,107,1
129,296,49,1
130,560,133,1
131,549,27,1
132,418,274,1
133,82,239,1
134,89,161,1
135,381,353,1
136,234,492,1
137,77,288,1
138,18,80,1
139,247,439,1
140,396,246,1
141,35,255,1
142,493,499,1
143,363,45,1
144,551,64,1
145,67,520,1
146,473,513,1
147,524,260,1
148,536,82,1
149,285,90,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
