### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,226,565,-55.4818,0,255,0,0,100,1,1
1,344,347,97.7569,0,255,0,0,100,1,1
2,39,497,-143.301,0,255,0,0,100,1,1
3,211,184,-99.2706,0,255,0,0,100,1,1
4,468,43,-94.5425,0,255,0,0,100,1,1
5,156,427,-134.309,0,255,0,0,100,1,1
6,461,224,-57.0408,0,255,0,0,100,1,1
7,127,210,-147.964,0,255,0,0,100,1,1
8,491,253,130.239,0,255,0,0,100,1,1
9,163,421,83.1266,0,255,0,0,100,1,1
10,248,501,129.176,0,255,0,0,100,1,1
11,59,533,143.221,0,255,0,0,100,1,1
12,34,179,90.1861,0,255,0,0,100,1,1
13,264,170,23.6526,0,255,0,0,100,1,1
14,271,514,-177.94,0,255,0,0,100,1,1
15,124,539,93.9063,0,255,0,0,100,1,1
16,285,137,164.445,0,255,0,0,100,1,1
17,60,143,69.7652,0,255,0,0,100,1,1
18,482,559,-110.359,0,255,0,0,100,1,1
19,306,140,-108.648,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,159,307,1
1,464,172,1
2,471,125,1
3,405,209,1
4,161,63,1
5,202,201,1
6,487,451,1
7,19,28,1
8,434,391,1
9,106,492,1
10,156,526,1
11,220,33,1
12,105,349,1
13,581,564,1
14,521,438,1
15,117,275,1
16,406,472,1
17,183,113,1
18,357,552,1
19,427,371,1
20,291,350,1
21,448,118,1
22,445,200,1
23,376,264,1
24,148,124,1
25,78,243,1
26,364,492,1
27,402,29,1
28,84,77,1
29,216,524,1
30,51,186,1
31,56,469,1
32,35,99,1
33,493,306,1
34,530,487,1
35,97,304,1
36,82,274,1
37,401,178,1
38,282,492,1
39,555,547,1
40,127,391,1
41,448,486,1
42,246,163,1
43,402,291,1
44,72,59,1
45,372,434,1
46,249,130,1
47,331,268,1
48,334,66,1
49,426,258,1
50,289,92,1
51,24,359,1
52,129,529,1
53,549,200,1
54,409,100,1
55,496,196,1
56,396,238,1
57,445,454,1
58,185,358,1
59,154,212,1
60,209,221,1
61,379,523,1
62,391,326,1
63,182,306,1
64,449,235,1
65,80,190,1
66,501,374,1
67,117,227,1
68,179,473,1
69,308,108,1
70,244,52,1
71,249,481,1
72,318,310,1
73,330,431,1
74,28,408,1
75,573,31,1
76,186,438,1
77,554,498,1
78,397,132,1
79,506,165,1
80,249,315,1
81,117,116,1
82,434,329,1
83,348,357,0
84,579,383,1
85,507,55,1
86,265,182,1
87,184,395,1
88,27,161,1
89,502,33,1
90,134,63,1
91,539,328,1
92,218,75,1
93,50,164,1
94,181,182,1
95,507,104,1
96,167,375,1
97,230,543,1
98,236,354,1
99,555,411,1
100,546,250,1
101,476,100,1
102,577,528,1
103,293,235,1
104,459,543,1
105,27,234,1
106,545,105,1
107,497,401,1
108,270,535,1
109,510,334,1
110,277,407,1
111,122,308,1
112,131,369,1
113,321,460,1
114,536,302,1
115,171,156,1
116,101,251,1
117,518,458,1
118,116,174,1
119,160,495,1
120,106,426,1
121,131,150,1
122,349,327,1
123,495,139,1
124,325,496,1
125,527,50,1
126,49,558,1
127,550,53,1
128,376,222,1
129,41,370,1
130,510,500,1
131,119,78,1
132,276,377,1
133,567,318,1
134,475,223,1
135,576,159,1
136,40,536,1
137,157,236,1
138,126,41,1
139,417,503,1
140,579,210,1
141,478,510,1
142,567,81,1
143,171,288,1
144,455,411,1
145,458,340,1
146,144,472,1
147,92,469,1
148,286,285,1
149,82,527,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
