### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,232,239,-163.303,0,255,0,0,100,1,1
1,323,475,2.66628,0,255,0,0,100,1,1
2,80,223,-102.766,0,255,0,0,100,1,1
3,452,434,10.6266,0,255,0,0,100,1,1
4,189,287,-4.38353,0,255,0,0,100,1,1
5,369,168,-86.6447,0,255,0,0,100,1,1
6,227,504,-40.2525,0,255,0,0,100,1,1
7,149,251,123.835,0,255,0,0,100,1,1
8,169,557,-37.374,0,255,0,0,100,1,1
9,355,42,145.751,0,255,0,0,100,1,1
10,233,248,148.721,0,255,0,0,100,1,1
11,124,304,-86.6554,0,255,0,0,100,1,1
12,197,393,-135.6,0,255,0,0,100,1,1
13,66,390,-82.8123,0,255,0,0,100,1,1
14,498,486,161.166,0,255,0,0,100,1,1
15,564,571,-108.797,0,255,0,0,100,1,1
16,533,454,81.3204,0,255,0,0,100,1,1
17,177,311,-14.6194,0,255,0,0,100,1,1
18,346,284,-90.1761,0,255,0,0,100,1,1
19,563,138,-105.426,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,222,114,1
1,139,208,1
2,515,187,1
3,284,448,1
4,286,298,1
5,74,174,1
6,251,23,1
7,28,184,1
8,248,233,1
9,262,55,1
10,276,489,1
11,331,183,1
12,277,184,1
13,223,331,1
14,80,27,1
15,346,418,1
16,293,334,1
17,255,547,1
18,494,71,1
19,192,51,1
20,301,186,1
21,410,361,1
22,533,391,1
23,198,134,1
24,224,451,1
25,271,323,1
26,406,425,1
27,538,546,1
28,329,514,1
29,409,238,1
30,417,45,1
31,463,37,1
32,53,571,1
33,357,524,1
34,365,485,1
35,176,282,1
36,56,285,1
37,392,226,1
38,393,537,1
39,233,77,1
40,88,213,1
41,101,375,1
42,29,107,1
43,550,39,1
44,374,347,1
45,347,573,1
46,171,149,1
47,248,178,1
48,307,387,1
49,489,361,1
50,460,549,1
51,170,55,1
52,25,535,1
53,515,57,1
54,204,383,1
55,203,514,1
56,178,374,1
57,371,123,1
58,293,239,1
59,158,355,1
60,438,164,1
61,129,36,1
62,182,117,1
63,323,223,1
64,395,75,1
65,485,511,1
66,452,187,1
67,458,312,1
68,453,372,1
69,313,40,1
70,48,551,1
71,134,251,1
72,579,91,1
73,379,286,1
74,269,140,1
75,158,169,1
76,484,482,1
77,259,435,1
78,544,511,1
79,436,223,1
80,458,341,1
81,57,218,1
82,84,115,1
83,41,381,1
84,96,52,1
85,49,334,1
86,332,374,1
87,280,361,1
88,265,247,1
89,441,545,1
90,149,64,1
91,306,298,1
92,539,270,1
93,235,353,1
94,518,30,1
95,286,553,1
96,319,561,1
97,314,324,1
98,401,391,1
99,416,292,1
100,164,99,1
101,403,267,1
102,102,530,1
103,201,551,1
104,140,556,1
105,66,499,1
106,147,510,1
107,496,117,1
108,500,248,1
109,66,345,1
110,35,417,1
111,370,95,1
112,396,339,1
113,289,167,1
114,273,271,1
115,185,437,1
116,303,152,1
117,347,75,1
118,71,154,1
119,51,263,1
120,225,143,1
121,430,124,1
122,344,121,1
123,49,311,1
124,432,84,1
125,472,281,1
126,569,451,1
127,367,382,1
128,410,94,1
129,108,493,1
130,373,236,1
131,515,158,1
132,213,22,1
133,369,326,1
134,326,457,1
135,393,167,1
136,378,306,1
137,581,402,1
138,286,532,1
139,580,43,1
140,347,169,1
141,571,175,1
142,200,488,1
143,163,34,1
144,204,360,1
145,463,94,1
146,365,50,1
147,142,108,1
148,297,410,1
149,146,529,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
