### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,529,83,47.5335,0,255,0,0,100,1,1
1,287,54,-158.869,0,255,0,0,100,1,1
2,15,320,140.16,0,255,0,0,100,1,1
3,324,270,-111.992,0,255,0,0,100,1,1
4,241,64,-110.687,0,255,0,0,100,1,1
5,556,343,-118.578,0,255,0,0,100,1,1
6,385,378,150.423,0,255,0,0,100,1,1
7,48,115,176.766,0,255,0,0,100,1,1
8,498,525,-6.50173,0,255,0,0,100,1,1
9,225,431,-8.06779,0,255,0,0,100,1,1
10,433,530,-112.316,0,255,0,0,100,1,1
11,283,364,-125.095,0,255,0,0,100,1,1
12,542,458,-171.576,0,255,0,0,100,1,1
13,387,212,157.35,0,255,0,0,100,1,1
14,38,201,32.7237,0,255,0,0,100,1,1
15,84,273,31.3728,0,255,0,0,100,1,1
16,143,147,154.621,0,255,0,0,100,1,1
17,190,463,-115.603,0,255,0,0,100,1,1
18,420,516,34.9806,0,255,0,0,100,1,1
19,370,258,94.3916,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,241,569,1
1,85,435,1
2,71,311,1
3,195,297,1
4,106,245,1
5,60,373,1
6,479,394,1
7,375,468,1
8,193,352,1
9,267,112,1
10,319,439,1
11,376,361,1
12,198,267,1
13,141,294,1
14,45,511,1
15,163,143,1
16,25,65,1
17,405,25,1
18,449,139,1
19,107,437,1
20,547,411,1
21,526,182,1
22,213,572,1
23,204,463,1
24,209,42,1
25,232,73,1
26,443,367,1
27,104,459,1
28,463,203,1
29,504,34,1
30,429,298,1
31,28,568,1
32,366,535,1
33,434,468,1
34,125,116,1
35,349,73,1
36,493,133,1
37,388,540,1
38,517,213,1
39,569,533,1
40,184,378,1
41,109,302,1
42,295,190,1
43,479,115,1
44,120,532,1
45,170,577,1
46,462,560,1
47,176,123,1
48,114,176,1
49,399,331,1
50,165,53,1
51,149,97,1
52,313,54,1
53,213,161,1
54,46,104,1
55,330,21,1
56,484,535,1
57,206,239,1
58,373,196,1
59,455,245,1
60,522,150,1
61,309,380,1
62,33,218,1
63,404,139,1
64,551,283,1
65,268,174,1
66,134,358,1
67,273,93,1
68,207,374,1
69,358,296,1
70,517,86,1
71,519,272,1
72,136,77,1
73,48,33,1
74,188,203,1
75,232,150,1
76,347,223,1
77,87,91,1
78,157,72,1
79,26,397,1
80,473,65,1
81,518,57,1
82,539,436,1
83,382,174,1
84,271,341,1
85,266,70,1
86,245,540,1
87,207,193,1
88,147,551,1
89,263,415,1
90,247,461,1
91,557,389,1
92,337,103,1
93,357,248,1
94,36,446,1
95,91,214,1
96,355,369,1
97,487,182,1
98,176,276,1
99,543,103,1
100,324,567,1
101,176,541,1
102,271,45,1
103,366,509,1
104,475,448,1
105,385,390,1
106,366,427,1
107,159,528,1
108,197,25,1
109,421,576,1
110,429,442,1
111,67,532,1
112,245,287,1
113,485,292,1
114,146,483,1
115,473,222,1
116,297,270,1
117,162,391,1
118,45,141,1
119,301,401,1
120,183,224,1
121,73,63,1
122,113,334,1
123,399,369,1
124,247,31,1
125,98,387,1
126,194,430,1
127,304,540,1
128,297,473,1
129,81,366,1
130,248,229,1
131,545,494,1
132,19,290,1
133,451,482,1
134,354,118,1
135,283,234,1
136,385,433,1
137,171,326,1
138,42,298,1
139,549,151,1
140,121,404,1
141,231,123,1
142,227,23,1
143,91,311,1
144,133,428,1
145,32,322,1
146,546,62,1
147,199,531,1
148,280,429,1
149,342,310,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
