### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,164,96,-8.68604,0,255,0,0,100,1,1
1,407,452,162.288,0,255,0,0,100,1,1
2,71,401,-52.8346,0,255,0,0,100,1,1
3,150,478,-130.638,0,255,0,0,100,1,1
4,411,567,70.6692,0,255,0,0,100,1,1
5,63,314,96.8006,0,255,0,0,100,1,1
6,267,154,-24.0942,0,255,0,0,100,1,1
7,436,105,-93.1248,0,255,0,0,100,1,1
8,116,183,143.058,0,255,0,0,100,1,1
9,332,281,-84.4897,0,255,0,0,100,1,1
10,103,121,-100.487,0,255,0,0,100,1,1
11,162,537,-7.54883,0,255,0,0,100,1,1
12,141,493,-154.741,0,255,0,0,100,1,1
13,584,62,-18.8892,0,255,0,0,100,1,1
14,167,345,-130.691,0,255,0,0,100,1,1
15,34,566,-77.4307,0,255,0,0,100,1,1
16,405,217,146.136,0,255,0,0,100,1,1
17,557,131,64.2862,0,255,0,0,100,1,1
18,507,323,-106.365,0,255,0,0,100,1,1
19,100,339,45.3121,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,95,196,1
1,240,134,1
2,375,479,1
3,362,276,1
4,361,165,1
5,72,155,1
6,286,114,1
7,476,225,1
8,84,398,1
9,65,132,1
10,170,72,1
11,455,469,1
12,218,251,1
13,444,398,1
14,278,463,1
15,456,495,1
16,139,71,1
17,458,92,1
18,570,88,1
19,67,186,1
20,545,40,1
21,565,68,1
22,278,67,1
23,231,421,1
24,505,446,1
25,428,555,1
26,342,534,1
27,411,342,1
28,217,480,1
29,558,321,1
30,113,149,1
31,104,465,1
32,542,470,1
33,337,112,1
34,213,330,1
35,562,522,1
36,65,37,1
37,150,547,1
38,289,530,1
39,70,559,1
40,306,345,1
41,404,23,1
42,218,207,1
43,147,42,1
44,101,374,1
45,504,278,1
46,421,402,1
47,21,250,1
48,110,63,1
49,389,222,1
50,484,23,1
51,525,223,1
52,418,213,1
53,392,47,1
54,486,379,1
55,310,51,1
56,147,463,1
57,432,70,1
58,123,455,1
59,507,125,1
60,164,129,1
61,514,478,1
62,201,57,1
63,313,385,1
64,222,349,1
65,393,436,1
66,480,340,1
67,326,460,1
68,199,492,1
69,408,509,1
70,347,289,1
71,478,516,1
72,468,74,1
73,271,238,1
74,263,52,1
75,259,429,1
76,189,345,1
77,302,142,1
78,114,240,1
79,128,409,1
80,417,283,1
81,290,359,1
82,152,399,1
83,280,201,1
84,42,127,1
85,43,146,1
86,293,219,1
87,480,194,1
88,431,298,1
89,40,413,1
90,550,545,1
91,225,164,1
92,474,255,1
93,244,520,1
94,171,252,1
95,322,174,1
96,362,338,1
97,230,225,1
98,431,339,1
99,230,290,1
100,566,449,1
101,96,348,0
102,498,534,1
103,156,307,1
104,308,101,1
105,54,314,1
106,442,527,1
107,259,313,1
108,130,345,1
109,537,256,1
110,430,182,1
111,581,329,1
112,108,211,1
113,41,294,1
114,554,392,1
115,476,483,1
116,285,48,1
117,581,576,1
118,31,230,1
119,129,175,1
120,378,309,1
121,450,347,1
122,252,481,1
123,496,182,1
124,329,253,1
125,246,174,1
126,480,563,1
127,53,348,1
128,80,422,1
129,149,418,1
130,152,94,1
131,522,535,1
132,574,420,1
133,555,229,1
134,137,528,1
135,488,427,1
136,99,504,1
137,228,535,1
138,454,175,1
139,518,380,1
140,270,370,1
141,183,475,1
142,40,37,1
143,241,351,1
144,578,271,1
145,450,321,1
146,372,80,1
147,39,366,1
148,307,30,1
149,544,160,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
