### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,29,522,74.1444,0,255,0,0,100,1,1
1,480,279,168.988,0,255,0,0,100,1,1
2,568,277,-1.65999,0,255,0,0,100,1,1
3,264,176,18.1641,0,255,0,0,100,1,1
4,454,259,-6.407,0,255,0,0,100,1,1
5,140,210,156.787,0,255,0,0,100,1,1
6,258,26,-113.364,0,255,0,0,100,1,1
7,390,296,-179.28,0,255,0,0,100,1,1
8,352,85,-8.36191,0,255,0,0,100,1,1
9,514,118,-81.8084,0,255,0,0,100,1,1
10,488,59,133.207,0,255,0,0,100,1,1
11,42,260,-77.2916,0,255,0,0,100,1,1
12,167,301,-32.1029,0,255,0,0,100,1,1
13,469,362,-83.3382,0,255,0,0,100,1,1
14,478,179,175.085,0,255,0,0,100,1,1
15,352,573,1.79551,0,255,0,0,100,1,1
16,396,107,-97.2353,0,255,0,0,100,1,1
17,586,542,-78.1068,0,255,0,0,100,1,1
18,320,319,-75.6418,0,255,0,0,100,1,1
19,277,473,-52.6266,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,265,159,1
1,371,459,1
2,27,564,1
3,300,163,1
4,246,418,1
5,87,66,1
6,310,301,1
7,430,558,1
8,571,381,1
9,265,545,1
10,312,487,1
11,419,246,1
12,356,135,1
13,531,534,1
14,412,500,1
15,390,249,1
16,216,171,1
17,197,164,1
18,494,474,1
19,390,537,1
20,355,309,1
21,525,311,1
22,316,438,1
23,458,140,1
24,271,331,1
25,221,212,1
26,285,352,1
27,469,468,1
28,254,524,1
29,375,232,1
30,261,289,1
31,161,70,1
32,405,346,1
33,154,141,1
34,475,563,1
35,91,372,1
36,186,441,1
37,414,176,1
38,396,378,1
39,228,268,1
40,297,250,1
41,302,271,1
42,395,287,1
43,262,438,1
44,350,530,1
45,65,241,1
46,565,217,1
47,46,512,1
48,496,519,1
49,132,271,1
50,281,272,1
51,566,449,1
52,469,269,1
53,490,271,1
54,67,138,1
55,277,417,1
56,145,311,1
57,97,91,1
58,461,334,1
59,29,90,1
60,167,100,1
61,204,567,1
62,525,243,1
63,516,394,1
64,289,116,1
65,70,286,1
66,388,512,1
67,415,36,1
68,293,45,1
69,381,21,1
70,352,333,1
71,443,343,1
72,430,143,1
73,515,492,1
74,524,554,1
75,104,115,1
76,301,132,1
77,117,535,1
78,479,349,1
79,88,160,1
80,258,386,1
81,246,163,1
82,84,425,1
83,374,404,1
84,276,467,0
85,264,493,1
86,77,181,1
87,572,97,1
88,46,211,1
89,86,498,1
90,439,47,1
91,132,381,1
92,452,378,1
93,539,156,1
94,344,262,1
95,40,430,1
96,197,349,1
97,74,548,1
98,144,518,1
99,234,331,1
100,455,504,1
101,333,333,1
102,491,82,1
103,204,239,1
104,176,275,1
105,215,86,1
106,118,490,1
107,75,207,1
108,539,122,1
109,25,232,1
110,339,183,1
111,157,175,1
112,387,568,1
113,164,507,1
114,269,35,1
115,326,56,1
116,467,530,1
117,69,347,1
118,448,423,1
119,510,451,1
120,100,451,1
121,132,116,1
122,578,232,1
123,56,387,1
124,367,428,1
125,577,559,1
126,78,259,1
127,442,208,1
128,113,572,1
129,239,440,1
130,59,108,1
131,171,52,1
132,307,100,1
133,23,384,1
134,117,291,1
135,415,274,1
136,301,192,1
137,332,126,1
138,40,188,1
139,395,202,1
140,19,259,1
141,481,159,1
142,106,58,1
143,456,287,1
144,155,483,1
145,171,229,1
146,49,470,1
147,149,393,1
148,298,469,1
149,313,417,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
