### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,111,557,14.5878,0,255,0,0,100,1,1
1,43,398,61.5628,0,255,0,0,100,1,1
2,306,127,-12.2363,0,255,0,0,100,1,1
3,549,252,-101.749,0,255,0,0,100,1,1
4,124,391,128.31,0,255,0,0,100,1,1
5,496,118,-76.9861,0,255,0,0,100,1,1
6,307,547,-174.945,0,255,0,0,100,1,1
7,274,323,82.9276,0,255,0,0,100,1,1
8,487,424,-81.2723,0,255,0,0,100,1,1
9,73,326,-112.269,0,255,0,0,100,1,1
10,166,528,135.529,0,255,0,0,100,1,1
11,211,230,131.678,0,255,0,0,100,1,1
12,271,214,-167.059,0,255,0,0,100,1,1
13,260,356,47.6718,0,255,0,0,100,1,1
14,66,24,39.4645,0,255,0,0,100,1,1
15,47,100,-36.6824,0,255,0,0,100,1,1
16,473,479,-149.473,0,255,0,0,100,1,1
17,167,458,75.9613,0,255,0,0,100,1,1
18,577,157,-164.149,0,255,0,0,100,1,1
19,267,262,-158.234,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,108,442,1
1,38,184,1
2,74,505,1
3,475,328,1
4,503,92,1
5,515,376,1
6,324,151,1
7,576,175,1
8,374,454,1
9,230,181,1
10,579,449,1
11,304,354,1
12,526,106,1
13,103,193,1
14,51,506,1
15,448,63,1
16,91,369,1
17,113,279,1
18,536,513,1
19,72,217,1
20,168,140,1
21,519,443,1
22,346,447,1
23,347,470,1
24,464,187,1
25,363,66,1
26,541,479,1
27,55,577,1
28,162,312,1
29,360,108,1
30,528,313,1
31,391,229,1
32,474,547,1
33,396,61,1
34,146,228,1
35,120,226,1
36,337,353,1
37,382,139,1
38,441,563,1
39,448,286,1
40,407,96,1
41,502,515,1
42,50,217,1
43,160,360,1
44,235,103,1
45,253,323,1
46,321,503,1
47,347,399,1
48,469,210,1
49,544,280,1
50,55,434,1
51,288,26,1
52,494,140,1
53,38,349,1
54,433,91,1
55,237,308,1
56,562,62,1
57,367,166,1
58,111,405,1
59,340,23,1
60,309,120,0
61,451,374,1
62,344,534,1
63,270,235,1
64,535,168,1
65,109,258,1
66,361,236,1
67,467,423,1
68,218,120,1
69,569,92,1
70,123,554,1
71,311,381,1
72,130,134,1
73,520,421,1
74,570,252,1
75,159,576,1
76,548,357,1
77,438,38,1
78,402,200,1
79,218,571,1
80,458,116,1
81,207,160,1
82,312,526,1
83,69,110,1
84,553,236,1
85,121,345,1
86,350,294,1
87,225,83,1
88,403,423,1
89,71,255,1
90,418,220,1
91,517,221,1
92,297,574,1
93,222,549,1
94,179,84,1
95,361,564,1
96,211,257,1
97,120,517,1
98,241,369,1
99,93,321,1
100,558,206,1
101,471,377,1
102,404,505,1
103,270,506,1
104,442,420,1
105,458,491,1
106,331,376,1
107,412,558,1
108,77,300,1
109,21,61,1
110,182,302,1
111,377,368,1
112,563,539,1
113,495,237,1
114,21,280,1
115,214,403,1
116,462,395,1
117,574,229,1
118,281,175,1
119,36,388,1
120,145,506,1
121,566,119,1
122,325,300,1
123,320,411,1
124,133,166,1
125,94,559,1
126,471,55,1
127,235,334,1
128,299,313,1
129,432,304,1
130,455,534,1
131,319,36,1
132,146,468,1
133,242,497,1
134,362,196,1
135,403,160,1
136,556,323,1
137,447,148,1
138,47,549,1
139,540,72,1
140,536,558,1
141,355,131,1
142,85,240,1
143,266,34,1
144,343,174,1
145,308,285,1
146,473,513,1
147,523,148,1
148,192,411,1
149,431,513,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
