### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,586,253,-70.5148,0,255,0,0,100,1,1
1,236,234,121.236,0,255,0,0,100,1,1
2,71,334,14.3193,0,255,0,0,100,1,1
3,123,402,130.838,0,255,0,0,100,1,1
4,382,532,-96.1992,0,255,0,0,100,1,1
5,537,122,48.8235,0,255,0,0,100,1,1
6,309,382,-35.1114,0,255,0,0,100,1,1
7,166,312,164.95,0,255,0,0,100,1,1
8,402,570,54.051,0,255,0,0,100,1,1
9,317,155,115.252,0,255,0,0,100,1,1
10,354,74,164.217,0,255,0,0,100,1,1
11,348,161,-116.025,0,255,0,0,100,1,1
12,471,571,129.62,0,255,0,0,100,1,1
13,20,389,-93.7297,0,255,0,0,100,1,1
14,250,184,-59.4451,0,255,0,0,100,1,1
15,109,290,116.722,0,255,0,0,100,1,1
16,276,551,-41.8785,0,255,0,0,100,1,1
17,219,189,-19.4647,0,255,0,0,100,1,1
18,112,429,-69.2006,0,255,0,0,100,1,1
19,139,405,44.3299,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,442,144,1
1,325,238,1
2,173,132,1
3,484,308,1
4,46,270,1
5,462,86,1
6,85,349,1
7,314,344,1
8,329,574,1
9,438,308,1
10,545,290,1
11,397,100,1
12,114,123,1
13,28,118,1
14,46,337,1
15,472,209,1
16,449,553,1
17,533,202,1
18,50,539,1
19,487,560,1
20,506,499,1
21,110,192,1
22,341,368,1
23,51,56,1
24,216,338,1
25,119,553,1
26,153,530,1
27,276,196,1
28,78,142,1
29,425,68,1
30,523,376,1
31,45,316,1
32,399,32,1
33,503,469,1
34,117,576,1
35,71,443,1
36,142,39,1
37,120,482,1
38,203,152,1
39,87,161,1
40,82,119,1
41,193,273,1
42,358,23,1
43,363,437,1
44,76,202,1
45,521,43,1
46,520,300,1
47,404,251,1
48,261,210,1
49,527,554,1
50,334,539,1
51,20,253,1
52,29,193,1
53,294,558,1
54,188,186,1
55,242,130,1
56,129,319,1
57,177,227,1
58,387,334,1
59,414,270,1
60,39,425,1
61,478,413,1
62,368,326,1
63,438,384,1
64,541,309,1
65,22,86,1
66,572,574,1
67,174,409,1
68,288,268,1
69,373,355,1
70,290,395,1
71,553,60,1
72,362,155,1
73,266,58,1
74,388,423,1
75,170,302,1
76,402,77,1
77,264,464,1
78,203,492,1
79,451,186,1
80,151,59,1
81,306,107,1
82,127,447,1
83,488,342,1
84,444,277,1
85,117,81,1
86,274,287,1
87,155,372,1
88,192,375,1
89,576,209,1
90,566,306,1
91,577,153,1
92,357,267,1
93,306,463,1
94,136,271,1
95,67,268,1
96,300,36,1
97,328,185,1
98,564,402,1
99,181,52,1
100,27,42,1
101,106,390,1
102,309,73,1
103,473,132,1
104,407,356,1
105,337,447,1
106,169,500,1
107,175,364,1
108,426,336,1
109,294,320,1
110,548,489,1
111,497,386,1
112,351,491,1
113,380,223,1
114,406,485,1
115,154,95,1
116,342,472,1
117,446,167,1
118,255,234,1
119,266,146,1
120,239,577,1
121,122,53,1
122,36,232,1
123,249,425,1
124,476,61,1
125,28,327,1
126,368,92,1
127,494,202,1
128,159,167,1
129,169,469,1
130,237,398,1
131,338,419,1
132,200,521,1
133,38,293,1
134,523,119,1
135,405,527,1
136,452,521,1
137,41,464,1
138,437,536,1
139,248,45,1
140,265,405,1
141,86,308,1
142,104,98,1
143,477,452,1
144,150,301,1
145,525,176,1
146,520,65,1
147,326,217,1
148,518,269,1
149,309,508,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
