### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,488,50,-171.196,0,255,0,0,100,1,1
1,79,442,-100.382,0,255,0,0,100,1,1
2,425,570,41.7117,0,255,0,0,100,1,1
3,98,318,-28.0464,0,255,0,0,100,1,1
4,77,24,-79.692,0,255,0,0,100,1,1
5,193,371,-41.0622,0,255,0,0,100,1,1
6,140,398,31.3608,0,255,0,0,100,1,1
7,41,369,-154.7,0,255,0,0,100,1,1
8,402,490,-170.869,0,255,0,0,100,1,1
9,502,341,72.8796,0,255,0,0,100,1,1
10,166,137,97.2165,0,255,0,0,100,1,1
11,567,226,177.731,0,255,0,0,100,1,1
12,344,267,-68.8957,0,255,0,0,100,1,1
13,83,66,-61.3485,0,255,0,0,100,1,1
14,456,251,-115.174,0,255,0,0,100,1,1
15,86,415,-173.192,0,255,0,0,100,1,1
16,282,401,-179.561,0,255,0,0,100,1,1
17,214,37,130.428,0,255,0,0,100,1,1
18,489,471,129.44,0,255,0,0,100,1,1
19,452,227,-46.0304,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,458,417,1
1,210,543,1
2,304,238,1
3,118,81,1
4,559,308,1
5,543,104,1
6,515,452,1
7,219,268,1
8,223,70,1
9,443,177,1
10,145,190,1
11,141,391,0
12,147,241,1
13,466,222,1
14,123,144,1
15,62,307,1
16,216,457,1
17,345,149,1
18,563,88,1
19,560,474,1
20,498,478,0
21,86,105,1
22,461,480,1
23,322,416,1
24,457,341,1
25,34,316,1
26,522,351,1
27,519,573,1
28,577,411,1
29,99,233,1
30,68,467,1
31,291,64,1
32,356,548,1
33,533,502,1
34,331,278,1
35,454,560,1
36,486,84,1
37,79,545,1
38,112,321,1
39,555,336,1
40,381,196,1
41,330,68,1
42,382,560,1
43,422,302,1
44,85,477,1
45,73,177,1
46,467,508,1
47,369,496,1
48,150,509,1
49,196,159,1
50,549,433,1
51,270,502,1
52,200,133,1
53,387,265,1
54,100,297,1
55,86,275,1
56,29,181,1
57,117,32,1
58,253,537,1
59,126,552,1
60,405,104,1
61,396,63,1
62,191,265,1
63,435,246,1
64,173,425,1
65,154,166,1
66,444,275,1
67,179,471,1
68,159,447,1
69,212,29,1
70,73,38,1
71,197,512,1
72,176,36,1
73,65,80,1
74,501,230,1
75,292,339,1
76,513,402,1
77,41,479,1
78,535,219,1
79,430,130,1
80,292,428,1
81,245,155,1
82,529,240,1
83,94,335,1
84,40,573,1
85,414,391,1
86,518,52,1
87,497,297,1
88,531,423,1
89,357,170,1
90,492,524,1
91,73,260,1
92,510,164,1
93,457,447,1
94,513,84,1
95,336,560,1
96,404,182,1
97,182,294,1
98,372,87,1
99,219,312,1
100,326,41,1
101,334,175,1
102,412,222,1
103,247,226,1
104,38,265,1
105,65,227,1
106,52,149,1
107,574,175,1
108,479,571,1
109,301,544,1
110,166,64,1
111,90,134,1
112,133,439,1
113,22,513,1
114,372,60,1
115,297,257,1
116,516,208,1
117,342,522,1
118,347,253,1
119,224,390,1
120,175,214,1
121,246,349,1
122,484,460,1
123,567,534,1
124,174,150,1
125,220,339,1
126,352,281,1
127,278,565,1
128,462,26,1
129,114,385,1
130,476,139,1
131,376,419,1
132,49,458,1
133,143,533,1
134,549,558,1
135,465,309,1
136,518,314,1
137,22,111,1
138,133,491,1
139,221,418,1
140,415,502,1
141,109,58,1
142,110,426,1
143,188,387,1
144,502,435,1
145,292,104,1
146,439,151,1
147,383,165,1
148,160,90,1
149,127,222,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
