### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,582,261,90.896,0,255,0,0,100,1,1
1,394,202,-132.013,0,255,0,0,100,1,1
2,479,242,-97.4513,0,255,0,0,100,1,1
3,305,351,144.76,0,255,0,0,100,1,1
4,532,104,-56.3862,0,255,0,0,100,1,1
5,426,191,-172.576,0,255,0,0,100,1,1
6,480,421,119.375,0,255,0,0,100,1,1
7,274,124,-140.393,0,255,0,0,100,1,1
8,407,474,84.7533,0,255,0,0,100,1,1
9,128,451,146.422,0,255,0,0,100,1,1
10,311,448,156.041,0,255,0,0,100,1,1
11,523,93,-134.991,0,255,0,0,100,1,1
12,574,127,121.615,0,255,0,0,100,1,1
13,207,406,-73.5148,0,255,0,0,100,1,1
14,394,407,134.14,0,255,0,0,100,1,1
15,563,320,65.3887,0,255,0,0,100,1,1
16,310,283,10.3413,0,255,0,0,100,1,1
17,399,255,173.869,0,255,0,0,100,1,1
18,251,32,-79.3474,0,255,0,0,100,1,1
19,79,300,134.536,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,312,339,1
1,141,537,1
2,83,355,1
3,273,110,1
4,460,278,1
5,177,426,1
6,193,144,1
7,402,127,1
8,132,345,1
9,190,330,1
10,489,442,1
11,447,139,1
12,284,568,1
13,186,247,1
14,554,411,1
15,270,521,1
16,532,514,1
17,355,240,1
18,399,451,1
19,232,231,1
20,550,286,1
21,310,391,1
22,328,89,1
23,511,55,1
24,281,57,1
25,104,448,1
26,337,446,1
27,456,162,1
28,286,179,1
29,499,150,1
30,261,363,1
31,71,154,1
32,204,108,1
33,40,156,1
34,56,23,1
35,390,501,1
36,231,23,1
37,376,21,1
38,223,338,1
39,225,523,1
40,336,252,1
41,228,396,1
42,41,386,1
43,350,211,1
44,306,110,1
45,577,503,1
46,140,470,1
47,261,220,1
48,344,427,1
49,426,95,1
50,261,574,1
51,119,517,1
52,277,238,1
53,441,40,1
54,298,212,1
55,532,181,1
56,253,328,1
57,398,226,1
58,51,133,1
59,473,353,1
60,374,184,1
61,313,182,1
62,312,536,1
63,542,328,1
64,232,549,1
65,455,524,1
66,417,203,1
67,396,57,1
68,434,226,1
69,386,275,1
70,71,46,1
71,109,73,1
72,564,546,1
73,577,247,1
74,499,475,1
75,21,545,1
76,258,386,1
77,495,27,1
78,575,421,1
79,380,357,1
80,507,561,1
81,21,184,1
82,440,401,1
83,162,161,1
84,343,482,1
85,31,573,1
86,31,61,1
87,214,560,1
88,131,34,1
89,568,130,0
90,542,58,1
91,457,388,1
92,23,105,1
93,281,302,1
94,94,570,1
95,268,258,1
96,428,72,1
97,552,505,1
98,508,236,1
99,68,406,1
100,238,66,1
101,131,429,1
102,381,526,1
103,565,347,1
104,325,416,1
105,167,252,1
106,228,118,1
107,87,123,1
108,37,35,1
109,503,258,1
110,170,91,1
111,422,469,1
112,21,468,1
113,348,274,1
114,475,107,1
115,417,367,1
116,404,316,1
117,218,453,1
118,256,174,1
119,52,533,1
120,146,507,1
121,364,405,1
122,44,355,1
123,223,211,1
124,223,487,1
125,506,414,1
126,261,406,1
127,74,106,1
128,287,274,1
129,259,453,1
130,285,386,1
131,385,167,1
132,341,372,1
133,381,42,1
134,491,220,1
135,81,510,1
136,429,119,1
137,314,555,1
138,314,234,1
139,71,565,1
140,95,401,1
141,469,202,1
142,152,274,1
143,314,27,1
144,118,293,1
145,150,230,1
146,289,483,1
147,111,219,1
148,101,175,1
149,60,240,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
