### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,409,91,-28.9313,0,255,0,0,100,1,1
1,118,501,52.4768,0,255,0,0,100,1,1
2,388,435,-122.55,0,255,0,0,100,1,1
3,242,12,-113.901,0,255,0,0,100,1,1
4,576,316,56.4733,0,255,0,0,100,1,1
5,374,103,88.3135,0,255,0,0,100,1,1
6,318,314,-74.8468,0,255,0,0,100,1,1
7,131,388,-165.564,0,255,0,0,100,1,1
8,198,355,56.686,0,255,0,0,100,1,1
9,130,519,-144.798,0,255,0,0,100,1,1
10,42,416,-117.06,0,255,0,0,100,1,1
11,573,119,-173.242,0,255,0,0,100,1,1
12,517,339,-39.1515,0,255,0,0,100,1,1
13,499,303,1.10379,0,255,0,0,100,1,1
14,354,472,75.114,0,255,0,0,100,1,1
15,366,21,-169.119,0,255,0,0,100,1,1
16,181,388,135.527,0,255,0,0,100,1,1
17,34,561,46.8956,0,255,0,0,100,1,1
18,297,20,-130.116,0,255,0,0,100,1,1
19,548,465,66.691,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,241,351,1
1,50,61,1
2,28,289,1
3,453,85,1
4,543,147,1
5,331,247,1
6,413,244,1
7,60,197,1
8,566,577,1
9,454,524,1
10,466,41,1
11,503,214,1
12,95,356,1
13,102,219,1
14,255,43,1
15,178,532,1
16,472,140,1
17,424,483,1
18,176,468,1
19,581,387,1
20,227,573,1
21,417,103,1
22,464,473,1
23,258,65,1
24,339,393,1
25,173,333,1
26,405,403,1
27,487,249,1
28,499,79,1
29,396,273,1
30,138,171,1
31,277,370,1
32,343,220,1
33,340,343,1
34,261,132,1
35,453,390,1
36,121,25,1
37,75,123,1
38,287,284,1
39,70,258,1
40,167,62,1
41,367,135,1
42,496,43,1
43,397,208,1
44,577,245,1
45,100,70,1
46,288,44,1
47,552,447,1
48,473,431,1
49,147,519,1
50,419,574,1
51,435,186,1
52,338,566,1
53,85,486,1
54,38,513,1
55,111,571,1
56,293,548,1
57,491,300,1
58,40,406,1
59,505,114,1
60,243,206,1
61,504,458,1
62,314,480,1
63,580,69,1
64,114,92,1
65,538,300,1
66,351,29,1
67,94,530,1
68,65,402,1
69,288,483,1
70,548,174,1
71,388,379,1
72,36,440,1
73,578,480,1
74,433,281,1
75,294,424,1
76,218,132,1
77,422,224,1
78,254,468,1
79,462,195,1
80,349,170,1
81,155,475,1
82,494,476,1
83,31,250,1
84,266,415,1
85,559,525,1
86,493,538,1
87,438,448,1
88,340,150,1
89,407,366,1
90,343,306,1
91,147,560,1
92,303,226,1
93,441,251,1
94,325,72,1
95,374,252,1
96,71,433,1
97,538,246,1
98,528,25,1
99,354,482,1
100,117,524,1
101,222,208,1
102,135,201,1
103,446,28,1
104,199,333,1
105,318,439,1
106,488,519,1
107,72,61,1
108,225,409,1
109,453,131,1
110,39,82,1
111,439,568,1
112,554,212,1
113,135,435,1
114,356,189,1
115,148,541,1
116,326,178,1
117,46,572,1
118,373,224,1
119,383,488,1
120,62,456,1
121,388,143,1
122,451,227,1
123,49,31,1
124,182,291,1
125,239,293,1
126,204,292,1
127,191,207,1
128,581,501,1
129,234,161,1
130,168,23,1
131,531,529,1
132,364,292,1
133,195,449,1
134,239,557,1
135,236,441,1
136,431,516,1
137,200,145,1
138,308,310,1
139,506,573,1
140,158,261,1
141,273,521,1
142,84,510,1
143,82,37,1
144,365,81,1
145,263,217,1
146,79,234,1
147,554,266,1
148,463,553,1
149,252,509,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
