### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,86,61,120.804,0,255,0,0,100,1,1
1,310,134,-96.2965,0,255,0,0,100,1,1
2,190,118,127.732,0,255,0,0,100,1,1
3,469,121,69.4298,0,255,0,0,100,1,1
4,467,263,127.09,0,255,0,0,100,1,1
5,140,564,-64.6707,0,255,0,0,100,1,1
6,439,26,43.6573,0,255,0,0,100,1,1
7,384,133,171.524,0,255,0,0,100,1,1
8,261,548,141.625,0,255,0,0,100,1,1
9,526,553,109.403,0,255,0,0,100,1,1
10,391,489,-92.2806,0,255,0,0,100,1,1
11,461,483,-172.14,0,255,0,0,100,1,1
12,399,469,-67.9456,0,255,0,0,100,1,1
13,542,137,-179.392,0,255,0,0,100,1,1
14,61,161,-121.023,0,255,0,0,100,1,1
15,350,188,89.8879,0,255,0,0,100,1,1
16,441,523,-140.519,0,255,0,0,100,1,1
17,203,249,-160.974,0,255,0,0,100,1,1
18,244,452,71.4153,0,255,0,0,100,1,1
19,305,428,-66.7892,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,512,260,1
1,214,223,1
2,239,387,1
3,561,198,1
4,32,243,1
5,115,355,1
6,106,106,1
7,237,88,1
8,201,494,1
9,320,487,1
10,80,346,1
11,137,290,1
12,451,515,1
13,151,31,1
14,199,425,1
15,330,46,1
16,130,413,1
17,522,161,1
18,23,89,1
19,535,438,1
20,473,279,1
21,317,88,1
22,110,167,1
23,431,61,1
24,391,528,1
25,315,425,0
26,375,72,1
27,415,173,1
28,449,127,1
29,157,137,1
30,560,319,1
31,571,506,1
32,449,399,1
33,429,270,1
34,210,178,1
35,134,443,1
36,283,88,1
37,563,400,1
38,85,83,1
39,140,465,1
40,105,139,1
41,20,460,1
42,83,46,1
43,156,540,1
44,327,139,1
45,128,243,1
46,413,547,1
47,57,195,1
48,503,170,1
49,47,380,1
50,43,457,1
51,506,411,1
52,253,59,1
53,502,192,1
54,261,435,1
55,490,228,1
56,181,524,1
57,302,52,1
58,123,206,1
59,62,536,1
60,253,265,1
61,48,263,1
62,351,458,1
63,476,96,1
64,320,198,1
65,155,500,1
66,234,305,1
67,380,573,1
68,569,146,1
69,171,59,1
70,514,230,1
71,534,139,1
72,178,294,1
73,299,103,1
74,147,228,1
75,435,440,1
76,510,497,1
77,33,63,1
78,79,251,1
79,475,347,1
80,61,41,1
81,397,160,1
82,351,25,1
83,174,400,1
84,35,536,1
85,102,237,1
86,22,330,1
87,21,141,1
88,273,331,1
89,388,42,1
90,78,204,1
91,415,253,1
92,105,490,1
93,82,23,1
94,233,43,1
95,188,344,1
96,175,572,1
97,419,352,1
98,191,461,1
99,487,388,1
100,570,53,1
101,127,385,1
102,467,40,1
103,193,265,1
104,507,388,1
105,66,444,1
106,43,288,1
107,94,528,1
108,280,197,1
109,88,427,1
110,424,573,1
111,84,478,1
112,408,298,1
113,489,451,1
114,561,559,1
115,286,168,1
116,462,419,1
117,381,219,1
118,489,323,1
119,178,365,1
120,421,129,1
121,291,412,1
122,339,102,1
123,467,244,1
124,516,317,1
125,87,380,1
126,494,522,1
127,302,278,1
128,72,107,1
129,538,375,1
130,173,92,1
131,125,536,1
132,399,420,1
133,302,502,1
134,539,260,1
135,77,404,1
136,556,222,1
137,391,102,1
138,73,292,1
139,436,232,1
140,563,110,1
141,50,110,1
142,216,530,1
143,368,348,1
144,43,147,1
145,368,114,1
146,453,564,1
147,535,197,1
148,211,136,1
149,102,297,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
