### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,525,298,176.418,0,255,0,0,100,1,1
1,265,330,-73.6761,0,255,0,0,100,1,1
2,521,571,-51.4412,0,255,0,0,100,1,1
3,104,548,84.2924,0,255,0,0,100,1,1
4,426,460,-98.5776,0,255,0,0,100,1,1
5,158,476,135.085,0,255,0,0,100,1,1
6,557,170,-108.704,0,255,0,0,100,1,1
7,158,243,159,0,255,0,0,100,1,1
8,396,554,-112.053,0,255,0,0,100,1,1
9,9,419,82.724,0,255,0,0,100,1,1
10,109,398,174.714,0,255,0,0,100,1,1
11,297,321,43.9101,0,255,0,0,100,1,1
12,259,580,-152.093,0,255,0,0,100,1,1
13,207,244,-25.7196,0,255,0,0,100,1,1
14,208,100,143.304,0,255,0,0,100,1,1
15,206,424,52.1124,0,255,0,0,100,1,1
16,465,407,-85.6363,0,255,0,0,100,1,1
17,459,347,123.102,0,255,0,0,100,1,1
18,451,422,-72.643,0,255,0,0,100,1,1
19,458,56,51.2616,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,52,521,1
1,20,259,1
2,208,124,1
3,542,46,1
4,130,68,1
5,534,122,1
6,364,370,1
7,544,307,1
8,420,228,1
9,465,106,1
10,40,338,1
11,132,570,1
12,474,450,1
13,248,266,1
14,476,167,1
15,460,503,1
16,299,539,1
17,255,492,1
18,580,376,1
19,46,549,1
20,412,27,1
21,371,310,1
22,76,417,1
23,168,513,1
24,459,414,0
25,438,56,1
26,24,505,1
27,248,114,1
28,416,520,1
29,156,453,1
30,541,102,1
31,426,495,1
32,231,547,1
33,564,452,1
34,329,418,1
35,185,126,1
36,356,535,1
37,358,411,1
38,70,484,1
39,434,287,1
40,551,382,1
41,139,228,1
42,322,209,1
43,442,184,1
44,284,483,1
45,443,161,1
46,235,436,1
47,336,557,1
48,404,360,1
49,321,490,1
50,323,332,1
51,132,118,1
52,415,119,1
53,394,522,1
54,337,452,1
55,183,90,1
56,482,345,1
57,214,263,1
58,108,318,1
59,24,432,1
60,136,40,1
61,132,279,1
62,293,284,1
63,487,127,1
64,208,346,1
65,477,550,1
66,82,563,1
67,106,272,1
68,255,207,1
69,467,148,1
70,160,221,1
71,516,418,1
72,267,74,1
73,123,426,1
74,579,64,1
75,280,550,1
76,336,311,1
77,390,282,1
78,80,337,1
79,548,521,1
80,503,440,1
81,255,547,1
82,323,83,1
83,304,133,1
84,441,220,1
85,542,142,1
86,157,574,1
87,459,538,1
88,119,494,1
89,32,566,1
90,497,382,1
91,32,193,1
92,193,51,1
93,548,81,1
94,236,513,1
95,43,317,1
96,515,396,1
97,540,221,1
98,277,226,1
99,396,466,1
100,555,163,1
101,381,221,1
102,461,303,1
103,287,197,1
104,421,336,1
105,385,60,1
106,99,474,1
107,510,179,1
108,172,111,1
109,170,48,1
110,499,544,1
111,164,196,1
112,396,159,1
113,265,151,1
114,487,83,1
115,82,69,1
116,572,430,1
117,436,374,1
118,567,554,1
119,59,79,1
120,120,465,1
121,59,386,1
122,138,442,1
123,384,559,1
124,161,388,1
125,348,148,1
126,233,410,1
127,155,79,1
128,572,326,1
129,574,475,1
130,210,486,1
131,153,548,1
132,273,121,1
133,232,174,1
134,64,215,1
135,127,336,1
136,98,246,1
137,412,185,1
138,90,48,1
139,162,258,1
140,136,181,1
141,356,208,1
142,330,365,1
143,330,395,1
144,548,545,1
145,217,238,1
146,282,444,1
147,154,303,1
148,524,201,1
149,268,28,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
