### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,36,243,169.094,0,255,0,0,100,1,1
1,79,218,133.249,0,255,0,0,100,1,1
2,370,136,-107.789,0,255,0,0,100,1,1
3,65,21,-135.726,0,255,0,0,100,1,1
4,262,422,-179.453,0,255,0,0,100,1,1
5,336,163,33.4122,0,255,0,0,100,1,1
6,256,224,-150.634,0,255,0,0,100,1,1
7,62,73,-162.447,0,255,0,0,100,1,1
8,32,87,96.0114,0,255,0,0,100,1,1
9,297,478,64.4562,0,255,0,0,100,1,1
10,198,569,149.537,0,255,0,0,100,1,1
11,203,376,31.0477,0,255,0,0,100,1,1
12,37,52,9.17876,0,255,0,0,100,1,1
13,517,432,102.149,0,255,0,0,100,1,1
14,273,162,136.452,0,255,0,0,100,1,1
15,561,13,41.5559,0,255,0,0,100,1,1
16,213,518,11.9002,0,255,0,0,100,1,1
17,458,217,-98.6689,0,255,0,0,100,1,1
18,221,265,-62.0012,0,255,0,0,100,1,1
19,533,192,-10.4713,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,129,443,1
1,380,79,1
2,58,25,0
3,398,146,1
4,117,119,1
5,533,208,1
6,425,383,1
7,522,118,1
8,318,245,1
9,326,369,1
10,487,488,1
11,559,399,1
12,478,221,1
13,28,314,1
14,406,201,1
15,104,516,1
16,256,551,1
17,295,382,1
18,537,302,1
19,525,142,1
20,88,106,1
21,382,376,1
22,110,461,1
23,308,537,1
24,455,192,1
25,302,267,1
26,172,551,1
27,581,244,1
28,411,180,1
29,29,50,1
30,137,574,1
31,319,563,1
32,125,93,1
33,432,550,1
34,341,484,1
35,535,49,1
36,559,365,1
37,224,295,1
38,565,450,1
39,511,276,1
40,545,152,1
41,514,390,1
42,122,186,1
43,482,364,1
44,359,576,1
45,130,502,1
46,18,473,1
47,244,284,1
48,59,165,1
49,502,316,1
50,200,227,1
51,315,311,1
52,149,424,1
53,153,35,1
54,402,449,1
55,425,139,1
56,355,317,1
57,369,181,1
58,362,268,1
59,84,301,1
60,174,514,1
61,577,280,1
62,214,437,1
63,474,57,1
64,53,439,1
65,352,128,1
66,323,403,1
67,385,295,1
68,521,553,1
69,458,403,1
70,269,113,1
71,323,87,1
72,338,427,1
73,519,326,1
74,333,31,1
75,574,31,1
76,161,176,1
77,218,157,1
78,40,192,1
79,462,442,1
80,438,305,1
81,301,326,1
82,501,242,1
83,351,447,1
84,24,574,1
85,406,500,1
86,457,345,1
87,483,35,1
88,305,219,1
89,124,240,1
90,76,415,1
91,431,49,1
92,288,133,1
93,23,528,1
94,122,395,1
95,489,402,1
96,63,517,1
97,511,165,1
98,478,112,1
99,76,144,1
100,246,60,1
101,63,377,1
102,102,407,1
103,176,236,1
104,578,333,1
105,255,510,1
106,412,334,1
107,115,360,1
108,147,100,1
109,26,550,1
110,105,338,1
111,551,271,1
112,545,86,1
113,262,266,1
114,283,228,1
115,378,30,1
116,509,347,1
117,133,297,1
118,278,297,1
119,443,23,1
120,309,454,1
121,73,457,1
122,73,323,1
123,225,237,1
124,208,199,1
125,187,439,1
126,156,147,1
127,530,535,1
128,442,157,1
129,419,87,1
130,31,149,1
131,483,151,1
132,148,358,1
133,220,484,1
134,230,206,1
135,96,476,1
136,428,521,1
137,298,502,1
138,231,338,1
139,189,57,1
140,177,80,1
141,467,475,1
142,292,109,1
143,94,240,1
144,221,63,1
145,486,83,1
146,88,558,1
147,564,499,1
148,235,186,1
149,309,484,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
