### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,131,255,82.405,0,255,0,0,100,1,1
1,427,531,-129.399,0,255,0,0,100,1,1
2,43,459,-121.315,0,255,0,0,100,1,1
3,143,159,138.723,0,255,0,0,100,1,1
4,441,217,64.5011,0,255,0,0,100,1,1
5,462,312,67.9626,0,255,0,0,100,1,1
6,262,337,-75.585,0,255,0,0,100,1,1
7,214,100,-138.971,0,255,0,0,100,1,1
8,85,395,-144.652,0,255,0,0,100,1,1
9,369,485,39.0671,0,255,0,0,100,1,1
10,156,468,170.413,0,255,0,0,100,1,1
11,396,565,12.1849,0,255,0,0,100,1,1
12,536,260,-94.7926,0,255,0,0,100,1,1
13,125,74,-142.283,0,255,0,0,100,1,1
14,57,224,42.1754,0,255,0,0,100,1,1
15,304,167,53.5692,0,255,0,0,100,1,1
16,105,63,-15.7405,0,255,0,0,100,1,1
17,317,418,22.1452,0,255,0,0,100,1,1
18,48,331,151.302,0,255,0,0,100,1,1
19,183,106,37.6585,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,183,386,1
1,427,268,1
2,277,392,1
3,118,230,1
4,462,190,1
5,445,138,1
6,163,146,1
7,208,179,1
8,223,95,0
9,545,47,1
10,244,236,1
11,151,256,1
12,310,351,1
13,375,312,1
14,236,30,1
15,206,572,1
16,228,463,1
17,366,398,1
18,98,216,1
19,183,219,1
20,560,113,1
21,580,268,1
22,264,116,1
23,79,519,1
24,420,79,1
25,30,38,1
26,147,81,1
27,231,310,1
28,373,203,1
29,305,392,1
30,269,554,1
31,65,315,1
32,217,402,1
33,551,555,1
34,146,531,1
35,368,66,1
36,116,305,1
37,175,252,1
38,327,100,1
39,441,286,1
40,561,403,1
41,25,244,1
42,66,497,1
43,190,473,1
44,324,287,1
45,396,265,1
46,337,195,1
47,208,370,1
48,269,506,1
49,287,572,1
50,101,463,1
51,579,534,1
52,142,462,1
53,50,356,1
54,508,223,1
55,395,237,1
56,483,236,1
57,342,426,1
58,478,564,1
59,512,162,1
60,291,48,1
61,508,487,1
62,117,155,1
63,239,488,1
64,99,554,1
65,357,182,1
66,312,186,1
67,346,90,1
68,527,149,1
69,123,56,1
70,101,128,1
71,550,476,1
72,382,443,1
73,341,68,1
74,149,47,1
75,276,438,1
76,22,204,1
77,375,129,1
78,106,509,1
79,443,401,1
80,458,504,1
81,410,170,1
82,292,360,1
83,291,153,1
84,192,301,1
85,452,348,1
86,510,245,1
87,297,489,1
88,577,360,1
89,139,280,1
90,293,550,1
91,480,130,1
92,186,365,1
93,172,545,1
94,203,269,1
95,426,472,1
96,525,212,1
97,87,21,1
98,193,46,1
99,514,282,1
100,251,272,1
101,115,25,1
102,502,389,1
103,182,575,1
104,416,416,1
105,323,252,1
106,280,334,1
107,21,399,1
108,164,277,1
109,316,452,1
110,164,104,1
111,230,209,1
112,113,89,1
113,73,401,1
114,469,107,1
115,226,125,1
116,574,27,1
117,240,61,1
118,228,343,1
119,402,560,0
120,55,137,1
121,70,429,1
122,292,283,1
123,489,434,1
124,152,230,1
125,326,315,1
126,356,324,1
127,483,507,1
128,575,484,1
129,134,29,1
130,81,188,1
131,63,202,1
132,254,322,1
133,534,321,1
134,480,71,1
135,376,519,1
136,61,53,1
137,193,112,0
138,308,108,1
139,58,106,1
140,190,74,1
141,61,235,0
142,51,32,1
143,209,290,1
144,498,413,1
145,131,381,1
146,49,533,1
147,386,383,1
148,86,487,1
149,136,433,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
