### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,557,227,-82.4773,0,255,0,0,100,1,1
1,471,136,116.696,0,255,0,0,100,1,1
2,363,130,98.8582,0,255,0,0,100,1,1
3,313,175,-73.9456,0,255,0,0,100,1,1
4,59,52,-129.376,0,255,0,0,100,1,1
5,381,479,64.8211,0,255,0,0,100,1,1
6,118,547,115.974,0,255,0,0,100,1,1
7,346,274,98.7437,0,255,0,0,100,1,1
8,139,515,-64.3411,0,255,0,0,100,1,1
9,238,33,-30.6486,0,255,0,0,100,1,1
10,101,276,22.2998,0,255,0,0,100,1,1
11,228,340,116.435,0,255,0,0,100,1,1
12,586,210,-47.1042,0,255,0,0,100,1,1
13,75,40,-57.7826,0,255,0,0,100,1,1
14,310,55,85.2005,0,255,0,0,100,1,1
15,288,119,-4.08077,0,255,0,0,100,1,1
16,415,389,93.7667,0,255,0,0,100,1,1
17,586,196,-33.5658,0,255,0,0,100,1,1
18,313,533,-19.6556,0,255,0,0,100,1,1
19,433,566,-120.005,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,161,50,1
1,501,170,1
2,393,279,1
3,495,528,1
4,312,106,1
5,300,522,1
6,471,350,1
7,194,165,1
8,65,436,1
9,269,214,1
10,216,535,1
11,420,59,1
12,377,518,1
13,262,188,1
14,499,308,1
15,497,568,1
16,225,178,1
17,443,265,1
18,507,74,1
19,72,549,1
20,103,398,1
21,117,310,1
22,77,455,1
23,319,297,1
24,339,503,1
25,401,21,1
26,389,180,1
27,128,520,1
28,510,456,1
29,187,206,1
30,328,316,1
31,65,482,1
32,139,499,1
33,102,448,1
34,251,503,1
35,544,57,1
36,382,369,1
37,543,549,1
38,320,384,1
39,103,519,1
40,467,191,1
41,392,496,1
42,79,158,1
43,538,188,1
44,114,170,1
45,244,89,1
46,265,130,1
47,133,353,1
48,407,105,1
49,437,552,1
50,267,158,1
51,103,76,1
52,287,290,1
53,510,144,1
54,138,42,1
55,359,460,1
56,391,229,1
57,221,459,1
58,199,93,1
59,75,511,1
60,328,342,1
61,574,491,1
62,164,360,1
63,314,227,1
64,419,468,1
65,425,204,1
66,26,571,1
67,227,25,1
68,230,565,1
69,521,355,1
70,149,234,1
71,275,421,1
72,266,342,1
73,549,170,1
74,218,335,1
75,362,428,1
76,101,150,1
77,192,43,1
78,40,222,1
79,109,487,1
80,518,33,1
81,556,253,1
82,575,377,1
83,519,432,1
84,43,403,1
85,319,76,1
86,567,525,1
87,49,138,1
88,115,191,1
89,438,458,1
90,101,554,1
91,485,204,1
92,322,444,1
93,418,423,1
94,431,340,1
95,580,90,1
96,180,556,1
97,141,330,1
98,435,40,1
99,405,394,1
100,271,505,1
101,466,168,1
102,257,57,1
103,464,534,1
104,310,461,1
105,227,211,1
106,120,463,1
107,492,245,1
108,437,183,1
109,516,185,1
110,316,27,1
111,511,499,1
112,573,551,1
113,457,45,1
114,137,539,1
115,475,381,1
116,71,408,1
117,379,309,1
118,367,567,1
119,278,27,1
120,502,348,1
121,127,255,1
122,123,391,1
123,63,202,1
124,235,320,1
125,245,469,1
126,560,359,1
127,181,60,1
128,290,437,1
129,309,569,1
130,518,398,1
131,357,75,1
132,233,377,1
133,471,25,1
134,371,52,1
135,181,416,1
136,27,459,1
137,523,91,1
138,553,309,1
139,37,243,1
140,240,278,1
141,96,34,1
142,230,407,1
143,46,497,1
144,451,310,1
145,338,482,1
146,161,271,1
147,461,507,1
148,187,519,1
149,416,237,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
