### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,204,148,145.135,0,255,0,0,100,1,1
1,185,127,-73.4291,0,255,0,0,100,1,1
2,453,167,-50.2281,0,255,0,0,100,1,1
3,381,395,121.925,0,255,0,0,100,1,1
4,453,499,-43.2957,0,255,0,0,100,1,1
5,111,404,-21.3505,0,255,0,0,100,1,1
6,397,95,-133.542,0,255,0,0,100,1,1
7,530,445,60.8578,0,255,0,0,100,1,1
8,51,120,147.678,0,255,0,0,100,1,1
9,404,56,128.233,0,255,0,0,100,1,1
10,347,145,1.42985,0,255,0,0,100,1,1
11,466,240,161.523,0,255,0,0,100,1,1
12,427,455,-59.3324,0,255,0,0,100,1,1
13,411,199,163.845,0,255,0,0,100,1,1
14,311,24,155.252,0,255,0,0,100,1,1
15,293,197,-144.532,0,255,0,0,100,1,1
16,348,574,125.477,0,255,0,0,100,1,1
17,71,437,-73.4716,0,255,0,0,100,1,1
18,485,575,-21.2893,0,255,0,0,100,1,1
19,76,293,129.01,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,214,468,1
1,239,285,1
2,66,400,1
3,94,574,1
4,286,362,1
5,459,323,1
6,345,455,1
7,512,548,1
8,251,409,1
9,185,155,1
10,64,466,1
11,557,452,1
12,110,473,1
13,567,106,1
14,118,339,1
15,37,504,1
16,198,139,1
17,451,192,1
18,230,32,1
19,236,176,1
20,507,33,1
21,36,388,1
22,395,263,1
23,268,179,1
24,490,365,1
25,558,507,1
26,169,520,1
27,78,431,0
28,66,501,1
29,242,481,1
30,111,90,1
31,96,418,1
32,400,149,1
33,298,383,1
34,228,409,1
35,499,259,1
36,343,542,1
37,54,81,1
38,372,248,1
39,20,350,1
40,518,485,1
41,543,246,1
42,471,290,1
43,450,382,1
44,460,365,1
45,90,29,1
46,412,328,1
47,190,552,1
48,530,182,1
49,91,163,1
50,264,550,1
51,222,233,1
52,402,374,1
53,84,518,1
54,328,441,1
55,347,347,1
56,352,105,1
57,509,418,1
58,576,69,1
59,429,274,1
60,355,426,1
61,43,54,1
62,533,35,1
63,135,280,1
64,185,369,1
65,290,279,1
66,196,505,1
67,182,79,1
68,64,178,1
69,101,543,1
70,527,298,1
71,406,531,1
72,520,95,1
73,207,180,1
74,306,233,1
75,577,142,1
76,413,477,1
77,246,515,1
78,289,317,1
79,268,271,1
80,496,331,1
81,65,569,1
82,60,440,1
83,155,376,1
84,190,573,1
85,25,483,1
86,558,556,1
87,221,357,1
88,154,295,1
89,113,32,1
90,263,307,1
91,85,464,1
92,239,332,1
93,251,85,1
94,559,417,1
95,517,140,1
96,204,89,1
97,118,266,1
98,343,499,1
99,516,458,1
100,155,472,1
101,197,42,1
102,310,261,1
103,76,82,1
104,225,107,1
105,353,27,1
106,373,402,1
107,446,489,1
108,531,403,1
109,542,102,1
110,358,150,1
111,312,163,1
112,429,217,1
113,259,243,1
114,136,437,1
115,572,398,1
116,67,142,1
117,84,206,1
118,296,577,1
119,465,53,1
120,257,32,1
121,29,460,1
122,107,451,1
123,205,403,1
124,296,211,1
125,21,314,1
126,484,164,1
127,315,336,1
128,497,132,1
129,384,317,1
130,142,558,1
131,81,48,1
132,137,220,1
133,118,209,1
134,157,319,1
135,115,159,1
136,579,564,1
137,435,94,1
138,134,311,1
139,537,550,1
140,274,43,1
141,58,547,1
142,148,521,1
143,563,243,1
144,179,305,1
145,445,351,1
146,420,179,1
147,329,571,1
148,413,508,1
149,170,547,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
