### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,519,550,-2.94443,0,255,0,0,100,1,1
1,134,223,0.620709,0,255,0,0,100,1,1
2,544,441,-54.5697,0,255,0,0,100,1,1
3,332,211,-101.211,0,255,0,0,100,1,1
4,501,140,-33.9339,0,255,0,0,100,1,1
5,55,201,-25.0776,0,255,0,0,100,1,1
6,581,293,8.93156,0,255,0,0,100,1,1
7,267,349,115.811,0,255,0,0,100,1,1
8,535,195,-37.3169,0,255,0,0,100,1,1
9,198,14,153.371,0,255,0,0,100,1,1
10,245,140,160.475,0,255,0,0,100,1,1
11,323,497,-103.951,0,255,0,0,100,1,1
12,140,546,1.22419,0,255,0,0,100,1,1
13,275,214,94.9285,0,255,0,0,100,1,1
14,563,462,-38.8805,0,255,0,0,100,1,1
15,455,74,-146.66,0,255,0,0,100,1,1
16,397,51,-124.165,0,255,0,0,100,1,1
17,529,548,121.513,0,255,0,0,100,1,1
18,503,553,24.1793,0,255,0,0,100,1,1
19,318,289,-21.9232,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,256,307,1
1,190,200,1
2,168,222,1
3,301,320,1
4,467,279,1
5,88,36,1
6,573,234,1
7,499,96,1
8,152,364,1
9,243,165,1
10,354,444,1
11,169,34,1
12,313,301,1
13,157,160,1
14,505,206,1
15,262,338,1
16,115,141,1
17,47,532,1
18,233,214,1
19,276,192,1
20,94,250,1
21,352,45,1
22,102,339,1
23,387,250,1
24,157,474,1
25,515,327,1
26,83,455,1
27,546,91,1
28,532,382,1
29,379,30,1
30,241,406,1
31,29,173,1
32,170,400,1
33,20,514,1
34,112,213,1
35,391,454,1
36,146,250,1
37,125,268,1
38,181,299,1
39,258,230,1
40,204,155,1
41,487,139,1
42,62,72,1
43,512,461,1
44,82,529,1
45,349,360,1
46,144,332,1
47,38,447,1
48,330,324,1
49,260,137,1
50,463,98,1
51,295,435,1
52,394,94,1
53,348,156,1
54,575,72,1
55,274,242,1
56,515,413,1
57,385,125,1
58,194,463,1
59,310,52,1
60,33,267,1
61,208,266,1
62,261,274,1
63,90,140,1
64,507,227,1
65,130,502,1
66,546,473,1
67,26,111,1
68,120,109,1
69,78,301,1
70,288,479,1
71,384,497,1
72,136,533,1
73,357,331,1
74,251,84,1
75,517,275,1
76,457,162,1
77,396,350,1
78,51,304,1
79,233,34,1
80,579,209,1
81,482,436,1
82,184,505,1
83,212,400,1
84,53,159,1
85,254,432,1
86,119,438,1
87,439,36,1
88,234,276,1
89,316,440,1
90,332,480,1
91,447,139,1
92,495,162,1
93,242,572,1
94,439,93,1
95,296,381,1
96,46,558,1
97,207,38,1
98,55,33,1
99,577,402,1
100,486,353,1
101,309,513,1
102,547,506,1
103,315,32,1
104,472,124,1
105,564,496,1
106,221,372,1
107,404,183,1
108,396,66,1
109,428,435,1
110,170,530,1
111,526,193,1
112,572,45,1
113,260,390,1
114,118,29,1
115,44,380,1
116,169,263,1
117,168,333,1
118,46,87,1
119,564,446,1
120,492,187,1
121,91,366,1
122,131,378,1
123,533,119,1
124,269,108,1
125,161,301,1
126,527,72,1
127,359,178,1
128,172,556,1
129,506,365,1
130,153,85,1
131,336,571,1
132,541,241,1
133,223,77,1
134,549,561,1
135,535,425,1
136,40,51,1
137,476,326,1
138,354,396,1
139,336,25,1
140,367,474,1
141,262,543,1
142,386,386,1
143,158,139,1
144,402,533,1
145,361,108,1
146,120,183,1
147,418,493,1
148,61,403,1
149,221,97,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
