### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,309,314,-35.3581,0,255,0,0,100,1,1
1,302,223,-61.797,0,255,0,0,100,1,1
2,179,42,95.4538,0,255,0,0,100,1,1
3,393,435,-87.0315,0,255,0,0,100,1,1
4,121,461,-119.155,0,255,0,0,100,1,1
5,337,133,-82.4964,0,255,0,0,100,1,1
6,381,255,-173.284,0,255,0,0,100,1,1
7,489,37,-17.6105,0,255,0,0,100,1,1
8,478,394,-156.069,0,255,0,0,100,1,1
9,292,254,132.883,0,255,0,0,100,1,1
10,536,332,176.47,0,255,0,0,100,1,1
11,259,515,-118.207,0,255,0,0,100,1,1
12,320,133,131.29,0,255,0,0,100,1,1
13,353,217,-10.5969,0,255,0,0,100,1,1
14,299,149,-79.7971,0,255,0,0,100,1,1
15,383,422,82.7776,0,255,0,0,100,1,1
16,560,46,109.329,0,255,0,0,100,1,1
17,157,240,37.9753,0,255,0,0,100,1,1
18,229,77,-91.3637,0,255,0,0,100,1,1
19,65,219,-8.94439,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,31,423,1
1,259,248,1
2,562,240,1
3,313,272,1
4,379,188,1
5,498,465,1
6,447,33,1
7,559,380,1
8,444,552,1
9,65,433,1
10,488,323,1
11,79,53,1
12,208,243,1
13,170,179,1
14,459,192,1
15,462,96,1
16,235,575,1
17,385,489,1
18,256,444,1
19,528,381,1
20,199,434,1
21,345,240,1
22,359,444,1
23,427,319,1
24,79,546,1
25,129,237,1
26,254,302,1
27,28,389,1
28,389,102,1
29,361,274,1
30,513,167,1
31,356,518,1
32,264,205,1
33,118,554,1
34,451,272,1
35,159,162,1
36,281,482,1
37,118,299,1
38,360,466,1
39,469,332,1
40,23,282,1
41,402,27,1
42,336,522,1
43,402,511,1
44,37,570,1
45,66,70,1
46,78,322,1
47,45,179,1
48,462,46,1
49,432,516,1
50,57,149,1
51,302,538,1
52,327,573,1
53,20,261,1
54,581,370,1
55,298,42,1
56,479,561,1
57,306,399,1
58,115,54,1
59,533,182,1
60,534,60,1
61,243,518,1
62,172,24,1
63,209,206,1
64,359,386,1
65,26,52,1
66,73,259,1
67,177,550,1
68,163,391,1
69,208,519,1
70,498,212,1
71,557,137,1
72,192,126,1
73,399,563,1
74,410,205,1
75,503,428,1
76,577,210,1
77,237,350,1
78,187,225,1
79,545,343,1
80,317,334,1
81,396,283,1
82,569,70,1
83,218,114,1
84,313,22,1
85,135,452,1
86,304,428,1
87,132,339,1
88,317,504,1
89,445,80,1
90,203,179,1
91,534,478,1
92,449,145,1
93,284,135,1
94,536,309,1
95,361,82,1
96,35,540,1
97,523,529,1
98,241,199,1
99,68,237,1
100,228,490,1
101,381,322,1
102,230,459,1
103,210,460,1
104,124,192,1
105,379,68,1
106,422,137,1
107,119,143,1
108,252,145,1
109,571,304,1
110,194,58,1
111,296,74,1
112,150,319,1
113,569,447,1
114,456,240,1
115,273,530,1
116,319,223,1
117,221,545,1
118,139,534,1
119,23,145,1
120,19,96,1
121,144,105,1
122,338,292,1
123,335,35,1
124,60,280,1
125,534,214,1
126,333,120,1
127,166,457,1
128,230,394,1
129,470,486,1
130,285,463,1
131,278,316,1
132,181,81,1
133,566,576,1
134,326,460,1
135,385,435,1
136,19,457,1
137,99,551,1
138,235,132,1
139,122,358,1
140,249,385,1
141,419,537,1
142,480,78,1
143,220,264,1
144,555,548,1
145,485,195,1
146,357,565,1
147,413,51,1
148,321,537,1
149,320,62,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
