### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,559,129,30.619,0,255,0,0,100,1,1
1,36,242,5.45725,0,255,0,0,100,1,1
2,293,469,115.704,0,255,0,0,100,1,1
3,143,482,126.89,0,255,0,0,100,1,1
4,566,128,-81.5467,0,255,0,0,100,1,1
5,149,421,-101.23,0,255,0,0,100,1,1
6,506,385,-92.6623,0,255,0,0,100,1,1
7,33,498,-88.1264,0,255,0,0,100,1,1
8,85,578,-149.471,0,255,0,0,100,1,1
9,272,94,-148.1,0,255,0,0,100,1,1
10,57,526,123.403,0,255,0,0,100,1,1
11,367,418,-18.9107,0,255,0,0,100,1,1
12,549,497,144.627,0,255,0,0,100,1,1
13,153,67,43.0176,0,255,0,0,100,1,1
14,336,258,-77.7201,0,255,0,0,100,1,1
15,578,267,25.9723,0,255,0,0,100,1,1
16,14,428,147.445,0,255,0,0,100,1,1
17,573,54,-62.043,0,255,0,0,100,1,1
18,78,247,-6.03234,0,255,0,0,100,1,1
19,13,388,-139.578,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,378,51,1
1,283,377,1
2,490,352,1
3,502,50,1
4,368,408,1
5,130,208,1
6,32,226,1
7,71,138,1
8,192,388,1
9,428,112,1
10,54,216,1
11,34,46,1
12,336,553,1
13,565,407,1
14,217,336,1
15,360,185,1
16,121,148,1
17,430,452,1
18,235,52,1
19,558,144,1
20,306,362,1
21,170,85,1
22,517,91,1
23,41,397,1
24,560,504,1
25,493,217,1
26,281,175,1
27,453,514,1
28,24,484,1
29,246,162,1
30,140,576,1
31,360,574,1
32,147,227,1
33,189,237,1
34,320,40,1
35,66,177,1
36,483,314,1
37,119,443,1
38,403,529,1
39,238,143,1
40,286,306,1
41,135,78,1
42,554,108,1
43,552,268,1
44,102,247,1
45,147,540,1
46,229,33,1
47,307,495,1
48,378,550,1
49,312,114,1
50,211,246,1
51,382,170,1
52,26,271,1
53,457,64,1
54,200,275,1
55,128,418,1
56,215,528,1
57,247,399,1
58,386,428,1
59,457,472,1
60,79,457,1
61,546,77,1
62,73,367,1
63,19,446,1
64,132,331,1
65,488,242,1
66,60,393,1
67,402,58,1
68,272,421,1
69,365,214,1
70,77,532,1
71,118,23,1
72,128,110,1
73,88,75,1
74,40,451,1
75,526,301,1
76,413,186,1
77,217,103,1
78,504,368,1
79,390,494,1
80,179,167,1
81,328,134,1
82,164,327,1
83,75,307,1
84,430,339,1
85,204,182,1
86,278,492,1
87,101,129,1
88,469,163,1
89,98,537,1
90,135,390,1
91,170,477,1
92,410,243,1
93,129,497,1
94,295,526,1
95,310,199,1
96,77,496,1
97,309,475,1
98,168,47,1
99,500,431,1
100,424,374,1
101,95,194,1
102,316,340,1
103,279,555,1
104,491,148,1
105,115,67,1
106,386,385,1
107,72,564,1
108,337,447,1
109,419,37,1
110,111,355,1
111,46,304,1
112,58,119,1
113,65,93,1
114,205,318,1
115,446,310,1
116,477,535,1
117,478,81,1
118,260,562,1
119,34,159,1
120,414,210,1
121,177,132,1
122,288,221,1
123,49,500,1
124,53,249,1
125,428,145,1
126,472,436,1
127,353,539,1
128,453,412,1
129,178,258,1
130,237,549,1
131,401,305,1
132,28,379,1
133,373,252,1
134,383,269,1
135,451,124,1
136,581,222,1
137,531,260,1
138,435,83,1
139,50,423,1
140,376,449,1
141,394,220,1
142,450,254,1
143,157,384,1
144,313,425,1
145,450,537,1
146,22,74,1
147,159,507,1
148,232,575,1
149,338,396,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
