### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,573,284,57.313,0,255,0,0,100,1,1
1,298,564,-21.3345,0,255,0,0,100,1,1
2,174,350,-37.9574,0,255,0,0,100,1,1
3,262,513,-100.635,0,255,0,0,100,1,1
4,27,550,108.389,0,255,0,0,100,1,1
5,552,500,-125.401,0,255,0,0,100,1,1
6,167,499,64.3874,0,255,0,0,100,1,1
7,429,265,-66.0835,0,255,0,0,100,1,1
8,43,12,-133.943,0,255,0,0,100,1,1
9,151,205,62.4139,0,255,0,0,100,1,1
10,373,437,-153.324,0,255,0,0,100,1,1
11,380,199,97.6991,0,255,0,0,100,1,1
12,481,21,-113.553,0,255,0,0,100,1,1
13,273,131,-123.775,0,255,0,0,100,1,1
14,267,296,26.4347,0,255,0,0,100,1,1
15,89,239,-79.2606,0,255,0,0,100,1,1
16,422,454,-154.738,0,255,0,0,100,1,1
17,511,86,116.166,0,255,0,0,100,1,1
18,169,283,121.526,0,255,0,0,100,1,1
19,232,288,-7.96747,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,62,484,1
1,232,558,1
2,192,262,1
3,439,23,1
4,138,416,1
5,93,560,1
6,527,315,1
7,363,359,1
8,380,130,1
9,202,150,1
10,364,245,1
11,20,566,1
12,399,244,1
13,31,483,1
14,94,27,1
15,523,226,1
16,436,346,1
17,117,207,1
18,389,49,1
19,562,484,1
20,299,239,1
21,414,195,1
22,141,206,1
23,332,573,1
24,223,324,1
25,563,522,1
26,448,328,1
27,232,159,1
28,80,130,1
29,291,215,1
30,133,99,1
31,45,279,1
32,440,221,1
33,32,127,1
34,293,376,1
35,287,310,1
36,232,461,1
37,418,120,1
38,51,546,1
39,446,404,1
40,264,288,1
41,432,162,1
42,384,302,1
43,402,174,1
44,242,224,1
45,194,492,1
46,369,167,1
47,377,98,1
48,189,181,1
49,571,431,1
50,137,256,1
51,555,394,1
52,20,193,1
53,122,354,1
54,227,76,1
55,422,55,1
56,177,454,1
57,323,321,1
58,28,59,1
59,317,427,1
60,194,47,1
61,542,290,1
62,391,475,1
63,347,465,1
64,68,427,1
65,280,80,1
66,478,261,1
67,34,21,1
68,38,449,1
69,385,379,1
70,232,357,1
71,534,40,1
72,214,288,1
73,182,425,1
74,191,319,1
75,322,363,1
76,462,485,1
77,507,291,1
78,302,347,1
79,310,35,1
80,209,365,1
81,53,66,1
82,519,168,1
83,548,80,1
84,563,301,1
85,41,568,1
86,272,431,1
87,500,197,1
88,243,414,1
89,161,26,1
90,133,576,1
91,135,385,1
92,162,49,1
93,573,368,1
94,307,273,1
95,136,540,1
96,309,204,1
97,104,465,1
98,50,33,1
99,340,270,1
100,517,380,1
101,562,460,1
102,120,32,1
103,561,135,1
104,264,128,1
105,510,554,1
106,572,261,1
107,417,147,1
108,186,281,1
109,223,203,1
110,469,281,1
111,423,409,1
112,159,222,1
113,442,478,1
114,252,252,1
115,532,358,1
116,144,451,1
117,83,60,1
118,460,47,1
119,529,93,1
120,211,442,1
121,393,269,1
122,229,507,1
123,243,290,1
124,382,524,1
125,64,165,1
126,428,87,1
127,272,556,1
128,219,532,1
129,73,314,1
130,39,347,1
131,351,78,1
132,535,249,1
133,278,163,1
134,407,90,1
135,255,150,1
136,28,414,1
137,579,560,1
138,296,495,1
139,103,190,1
140,108,226,1
141,30,502,1
142,97,422,1
143,213,476,1
144,190,530,1
145,25,154,1
146,481,91,1
147,547,58,1
148,117,439,1
149,277,102,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
