### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,574,256,-75.0352,0,255,0,0,100,1,1
1,545,95,105.712,0,255,0,0,100,1,1
2,291,371,-148.17,0,255,0,0,100,1,1
3,471,471,22.4875,0,255,0,0,100,1,1
4,261,404,129.369,0,255,0,0,100,1,1
5,583,158,168.437,0,255,0,0,100,1,1
6,449,568,-150.797,0,255,0,0,100,1,1
7,319,309,10.0591,0,255,0,0,100,1,1
8,186,202,164.559,0,255,0,0,100,1,1
9,509,184,-129.238,0,255,0,0,100,1,1
10,321,407,163.063,0,255,0,0,100,1,1
11,351,544,178.87,0,255,0,0,100,1,1
12,232,230,-39.1706,0,255,0,0,100,1,1
13,70,54,160.107,0,255,0,0,100,1,1
14,569,506,-166.033,0,255,0,0,100,1,1
15,396,254,58.5971,0,255,0,0,100,1,1
16,51,470,149.673,0,255,0,0,100,1,1
17,537,245,-103.966,0,255,0,0,100,1,1
18,577,422,-47.1642,0,255,0,0,100,1,1
19,341,477,-30.9459,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,158,387,1
1,252,384,1
2,574,443,1
3,55,366,1
4,42,65,1
5,162,325,1
6,330,537,1
7,104,98,1
8,222,262,1
9,383,476,1
10,455,445,1
11,219,218,1
12,186,500,1
13,175,242,1
14,80,73,1
15,267,419,1
16,78,367,1
17,97,397,1
18,273,165,1
19,441,568,1
20,536,167,1
21,350,491,1
22,179,170,1
23,83,48,1
24,237,364,1
25,475,115,1
26,32,376,1
27,178,64,1
28,439,483,1
29,395,28,1
30,56,24,1
31,310,326,1
32,376,294,1
33,290,310,1
34,307,52,1
35,384,437,1
36,223,460,1
37,163,137,1
38,486,383,1
39,341,304,1
40,300,496,1
41,224,428,1
42,471,268,1
43,547,544,1
44,136,264,1
45,36,437,1
46,350,378,1
47,68,345,1
48,57,485,1
49,330,477,1
50,237,149,1
51,407,122,1
52,443,78,1
53,239,473,1
54,437,430,1
55,461,483,1
56,430,21,1
57,551,317,1
58,115,58,1
59,118,369,1
60,516,242,1
61,65,519,1
62,330,286,1
63,452,222,1
64,512,397,1
65,137,25,1
66,565,74,1
67,473,68,1
68,278,496,1
69,29,129,1
70,140,241,1
71,193,129,1
72,123,394,1
73,401,315,1
74,312,250,1
75,234,296,1
76,328,159,1
77,360,534,1
78,529,464,1
79,204,239,1
80,467,547,1
81,157,78,1
82,134,533,1
83,128,443,1
84,33,293,1
85,20,539,1
86,262,40,1
87,391,532,1
88,505,569,1
89,84,528,1
90,464,520,1
91,247,270,1
92,404,142,1
93,155,357,1
94,570,407,1
95,528,496,1
96,431,117,1
97,397,71,1
98,127,42,1
99,181,540,1
100,67,455,1
101,362,159,1
102,301,418,1
103,21,313,1
104,19,71,1
105,379,145,1
106,97,553,1
107,533,398,1
108,285,36,1
109,273,346,1
110,76,115,1
111,147,117,1
112,441,520,1
113,196,466,1
114,547,346,1
115,251,199,1
116,374,350,1
117,201,405,1
118,315,368,1
119,354,120,1
120,290,467,1
121,85,331,1
122,58,301,1
123,380,563,1
124,157,213,1
125,510,472,1
126,569,112,1
127,386,219,1
128,502,220,1
129,72,201,1
130,214,177,1
131,80,145,1
132,43,159,1
133,321,438,1
134,565,32,1
135,482,304,1
136,430,396,1
137,531,29,1
138,152,428,1
139,528,361,1
140,410,92,1
141,501,130,1
142,547,245,0
143,171,292,1
144,77,274,1
145,232,91,1
146,28,338,1
147,205,340,1
148,30,263,1
149,422,174,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
