### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,459,376,24.6322,0,255,0,0,100,1,1
1,454,136,30.0244,0,255,0,0,100,1,1
2,371,450,-98.8426,0,255,0,0,100,1,1
3,262,305,14.1882,0,255,0,0,100,1,1
4,349,510,149.875,0,255,0,0,100,1,1
5,112,579,146.972,0,255,0,0,100,1,1
6,572,282,-97.6379,0,255,0,0,100,1,1
7,505,481,-89.6543,0,255,0,0,100,1,1
8,54,212,-143.398,0,255,0,0,100,1,1
9,282,272,53.1622,0,255,0,0,100,1,1
10,170,232,107.698,0,255,0,0,100,1,1
11,471,282,90.7846,0,255,0,0,100,1,1
12,232,231,-75.8938,0,255,0,0,100,1,1
13,294,526,-4.8658,0,255,0,0,100,1,1
14,491,113,-36.2329,0,255,0,0,100,1,1
15,49,95,-10.1905,0,255,0,0,100,1,1
16,191,192,17.6952,0,255,0,0,100,1,1
17,147,382,-170.605,0,255,0,0,100,1,1
18,333,569,-51.9653,0,255,0,0,100,1,1
19,49,352,106.137,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,399,157,1
1,525,248,1
2,237,170,1
3,326,488,1
4,447,383,1
5,146,251,1
6,96,504,1
7,168,33,1
8,517,121,1
9,352,302,1
10,177,282,1
11,252,146,1
12,262,419,1
13,115,300,1
14,516,386,1
15,30,550,1
16,460,256,1
17,354,430,1
18,383,37,1
19,546,381,1
20,141,431,1
21,490,415,1
22,486,509,1
23,374,192,1
24,158,170,1
25,164,478,1
26,394,277,1
27,131,509,1
28,271,336,1
29,37,82,1
30,40,151,1
31,26,378,1
32,118,463,1
33,485,24,1
34,65,424,1
35,176,190,1
36,558,197,1
37,167,456,1
38,326,86,1
39,194,554,1
40,318,439,1
41,81,289,1
42,489,264,1
43,412,376,1
44,143,202,1
45,56,372,1
46,60,334,1
47,225,523,1
48,171,260,1
49,304,377,1
50,563,515,1
51,220,100,1
52,412,569,1
53,528,357,1
54,336,402,1
55,116,144,1
56,427,437,1
57,309,25,1
58,419,196,1
59,115,330,1
60,367,517,1
61,383,393,1
62,119,416,1
63,494,329,1
64,300,320,1
65,169,560,1
66,359,130,1
67,90,86,1
68,420,48,1
69,248,570,1
70,451,536,1
71,119,174,1
72,337,30,1
73,292,458,1
74,377,95,1
75,365,161,1
76,398,343,1
77,333,212,1
78,173,157,1
79,227,394,1
80,420,127,1
81,40,118,1
82,513,179,1
83,330,539,1
84,210,442,1
85,475,241,1
86,278,544,1
87,164,128,1
88,120,392,1
89,526,267,1
90,419,72,1
91,460,101,1
92,233,273,1
93,446,272,1
94,502,83,1
95,530,87,1
96,399,532,1
97,483,451,1
98,40,352,1
99,288,131,1
100,79,371,1
101,53,396,1
102,471,352,1
103,530,142,1
104,136,92,1
105,141,384,1
106,259,444,1
107,540,496,1
108,206,529,1
109,377,359,1
110,256,533,1
111,78,546,1
112,311,535,1
113,69,240,1
114,145,408,1
115,23,493,1
116,47,204,1
117,270,296,1
118,554,150,1
119,289,93,1
120,315,297,1
121,513,575,1
122,474,301,1
123,187,52,1
124,191,89,1
125,374,333,1
126,209,212,1
127,299,353,1
128,243,511,1
129,259,233,1
130,97,202,1
131,505,241,1
132,566,90,1
133,334,288,1
134,340,138,1
135,167,320,1
136,517,68,1
137,88,323,1
138,552,431,1
139,318,64,1
140,274,23,1
141,360,470,1
142,568,253,1
143,521,518,1
144,228,200,1
145,117,200,1
146,291,414,1
147,346,235,1
148,316,199,1
149,388,302,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
