### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,261,439,-150.245,0,255,0,0,100,1,1
1,334,246,-149.48,0,255,0,0,100,1,1
2,462,116,-75.2524,0,255,0,0,100,1,1
3,44,506,9.43663,0,255,0,0,100,1,1
4,557,559,168.18,0,255,0,0,100,1,1
5,454,133,113.954,0,255,0,0,100,1,1
6,266,72,81.6078,0,255,0,0,100,1,1
7,269,275,62.882,0,255,0,0,100,1,1
8,299,337,-93.2679,0,255,0,0,100,1,1
9,338,265,-178.029,0,255,0,0,100,1,1
10,91,484,64.6091,0,255,0,0,100,1,1
11,402,523,15.0104,0,255,0,0,100,1,1
12,365,145,-78.566,0,255,0,0,100,1,1
13,335,378,2.93651,0,255,0,0,100,1,1
14,366,216,5.35132,0,255,0,0,100,1,1
15,485,233,82.9521,0,255,0,0,100,1,1
16,576,392,-61.8378,0,255,0,0,100,1,1
17,304,30,-50.3356,0,255,0,0,100,1,1
18,506,192,28.7896,0,255,0,0,100,1,1
19,261,409,58.9157,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,247,562,1
1,250,503,1
2,396,204,1
3,150,29,1
4,63,385,1
5,396,512,1
6,36,296,1
7,76,220,1
8,89,495,0
9,152,310,1
10,538,234,1
11,490,138,1
12,515,455,1
13,179,463,1
14,168,233,1
15,539,475,1
16,345,92,1
17,347,559,1
18,221,557,1
19,539,30,1
20,398,115,1
21,520,304,1
22,386,371,1
23,270,548,1
24,124,299,1
25,475,536,1
26,78,119,1
27,565,252,1
28,66,506,1
29,567,542,1
30,218,438,1
31,197,206,1
32,78,542,1
33,372,266,1
34,189,435,1
35,352,311,1
36,431,550,1
37,87,571,1
38,527,109,1
39,130,45,1
40,31,136,1
41,430,452,1
42,472,294,1
43,110,82,1
44,333,257,0
45,498,181,1
46,201,366,1
47,358,221,1
48,84,97,1
49,36,421,1
50,548,350,1
51,454,72,1
52,394,147,1
53,41,574,1
54,51,463,1
55,266,299,1
56,77,21,1
57,564,421,1
58,235,142,1
59,238,49,1
60,329,412,1
61,448,24,1
62,412,371,1
63,34,80,1
64,416,513,1
65,382,334,1
66,196,488,1
67,487,393,1
68,556,289,1
69,409,251,1
70,505,284,1
71,189,290,1
72,402,288,1
73,569,220,1
74,27,191,1
75,175,35,1
76,52,67,1
77,142,216,1
78,38,383,1
79,436,293,1
80,475,265,1
81,229,29,1
82,283,59,1
83,308,130,1
84,473,71,1
85,244,415,1
86,539,177,1
87,172,386,1
88,385,249,1
89,74,167,1
90,198,133,1
91,420,406,1
92,571,574,1
93,229,70,1
94,94,275,1
95,127,178,1
96,392,458,1
97,460,362,1
98,125,528,1
99,257,106,1
100,242,227,1
101,386,222,1
102,540,126,1
103,288,430,1
104,444,520,1
105,514,129,1
106,142,455,1
107,429,253,1
108,94,188,1
109,441,375,1
110,245,379,1
111,448,129,1
112,432,474,1
113,524,401,1
114,250,540,1
115,463,52,1
116,108,544,1
117,125,413,1
118,301,251,1
119,330,65,1
120,69,273,1
121,366,181,1
122,248,124,1
123,63,329,1
124,437,574,1
125,350,512,1
126,372,538,1
127,387,69,1
128,210,223,1
129,531,58,1
130,283,482,1
131,305,523,1
132,292,507,1
133,219,471,1
134,381,436,1
135,519,559,1
136,156,577,1
137,125,329,1
138,81,319,1
139,142,63,1
140,271,393,1
141,295,299,1
142,62,576,1
143,418,22,1
144,216,286,1
145,156,471,1
146,277,323,1
147,336,213,1
148,30,517,1
149,351,54,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
