### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,400,528,163.004,0,255,0,0,100,1,1
1,24,228,-153.229,0,255,0,0,100,1,1
2,508,206,35.0093,0,255,0,0,100,1,1
3,62,505,-144.75,0,255,0,0,100,1,1
4,406,493,9.8707,0,255,0,0,100,1,1
5,222,15,-140.498,0,255,0,0,100,1,1
6,112,143,-154.272,0,255,0,0,100,1,1
7,408,13,-51.6926,0,255,0,0,100,1,1
8,142,436,-146.412,0,255,0,0,100,1,1
9,161,559,143.259,0,255,0,0,100,1,1
10,42,289,119.289,0,255,0,0,100,1,1
11,345,48,71.2616,0,255,0,0,100,1,1
12,333,424,-127.354,0,255,0,0,100,1,1
13,350,111,166.884,0,255,0,0,100,1,1
14,316,200,-88.4804,0,255,0,0,100,1,1
15,433,164,106.351,0,255,0,0,100,1,1
16,191,174,-114.555,0,255,0,0,100,1,1
17,378,79,-64.1288,0,255,0,0,100,1,1
18,91,458,-116.171,0,255,0,0,100,1,1
19,540,519,-66.4917,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,252,514,1
1,457,547,1
2,126,251,1
3,499,286,1
4,360,264,1
5,160,283,1
6,236,228,1
7,437,470,1
8,124,310,1
9,55,479,1
10,495,472,1
11,117,552,1
12,243,121,1
13,25,373,1
14,275,526,1
15,347,565,1
16,178,344,1
17,68,281,1
18,123,528,1
19,520,228,1
20,552,516,1
21,194,115,1
22,437,267,1
23,510,445,1
24,232,358,1
25,434,535,1
26,502,349,1
27,142,336,1
28,179,201,1
29,305,365,1
30,226,444,1
31,572,26,1
32,392,191,1
33,271,455,1
34,193,386,1
35,162,444,1
36,26,310,1
37,572,483,1
38,213,45,1
39,170,67,1
40,140,73,1
41,109,573,1
42,330,148,1
43,423,405,1
44,373,233,1
45,542,576,1
46,451,218,1
47,198,197,1
48,265,232,1
49,258,309,1
50,161,524,1
51,419,235,1
52,308,326,1
53,280,26,1
54,296,209,1
55,403,271,1
56,198,572,1
57,371,396,1
58,46,342,1
59,480,330,1
60,413,212,1
61,174,164,1
62,256,205,1
63,354,226,1
64,97,319,1
65,357,332,1
66,435,496,1
67,432,145,1
68,193,219,1
69,460,198,1
70,317,36,1
71,89,144,1
72,385,297,1
73,210,281,1
74,370,446,1
75,247,429,1
76,357,201,1
77,486,371,1
78,96,414,1
79,559,83,1
80,94,88,1
81,255,165,1
82,284,264,1
83,222,470,1
84,265,377,1
85,65,202,1
86,513,45,1
87,106,235,1
88,325,484,1
89,182,269,1
90,31,417,1
91,299,499,1
92,401,318,1
93,286,191,1
94,189,306,1
95,300,426,1
96,476,74,1
97,539,151,1
98,546,319,1
99,467,352,1
100,145,168,1
101,52,381,1
102,529,258,1
103,456,37,1
104,57,232,1
105,175,562,1
106,391,418,1
107,75,565,1
108,60,321,1
109,406,548,1
110,521,198,1
111,482,151,1
112,41,196,1
113,578,183,1
114,526,485,1
115,352,121,0
116,215,401,1
117,118,166,1
118,453,326,1
119,213,181,1
120,47,165,1
121,459,522,1
122,212,301,1
123,121,384,1
124,335,251,1
125,299,238,1
126,73,83,1
127,562,368,1
128,197,339,1
129,316,269,1
130,69,346,1
131,525,104,1
132,552,436,1
133,169,476,1
134,106,346,1
135,545,492,1
136,471,571,1
137,226,92,1
138,544,200,1
139,368,472,1
140,216,144,1
141,337,530,1
142,543,280,1
143,439,103,1
144,545,57,1
145,525,413,1
146,387,114,1
147,370,498,1
148,149,237,1
149,506,570,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
