### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,148,569,-167.414,0,255,0,0,100,1,1
1,325,210,-23.211,0,255,0,0,100,1,1
2,265,542,-110.919,0,255,0,0,100,1,1
3,35,231,121.297,0,255,0,0,100,1,1
4,132,332,134.409,0,255,0,0,100,1,1
5,251,436,-143.612,0,255,0,0,100,1,1
6,488,229,1.82601,0,255,0,0,100,1,1
7,553,296,141.697,0,255,0,0,100,1,1
8,571,310,85.2114,0,255,0,0,100,1,1
9,32,385,16.4932,0,255,0,0,100,1,1
10,509,432,5.59498,0,255,0,0,100,1,1
11,577,445,-17.5887,0,255,0,0,100,1,1
12,201,476,-75.2046,0,255,0,0,100,1,1
13,380,226,-32.9305,0,255,0,0,100,1,1
14,194,233,-169.424,0,255,0,0,100,1,1
15,131,553,6.22477,0,255,0,0,100,1,1
16,165,547,-22.3668,0,255,0,0,100,1,1
17,517,215,115.827,0,255,0,0,100,1,1
18,346,469,-83.0395,0,255,0,0,100,1,1
19,191,25,31.4603,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,366,357,1
1,280,392,1
2,469,351,1
3,518,357,1
4,134,191,1
5,285,23,1
6,350,401,1
7,190,240,0
8,406,466,1
9,266,111,1
10,515,70,1
11,156,382,1
12,461,464,1
13,375,493,1
14,235,507,1
15,98,133,1
16,71,44,1
17,402,353,1
18,485,365,1
19,162,257,1
20,565,150,1
21,225,574,1
22,227,105,1
23,485,528,1
24,37,423,1
25,531,529,1
26,127,278,1
27,251,430,1
28,182,99,1
29,48,472,1
30,76,499,1
31,165,502,1
32,27,378,1
33,260,58,1
34,316,472,1
35,430,437,1
36,378,432,1
37,314,494,1
38,350,135,1
39,178,216,1
40,502,123,1
41,136,401,1
42,109,239,1
43,356,570,1
44,293,144,1
45,22,253,1
46,58,230,1
47,540,470,1
48,24,123,1
49,22,98,1
50,25,465,1
51,261,142,1
52,114,514,1
53,266,211,1
54,176,405,1
55,209,509,1
56,254,247,1
57,24,291,1
58,451,190,1
59,100,446,1
60,57,149,1
61,575,229,1
62,185,473,1
63,46,369,1
64,412,74,1
65,293,71,1
66,409,249,1
67,431,236,1
68,543,196,1
69,157,431,1
70,500,167,1
71,499,475,1
72,381,273,1
73,522,251,1
74,143,234,1
75,370,220,1
76,264,281,1
77,232,416,1
78,194,59,1
79,178,181,1
80,543,446,1
81,243,337,1
82,433,295,1
83,288,236,1
84,289,446,1
85,406,437,1
86,379,198,1
87,559,101,1
88,366,93,1
89,32,559,1
90,254,463,1
91,361,52,1
92,141,49,1
93,522,380,1
94,576,50,1
95,494,306,1
96,102,60,1
97,77,536,1
98,542,82,1
99,53,291,1
100,57,552,1
101,460,234,1
102,448,562,1
103,231,395,1
104,385,521,1
105,238,356,1
106,236,235,1
107,436,459,1
108,72,128,1
109,363,244,1
110,200,447,1
111,481,246,1
112,241,291,1
113,187,529,1
114,272,320,1
115,431,185,1
116,439,116,1
117,210,528,1
118,67,187,1
119,468,92,1
120,170,316,1
121,247,98,1
122,115,462,1
123,346,375,1
124,77,81,1
125,204,96,1
126,555,316,1
127,521,140,1
128,460,257,1
129,414,133,1
130,292,264,1
131,437,328,1
132,127,69,1
133,471,29,1
134,223,335,1
135,495,48,1
136,356,422,1
137,237,54,1
138,433,142,1
139,59,391,1
140,27,322,1
141,292,547,1
142,261,348,1
143,344,232,1
144,329,349,1
145,360,26,1
146,527,101,1
147,117,146,1
148,521,285,1
149,57,572,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
