### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,155,154,75.8445,0,255,0,0,100,1,1
1,15,116,-153.407,0,255,0,0,100,1,1
2,227,534,-112.296,0,255,0,0,100,1,1
3,82,169,15.9087,0,255,0,0,100,1,1
4,383,236,61.8473,0,255,0,0,100,1,1
5,477,215,-122.143,0,255,0,0,100,1,1
6,332,571,-23.3715,0,255,0,0,100,1,1
7,212,469,-0.400371,0,255,0,0,100,1,1
8,398,72,-144.499,0,255,0,0,100,1,1
9,532,344,-63.568,0,255,0,0,100,1,1
10,538,375,-14.3557,0,255,0,0,100,1,1
11,67,288,-116.523,0,255,0,0,100,1,1
12,421,45,66.3654,0,255,0,0,100,1,1
13,33,197,-129.265,0,255,0,0,100,1,1
14,350,82,-146.178,0,255,0,0,100,1,1
15,388,517,124.462,0,255,0,0,100,1,1
16,558,439,-64.057,0,255,0,0,100,1,1
17,401,64,100.002,0,255,0,0,100,1,1
18,548,194,17.227,0,255,0,0,100,1,1
19,551,431,55.9572,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,540,98,1
1,150,199,1
2,317,135,1
3,547,153,1
4,184,511,1
5,255,21,1
6,539,438,1
7,346,126,1
8,476,471,1
9,490,138,1
10,462,115,1
11,187,394,1
12,386,73,1
13,117,158,1
14,324,471,1
15,246,551,1
16,255,298,1
17,40,276,1
18,455,336,1
19,322,439,1
20,348,280,1
21,27,182,1
22,128,460,1
23,347,175,1
24,197,123,1
25,299,107,1
26,217,148,1
27,486,172,1
28,40,77,1
29,157,167,1
30,131,74,1
31,358,423,1
32,418,191,1
33,94,514,1
34,49,331,1
35,118,377,1
36,252,154,1
37,480,382,1
38,35,449,1
39,51,495,1
40,375,543,1
41,125,243,1
42,413,246,1
43,262,535,1
44,89,74,1
45,501,70,1
46,286,128,1
47,579,98,1
48,20,499,1
49,297,258,1
50,398,359,1
51,224,80,1
52,483,198,1
53,368,193,1
54,321,156,1
55,256,89,1
56,172,53,1
57,446,88,1
58,139,377,1
59,535,206,1
60,364,342,1
61,42,473,1
62,351,371,1
63,412,324,1
64,71,36,1
65,196,284,1
66,429,24,1
67,542,482,1
68,213,346,1
69,500,489,1
70,471,65,1
71,369,306,1
72,24,529,1
73,250,233,1
74,131,54,1
75,338,322,1
76,486,425,1
77,92,444,1
78,363,98,1
79,33,118,1
80,303,70,1
81,205,548,1
82,55,380,1
83,93,470,1
84,282,574,1
85,457,550,1
86,138,267,1
87,375,221,1
88,254,317,1
89,232,24,1
90,317,556,1
91,118,36,1
92,99,254,1
93,407,167,1
94,171,490,1
95,96,190,1
96,577,422,1
97,215,463,0
98,244,501,1
99,469,214,1
100,153,333,1
101,454,392,1
102,240,209,1
103,529,387,1
104,322,46,1
105,564,315,1
106,396,575,1
107,566,227,1
108,397,262,1
109,306,222,1
110,195,60,1
111,27,93,1
112,576,180,1
113,269,118,1
114,159,249,1
115,459,305,1
116,258,265,1
117,451,573,1
118,322,393,1
119,408,126,1
120,173,457,1
121,21,260,1
122,168,21,1
123,413,87,1
124,127,551,1
125,134,423,1
126,61,66,1
127,319,355,1
128,440,297,1
129,372,500,1
130,528,409,1
131,231,101,1
132,571,278,1
133,196,455,1
134,325,520,1
135,481,256,1
136,170,351,1
137,77,238,1
138,561,360,1
139,515,443,1
140,270,452,1
141,78,270,1
142,286,279,1
143,452,244,1
144,61,558,1
145,32,360,1
146,299,177,1
147,535,534,1
148,239,412,1
149,109,310,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
