### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,34,275,-127.588,0,255,0,0,100,1,1
1,196,207,-100.719,0,255,0,0,100,1,1
2,45,59,107.773,0,255,0,0,100,1,1
3,244,20,61.2975,0,255,0,0,100,1,1
4,585,444,105.158,0,255,0,0,100,1,1
5,409,461,-127.105,0,255,0,0,100,1,1
6,81,500,-113.148,0,255,0,0,100,1,1
7,372,432,158.347,0,255,0,0,100,1,1
8,399,145,152.072,0,255,0,0,100,1,1
9,263,484,-130.35,0,255,0,0,100,1,1
10,326,262,99.0466,0,255,0,0,100,1,1
11,191,436,78.1138,0,255,0,0,100,1,1
12,586,450,-51.743,0,255,0,0,100,1,1
13,580,36,-7.9833,0,255,0,0,100,1,1
14,549,34,53.266,0,255,0,0,100,1,1
15,139,82,167.529,0,255,0,0,100,1,1
16,299,294,-42.0648,0,255,0,0,100,1,1
17,123,113,84.6261,0,255,0,0,100,1,1
18,395,508,25.9622,0,255,0,0,100,1,1
19,108,102,31.2261,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,100,272,1
1,390,398,1
2,275,385,1
3,276,154,1
4,373,517,1
5,567,44,1
6,527,310,1
7,187,554,1
8,287,39,1
9,251,265,1
10,380,326,1
11,148,481,1
12,276,481,1
13,354,283,1
14,62,531,1
15,41,204,1
16,355,483,1
17,515,266,1
18,340,509,1
19,168,518,1
20,283,213,1
21,321,530,1
22,331,183,1
23,439,306,1
24,266,444,1
25,101,304,1
26,80,359,1
27,220,76,1
28,515,560,1
29,432,197,1
30,352,172,1
31,516,64,1
32,433,77,1
33,424,394,1
34,58,90,1
35,334,46,1
36,510,97,1
37,159,560,1
38,484,506,1
39,426,21,1
40,524,487,1
41,550,468,1
42,335,461,1
43,264,171,1
44,247,291,1
45,220,542,1
46,144,268,1
47,161,62,1
48,402,131,1
49,304,215,1
50,487,72,1
51,436,442,1
52,212,413,1
53,67,288,1
54,546,434,1
55,326,157,1
56,37,175,1
57,20,329,1
58,330,380,1
59,33,421,1
60,577,232,1
61,545,250,1
62,494,327,1
63,233,501,1
64,475,570,1
65,385,434,1
66,395,352,1
67,342,325,1
68,88,180,1
69,57,130,1
70,177,258,1
71,440,108,1
72,243,542,1
73,419,47,1
74,287,359,1
75,131,45,1
76,376,470,1
77,91,248,1
78,283,328,1
79,483,177,1
80,546,574,1
81,29,156,1
82,165,394,1
83,453,86,1
84,124,257,1
85,251,57,1
86,481,371,1
87,230,231,1
88,193,475,1
89,252,224,1
90,320,69,1
91,231,277,1
92,66,183,1
93,548,69,1
94,540,143,1
95,464,116,1
96,129,486,1
97,238,450,1
98,44,330,1
99,286,536,1
100,247,472,1
101,487,395,1
102,333,25,1
103,18,215,1
104,61,460,1
105,494,138,1
106,568,386,1
107,505,420,1
108,494,237,1
109,233,525,1
110,186,303,1
111,228,164,1
112,20,284,1
113,68,558,1
114,91,516,1
115,93,157,1
116,419,474,1
117,106,73,1
118,133,563,1
119,451,484,1
120,58,235,1
121,572,467,1
122,346,419,1
123,179,492,1
124,359,448,1
125,445,232,1
126,115,369,1
127,467,424,1
128,103,328,1
129,566,433,1
130,328,208,1
131,226,257,1
132,563,361,1
133,188,424,1
134,194,337,1
135,347,142,1
136,167,290,1
137,109,413,1
138,174,462,1
139,514,116,1
140,521,189,1
141,544,286,1
142,443,173,1
143,145,185,1
144,18,464,1
145,571,77,1
146,501,474,1
147,144,154,1
148,356,539,1
149,268,114,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
