### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,60,103,-11.6359,0,255,0,0,100,1,1
1,470,75,4.50457,0,255,0,0,100,1,1
2,70,395,141.115,0,255,0,0,100,1,1
3,338,96,70.8955,0,255,0,0,100,1,1
4,262,157,-0.176987,0,255,0,0,100,1,1
5,547,524,-179.974,0,255,0,0,100,1,1
6,76,92,-1.64159,0,255,0,0,100,1,1
7,550,254,41.2916,0,255,0,0,100,1,1
8,370,407,-24.1389,0,255,0,0,100,1,1
9,393,324,145.641,0,255,0,0,100,1,1
10,492,236,-101.612,0,255,0,0,100,1,1
11,489,316,-70.2593,0,255,0,0,100,1,1
12,321,456,-51.9108,0,255,0,0,100,1,1
13,50,221,-135.911,0,255,0,0,100,1,1
14,436,33,61.413,0,255,0,0,100,1,1
15,26,16,-132.782,0,255,0,0,100,1,1
16,210,328,-80.536,0,255,0,0,100,1,1
17,206,363,19.8376,0,255,0,0,100,1,1
18,514,292,120.557,0,255,0,0,100,1,1
19,31,119,137.209,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,350,94,1
1,425,198,1
2,73,220,1
3,106,93,1
4,137,400,1
5,402,120,1
6,450,330,1
7,71,248,1
8,89,371,1
9,154,279,1
10,547,373,1
11,549,403,1
12,305,303,1
13,83,44,1
14,313,117,1
15,95,543,1
16,412,498,1
17,559,522,1
18,181,243,1
19,106,519,1
20,192,437,1
21,401,564,1
22,160,543,1
23,182,479,1
24,77,318,1
25,196,416,1
26,348,451,1
27,140,146,1
28,422,569,1
29,547,51,1
30,404,226,1
31,513,313,1
32,26,102,1
33,153,421,1
34,567,147,1
35,93,24,1
36,312,432,1
37,197,517,1
38,420,530,1
39,459,524,1
40,311,231,1
41,101,146,1
42,129,480,1
43,509,179,1
44,228,53,1
45,322,342,1
46,254,376,1
47,539,278,1
48,418,64,1
49,226,378,1
50,274,295,1
51,139,511,1
52,372,574,1
53,468,227,1
54,542,225,1
55,502,345,1
56,359,424,1
57,134,197,1
58,568,407,1
59,129,61,1
60,76,417,1
61,21,184,1
62,309,515,1
63,385,267,1
64,345,520,1
65,562,569,1
66,381,403,1
67,241,419,1
68,220,300,1
69,213,530,1
70,575,229,1
71,83,476,1
72,480,473,1
73,367,295,1
74,220,86,1
75,34,379,1
76,158,502,1
77,438,236,1
78,48,401,1
79,99,113,1
80,324,471,1
81,121,216,1
82,95,342,1
83,433,264,1
84,107,412,1
85,54,365,1
86,353,372,1
87,80,275,1
88,67,519,1
89,166,108,1
90,99,439,1
91,578,450,1
92,332,312,1
93,492,507,1
94,567,267,1
95,483,421,1
96,134,551,1
97,240,193,1
98,454,160,1
99,321,371,1
100,241,290,1
101,329,269,1
102,309,553,1
103,212,460,1
104,282,522,1
105,267,426,1
106,430,457,1
107,226,269,1
108,193,319,1
109,575,304,1
110,531,80,1
111,280,392,1
112,456,197,1
113,414,268,1
114,162,524,1
115,401,373,1
116,117,30,1
117,570,40,1
118,541,462,1
119,220,199,1
120,281,373,1
121,175,329,1
122,522,50,1
123,346,199,1
124,64,474,1
125,344,549,1
126,255,120,1
127,210,119,1
128,171,129,1
129,522,420,1
130,59,129,1
131,204,249,1
132,182,40,1
133,386,147,1
134,155,221,1
135,502,443,1
136,112,359,1
137,392,461,1
138,94,306,1
139,465,105,1
140,316,44,1
141,448,370,1
142,392,52,1
143,361,351,1
144,562,185,1
145,303,208,1
146,35,330,1
147,522,462,1
148,355,70,1
149,507,275,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
