### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,577,471,-161.369,0,255,0,0,100,1,1
1,167,499,109.814,0,255,0,0,100,1,1
2,74,473,-140.214,0,255,0,0,100,1,1
3,491,152,105.027,0,255,0,0,100,1,1
4,530,40,149.896,0,255,0,0,100,1,1
5,495,469,-159.186,0,255,0,0,100,1,1
6,79,351,76.8851,0,255,0,0,100,1,1
7,495,369,-33.2196,0,255,0,0,100,1,1
8,554,475,-18.7562,0,255,0,0,100,1,1
9,430,492,-111.787,0,255,0,0,100,1,1
10,423,483,-53.3893,0,255,0,0,100,1,1
11,248,550,-78.0922,0,255,0,0,100,1,1
12,369,341,-155.223,0,255,0,0,100,1,1
13,489,248,-94.4149,0,255,0,0,100,1,1
14,531,107,-103.708,0,255,0,0,100,1,1
15,439,496,59.1412,0,255,0,0,100,1,1
16,150,284,-137.654,0,255,0,0,100,1,1
17,528,183,164.273,0,255,0,0,100,1,1
18,306,103,162.946,0,255,0,0,100,1,1
19,263,176,-123.115,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,189,329,1
1,71,526,1
2,252,327,1
3,488,359,1
4,181,271,1
5,125,406,1
6,311,202,1
7,53,383,1
8,131,287,1
9,73,563,1
10,478,278,1
11,245,33,1
12,333,485,1
13,140,491,1
14,239,210,1
15,97,254,1
16,44,559,1
17,379,375,1
18,473,310,1
19,40,512,1
20,498,236,1
21,209,33,1
22,506,316,1
23,105,313,1
24,274,435,1
25,92,510,1
26,327,357,1
27,69,146,1
28,193,114,1
29,519,63,1
30,270,299,1
31,289,540,1
32,252,161,1
33,322,432,1
34,240,397,1
35,91,69,1
36,369,106,1
37,350,208,1
38,196,70,1
39,402,342,1
40,100,281,1
41,197,163,1
42,210,124,1
43,356,245,1
44,546,81,1
45,386,231,1
46,314,556,1
47,66,354,1
48,107,569,1
49,576,332,1
50,377,437,1
51,335,550,1
52,98,209,1
53,210,97,1
54,24,231,1
55,131,561,1
56,114,196,1
57,305,315,1
58,474,64,1
59,77,445,1
60,398,486,1
61,496,70,1
62,89,149,1
63,487,143,1
64,289,453,1
65,237,515,1
66,151,459,1
67,400,391,1
68,262,413,1
69,353,411,1
70,143,43,1
71,210,494,1
72,187,509,1
73,444,171,1
74,539,323,1
75,292,509,1
76,246,452,1
77,29,449,1
78,57,285,1
79,388,124,1
80,572,260,1
81,86,48,1
82,272,368,1
83,439,417,1
84,541,526,1
85,230,564,1
86,453,145,1
87,416,249,1
88,374,539,1
89,228,324,1
90,147,76,1
91,528,474,1
92,333,186,1
93,58,434,1
94,66,86,1
95,409,294,1
96,114,493,1
97,509,90,1
98,420,443,1
99,159,374,1
100,25,533,1
101,241,477,1
102,64,236,1
103,48,73,1
104,451,539,1
105,148,526,1
106,492,499,1
107,92,130,1
108,218,369,1
109,114,158,1
110,515,152,1
111,399,97,1
112,567,462,1
113,498,177,1
114,368,275,1
115,295,181,1
116,304,255,1
117,154,268,1
118,320,460,1
119,137,379,1
120,373,505,1
121,463,243,1
122,444,359,1
123,253,543,0
124,88,428,1
125,552,262,1
126,208,234,1
127,364,55,1
128,485,195,1
129,303,394,1
130,286,277,1
131,545,105,1
132,207,428,1
133,90,108,1
134,51,43,1
135,564,517,1
136,348,443,1
137,299,571,1
138,541,35,1
139,541,294,1
140,476,557,1
141,424,559,1
142,72,384,1
143,30,326,1
144,525,218,1
145,445,459,1
146,482,385,1
147,362,558,1
148,441,109,1
149,577,409,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
