### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,327,312,-60.7624,0,255,0,0,100,1,1
1,131,38,56.4169,0,255,0,0,100,1,1
2,271,576,80.7726,0,255,0,0,100,1,1
3,70,38,74.0302,0,255,0,0,100,1,1
4,319,252,-148.459,0,255,0,0,100,1,1
5,197,71,-55.8104,0,255,0,0,100,1,1
6,390,238,-147.503,0,255,0,0,100,1,1
7,532,39,-21.5517,0,255,0,0,100,1,1
8,475,452,-16.4329,0,255,0,0,100,1,1
9,465,280,-113.793,0,255,0,0,100,1,1
10,138,569,5.56432,0,255,0,0,100,1,1
11,270,433,25.764,0,255,0,0,100,1,1
12,368,306,-135.073,0,255,0,0,100,1,1
13,506,281,164.564,0,255,0,0,100,1,1
14,64,351,165.268,0,255,0,0,100,1,1
15,390,36,52.4035,0,255,0,0,100,1,1
16,473,102,19.9427,0,255,0,0,100,1,1
17,496,174,107.926,0,255,0,0,100,1,1
18,51,568,-45.7083,0,255,0,0,100,1,1
19,65,486,-39.8882,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,401,286,1
1,28,142,1
2,494,446,1
3,341,430,1
4,315,456,1
5,117,218,1
6,216,188,1
7,183,197,1
8,156,235,1
9,137,189,1
10,280,568,1
11,535,159,1
12,319,205,1
13,287,333,1
14,344,359,1
15,82,145,1
16,287,182,1
17,250,278,1
18,558,334,1
19,397,232,0
20,524,433,1
21,481,386,1
22,220,50,1
23,396,309,1
24,413,401,1
25,263,490,1
26,301,264,1
27,268,37,1
28,295,233,1
29,261,139,1
30,33,382,1
31,576,115,1
32,193,35,1
33,399,153,1
34,38,337,1
35,358,285,1
36,439,212,1
37,295,412,1
38,200,568,1
39,54,543,1
40,329,576,1
41,482,45,1
42,223,326,1
43,323,101,1
44,65,166,1
45,342,483,1
46,419,229,1
47,21,45,1
48,248,46,1
49,121,303,1
50,41,504,1
51,91,51,1
52,222,353,1
53,257,94,1
54,574,207,1
55,59,369,1
56,84,535,1
57,257,332,1
58,155,450,1
59,379,191,1
60,222,494,1
61,245,301,1
62,199,333,1
63,497,237,1
64,232,141,1
65,442,67,1
66,405,435,1
67,92,377,1
68,240,467,1
69,339,269,1
70,544,82,1
71,558,64,1
72,308,324,1
73,209,515,1
74,540,113,1
75,315,32,1
76,580,234,1
77,509,220,1
78,62,504,1
79,407,361,1
80,495,331,1
81,138,216,1
82,482,522,1
83,500,363,1
84,534,199,1
85,455,507,1
86,134,345,1
87,94,28,1
88,432,275,1
89,425,100,1
90,248,350,1
91,489,172,0
92,366,22,1
93,311,524,1
94,323,345,1
95,20,93,1
96,72,71,1
97,563,457,1
98,247,420,1
99,447,232,1
100,382,506,1
101,575,542,1
102,453,527,1
103,340,157,1
104,202,203,1
105,560,259,1
106,215,281,1
107,87,332,1
108,306,569,1
109,556,30,1
110,145,410,1
111,399,61,1
112,161,149,1
113,166,47,1
114,553,366,1
115,36,553,1
116,97,261,1
117,295,389,1
118,531,238,1
119,516,482,1
120,81,444,1
121,397,559,1
122,470,345,1
123,547,474,1
124,251,168,1
125,91,234,1
126,119,565,1
127,247,239,1
128,176,501,1
129,171,398,1
130,513,101,1
131,291,471,1
132,449,329,1
133,125,168,1
134,330,134,1
135,382,268,1
136,86,186,1
137,228,523,1
138,124,279,1
139,151,510,1
140,147,118,1
141,389,347,1
142,493,265,1
143,137,370,1
144,519,414,1
145,361,424,1
146,401,117,1
147,62,140,1
148,451,484,1
149,239,116,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
