### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,500,354,122.611,0,255,0,0,100,1,1
1,238,98,-35.251,0,255,0,0,100,1,1
2,107,245,-8.09017,0,255,0,0,100,1,1
3,87,568,-144.783,0,255,0,0,100,1,1
4,29,125,-66.3521,0,255,0,0,100,1,1
5,385,458,96.1925,0,255,0,0,100,1,1
6,386,225,-169.766,0,255,0,0,100,1,1
7,129,314,124.599,0,255,0,0,100,1,1
8,279,431,-9.13018,0,255,0,0,100,1,1
9,320,61,174.868,0,255,0,0,100,1,1
10,264,353,71.0525,0,255,0,0,100,1,1
11,525,86,130.819,0,255,0,0,100,1,1
12,13,310,-59.1095,0,255,0,0,100,1,1
13,442,355,72.6931,0,255,0,0,100,1,1
14,348,493,-61.7685,0,255,0,0,100,1,1
15,194,520,26.975,0,255,0,0,100,1,1
16,535,573,89.0578,0,255,0,0,100,1,1
17,47,474,-89.7332,0,255,0,0,100,1,1
18,188,488,68.0053,0,255,0,0,100,1,1
19,66,180,14.0936,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,207,98,1
1,76,264,1
2,241,358,1
3,432,128,1
4,423,273,1
5,72,350,1
6,238,253,1
7,362,209,1
8,491,58,1
9,317,163,1
10,500,137,1
11,241,195,1
12,507,324,1
13,23,293,1
14,274,396,1
15,224,334,1
16,213,29,1
17,290,214,1
18,341,422,1
19,189,293,1
20,35,221,1
21,237,519,1
22,579,536,1
23,477,542,1
24,339,313,1
25,188,393,1
26,235,483,1
27,546,417,1
28,357,104,1
29,529,279,1
30,411,502,1
31,467,509,1
32,286,364,1
33,358,491,0
34,460,566,1
35,556,295,1
36,48,317,1
37,28,187,1
38,169,368,1
39,24,107,1
40,113,66,1
41,93,542,1
42,573,485,1
43,462,249,1
44,337,208,1
45,493,442,1
46,576,181,1
47,555,129,1
48,59,221,1
49,511,53,1
50,416,188,1
51,421,452,1
52,432,536,1
53,295,269,1
54,561,448,1
55,389,349,1
56,404,225,1
57,423,229,1
58,141,503,1
59,537,565,1
60,497,216,1
61,176,315,1
62,169,566,1
63,421,427,1
64,348,131,1
65,241,427,1
66,441,196,1
67,467,358,1
68,317,293,1
69,339,283,1
70,558,526,1
71,502,387,1
72,151,214,1
73,378,575,1
74,300,73,1
75,39,434,1
76,390,438,1
77,484,260,1
78,209,282,1
79,262,488,1
80,216,557,1
81,411,80,1
82,473,313,1
83,434,562,1
84,120,238,1
85,370,549,1
86,480,122,1
87,581,374,1
88,283,243,1
89,195,416,1
90,349,227,1
91,384,40,1
92,485,234,1
93,289,114,1
94,221,157,1
95,266,567,1
96,55,268,1
97,353,334,1
98,314,562,1
99,157,40,1
100,209,79,1
101,541,398,1
102,384,198,1
103,440,453,1
104,69,452,1
105,537,352,1
106,534,460,1
107,120,104,1
108,179,441,1
109,310,212,1
110,484,469,1
111,58,334,1
112,132,469,1
113,65,565,1
114,464,201,1
115,473,70,1
116,241,118,1
117,392,85,1
118,263,274,1
119,260,452,1
120,552,324,1
121,481,291,1
122,356,450,1
123,388,386,1
124,112,479,1
125,503,364,0
126,174,116,1
127,336,521,1
128,354,63,1
129,539,169,1
130,569,346,1
131,342,396,1
132,463,29,1
133,411,361,1
134,360,517,1
135,322,192,1
136,508,118,1
137,452,339,1
138,438,148,1
139,169,528,1
140,122,409,1
141,473,388,1
142,533,42,1
143,315,408,1
144,289,463,1
145,30,482,1
146,360,431,1
147,32,530,1
148,550,496,1
149,48,46,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
