### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,573,209,84.1443,0,255,0,0,100,1,1
1,568,484,-94.5029,0,255,0,0,100,1,1
2,31,528,-74.9581,0,255,0,0,100,1,1
3,453,128,132.465,0,255,0,0,100,1,1
4,565,397,-112.107,0,255,0,0,100,1,1
5,65,164,-67.5027,0,255,0,0,100,1,1
6,447,363,143.255,0,255,0,0,100,1,1
7,166,376,66.4515,0,255,0,0,100,1,1
8,192,148,-10.8224,0,255,0,0,100,1,1
9,511,500,33.2308,0,255,0,0,100,1,1
10,198,441,-75.0896,0,255,0,0,100,1,1
11,330,481,-49.4744,0,255,0,0,100,1,1
12,83,169,-148.03,0,255,0,0,100,1,1
13,385,119,79.8164,0,255,0,0,100,1,1
14,314,565,55.3685,0,255,0,0,100,1,1
15,518,531,-8.10676,0,255,0,0,100,1,1
16,331,334,-8.59962,0,255,0,0,100,1,1
17,534,564,89.5632,0,255,0,0,100,1,1
18,240,423,-3.75759,0,255,0,0,100,1,1
19,75,60,-37.1205,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,42,281,1
1,362,130,1
2,227,29,1
3,36,119,1
4,498,431,1
5,398,576,1
6,508,225,1
7,233,237,1
8,142,301,1
9,512,471,1
10,196,302,1
11,45,143,1
12,38,230,1
13,242,449,1
14,209,502,1
15,248,468,1
16,194,78,1
17,540,47,1
18,173,324,1
19,532,100,1
20,266,250,1
21,389,363,1
22,348,263,1
23,390,344,1
24,497,310,1
25,277,454,1
26,96,522,1
27,535,80,1
28,386,540,1
29,419,483,1
30,333,283,1
31,278,31,1
32,468,538,1
33,98,263,1
34,253,523,1
35,213,359,1
36,316,308,1
37,414,532,1
38,330,547,1
39,358,415,1
40,570,478,0
41,214,318,1
42,241,184,1
43,409,200,1
44,434,149,1
45,31,378,1
46,452,519,1
47,401,325,1
48,408,273,1
49,554,535,1
50,79,373,1
51,547,442,1
52,235,161,1
53,577,457,1
54,297,197,1
55,44,522,1
56,437,341,1
57,165,253,1
58,322,165,1
59,330,516,1
60,86,44,1
61,79,448,1
62,476,112,1
63,62,566,1
64,135,396,1
65,68,260,1
66,292,506,1
67,142,500,1
68,537,257,1
69,557,214,1
70,123,80,1
71,294,530,1
72,423,571,1
73,351,560,1
74,152,123,1
75,292,67,1
76,359,325,1
77,19,21,1
78,476,418,1
79,350,193,1
80,409,422,1
81,254,363,1
82,456,39,1
83,554,102,1
84,157,449,1
85,74,230,1
86,357,171,1
87,555,80,1
88,85,408,1
89,514,576,1
90,131,336,1
91,462,207,1
92,84,561,1
93,175,60,1
94,375,228,1
95,511,193,1
96,249,83,1
97,533,375,1
98,288,225,1
99,464,461,1
100,63,95,1
101,414,126,1
102,29,441,1
103,219,124,1
104,120,500,1
105,218,223,1
106,170,496,1
107,75,183,1
108,508,358,1
109,142,84,1
110,34,502,1
111,481,49,1
112,172,525,1
113,199,565,1
114,393,484,1
115,188,338,1
116,372,273,1
117,326,70,1
118,70,22,1
119,448,447,1
120,174,407,1
121,423,242,1
122,355,70,1
123,446,555,1
124,354,295,1
125,64,500,1
126,563,289,1
127,36,559,1
128,179,370,1
129,367,111,1
130,571,190,1
131,114,54,1
132,18,516,1
133,151,23,1
134,46,44,1
135,56,341,1
136,55,376,1
137,111,464,1
138,295,174,1
139,119,233,1
140,144,471,1
141,46,470,1
142,536,320,1
143,410,21,1
144,424,363,1
145,188,260,1
146,351,359,1
147,458,493,1
148,489,475,1
149,275,92,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
