### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,234,81,-70.0965,0,255,0,0,100,1,1
1,325,180,43.8916,0,255,0,0,100,1,1
2,380,472,176.485,0,255,0,0,100,1,1
3,301,518,-99.8545,0,255,0,0,100,1,1
4,12,89,61.3237,0,255,0,0,100,1,1
5,561,581,75.4404,0,255,0,0,100,1,1
6,207,555,-105.669,0,255,0,0,100,1,1
7,487,250,-90.6838,0,255,0,0,100,1,1
8,123,398,-173.573,0,255,0,0,100,1,1
9,537,180,-44.0692,0,255,0,0,100,1,1
10,59,130,-123.908,0,255,0,0,100,1,1
11,425,178,8.25658,0,255,0,0,100,1,1
12,376,578,160.765,0,255,0,0,100,1,1
13,384,59,-2.42673,0,255,0,0,100,1,1
14,86,56,-22.9729,0,255,0,0,100,1,1
15,331,153,112.162,0,255,0,0,100,1,1
16,464,292,51.465,0,255,0,0,100,1,1
17,546,306,102.285,0,255,0,0,100,1,1
18,173,464,-89.3091,0,255,0,0,100,1,1
19,321,471,-53.9605,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,177,46,1
1,448,162,1
2,502,431,1
3,368,468,1
4,456,380,1
5,470,346,1
6,269,182,1
7,358,268,1
8,40,89,1
9,473,32,1
10,160,467,1
11,273,513,1
12,273,249,1
13,577,119,1
14,451,359,1
15,428,494,1
16,418,67,1
17,461,306,1
18,381,397,1
19,467,152,1
20,195,238,1
21,62,47,1
22,326,399,1
23,265,416,1
24,83,411,1
25,581,165,1
26,381,337,1
27,559,426,1
28,252,358,1
29,533,409,1
30,442,224,1
31,48,247,1
32,399,97,1
33,427,554,1
34,81,370,1
35,450,576,1
36,559,343,1
37,451,508,1
38,512,481,1
39,324,311,1
40,363,127,1
41,115,172,1
42,243,216,1
43,235,300,1
44,321,196,1
45,402,397,1
46,30,402,1
47,315,150,1
48,403,261,1
49,558,123,1
50,465,558,1
51,446,482,1
52,543,25,1
53,557,537,1
54,89,333,1
55,437,394,1
56,498,358,1
57,524,106,1
58,348,114,1
59,240,450,1
60,495,495,1
61,48,226,1
62,70,193,1
63,193,399,1
64,342,238,1
65,342,482,1
66,102,490,1
67,503,190,1
68,141,278,1
69,481,536,1
70,145,422,1
71,247,66,1
72,68,547,1
73,253,536,1
74,394,570,1
75,401,509,1
76,397,164,1
77,120,394,0
78,547,144,1
79,53,274,1
80,206,541,1
81,162,312,1
82,401,228,1
83,370,206,1
84,354,165,1
85,215,196,1
86,434,192,1
87,539,221,1
88,248,332,1
89,241,28,1
90,62,151,1
91,105,520,1
92,302,333,1
93,498,515,1
94,226,347,1
95,358,48,1
96,292,42,1
97,283,213,1
98,323,269,1
99,432,32,1
100,484,101,1
101,460,241,1
102,517,313,1
103,56,379,1
104,222,527,1
105,487,74,1
106,320,536,1
107,164,507,1
108,123,541,1
109,104,574,1
110,34,556,1
111,192,129,1
112,314,37,1
113,85,430,1
114,358,366,1
115,135,344,1
116,291,574,1
117,214,425,1
118,137,72,1
119,579,500,1
120,157,86,1
121,418,310,1
122,194,205,1
123,375,519,1
124,182,164,1
125,580,364,1
126,141,572,1
127,313,430,1
128,404,443,1
129,147,183,1
130,138,259,1
131,536,245,1
132,127,223,1
133,547,270,1
134,360,26,1
135,478,254,1
136,529,456,1
137,511,536,1
138,574,92,1
139,117,119,1
140,151,36,1
141,523,272,1
142,314,360,1
143,560,500,1
144,39,454,1
145,566,226,1
146,26,118,1
147,261,120,1
148,279,489,1
149,439,82,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
