### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,280,26,-35.6439,0,255,0,0,100,1,1
1,137,225,-23.4493,0,255,0,0,100,1,1
2,518,139,159.212,0,255,0,0,100,1,1
3,346,530,58.7509,0,255,0,0,100,1,1
4,134,264,-66.3072,0,255,0,0,100,1,1
5,183,296,-57.6408,0,255,0,0,100,1,1
6,407,350,-32.1644,0,255,0,0,100,1,1
7,96,561,-113.185,0,255,0,0,100,1,1
8,115,162,-62.8262,0,255,0,0,100,1,1
9,500,126,-5.03078,0,255,0,0,100,1,1
10,568,553,147.857,0,255,0,0,100,1,1
11,31,282,26.5246,0,255,0,0,100,1,1
12,109,25,-157.918,0,255,0,0,100,1,1
13,68,362,-88.0821,0,255,0,0,100,1,1
14,321,538,59.448,0,255,0,0,100,1,1
15,112,345,177.976,0,255,0,0,100,1,1
16,215,39,-158.526,0,255,0,0,100,1,1
17,117,419,-123.108,0,255,0,0,100,1,1
18,581,214,-12.1177,0,255,0,0,100,1,1
19,451,212,-165.289,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,553,363,1
1,569,328,1
2,141,375,1
3,148,351,1
4,267,333,1
5,456,404,1
6,336,416,1
7,447,27,1
8,539,490,1
9,422,552,1
10,238,258,1
11,320,108,1
12,512,266,1
13,106,328,1
14,300,178,1
15,220,300,1
16,108,382,1
17,488,330,1
18,297,388,1
19,215,395,1
20,312,510,1
21,516,34,1
22,421,159,1
23,211,512,1
24,259,550,1
25,557,107,1
26,242,304,1
27,137,57,1
28,418,89,1
29,86,471,1
30,526,468,1
31,196,318,1
32,324,296,1
33,48,218,1
34,22,493,1
35,134,514,1
36,116,113,1
37,224,186,1
38,280,318,1
39,401,390,1
40,26,228,1
41,128,567,1
42,163,167,1
43,426,308,1
44,181,344,1
45,79,499,1
46,264,210,1
47,464,374,1
48,229,485,1
49,345,540,1
50,426,466,1
51,164,302,1
52,489,45,1
53,525,102,1
54,467,109,1
55,49,500,1
56,189,159,1
57,413,437,1
58,434,568,1
59,195,202,1
60,299,571,1
61,92,427,1
62,443,524,1
63,334,56,1
64,240,327,1
65,384,191,1
66,484,206,1
67,242,197,1
68,37,337,1
69,228,424,1
70,300,546,1
71,482,454,1
72,243,361,1
73,511,406,1
74,394,31,1
75,394,172,1
76,94,28,1
77,96,510,1
78,349,185,1
79,242,141,1
80,22,441,1
81,434,197,1
82,416,360,1
83,306,445,1
84,570,237,1
85,377,547,1
86,130,536,1
87,258,480,1
88,293,77,1
89,513,241,1
90,408,292,1
91,391,274,1
92,540,405,1
93,32,460,1
94,499,63,1
95,124,259,1
96,576,361,1
97,359,100,1
98,163,86,1
99,579,543,1
100,206,282,1
101,254,511,1
102,414,37,1
103,548,327,1
104,569,263,1
105,49,535,1
106,455,562,1
107,347,440,1
108,67,63,1
109,349,467,1
110,134,91,1
111,496,158,1
112,550,228,1
113,128,405,1
114,533,161,1
115,217,450,1
116,73,535,1
117,279,464,1
118,554,45,1
119,326,202,1
120,573,471,1
121,168,379,1
122,493,100,1
123,69,246,1
124,409,239,1
125,109,569,1
126,253,443,1
127,106,476,1
128,445,134,1
129,255,410,1
130,236,401,1
131,231,562,1
132,30,556,1
133,385,67,1
134,484,225,1
135,269,161,1
136,482,309,1
137,158,26,1
138,131,139,1
139,142,289,1
140,436,493,1
141,163,110,1
142,455,341,1
143,19,359,1
144,507,180,1
145,404,132,1
146,336,238,1
147,289,264,1
148,296,23,1
149,288,55,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
