### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,489,198,-35.0854,0,255,0,0,100,1,1
1,330,534,-158.359,0,255,0,0,100,1,1
2,254,206,37.1628,0,255,0,0,100,1,1
3,161,272,148.129,0,255,0,0,100,1,1
4,125,53,157.602,0,255,0,0,100,1,1
5,365,379,63.5768,0,255,0,0,100,1,1
6,345,102,34.8849,0,255,0,0,100,1,1
7,141,463,152.152,0,255,0,0,100,1,1
8,427,27,174.611,0,255,0,0,100,1,1
9,312,14,-92.3604,0,255,0,0,100,1,1
10,557,420,95.3263,0,255,0,0,100,1,1
11,52,105,60.5081,0,255,0,0,100,1,1
12,284,425,54.4216,0,255,0,0,100,1,1
13,67,509,-139.988,0,255,0,0,100,1,1
14,81,428,37.5772,0,255,0,0,100,1,1
15,421,328,38.5567,0,255,0,0,100,1,1
16,72,466,91.8311,0,255,0,0,100,1,1
17,64,210,178.829,0,255,0,0,100,1,1
18,160,208,55.1712,0,255,0,0,100,1,1
19,483,467,-95.0002,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,156,76,1
1,48,406,1
2,36,258,1
3,426,515,1
4,327,300,1
5,364,232,1
6,276,70,1
7,105,348,1
8,209,113,1
9,382,108,1
10,62,464,1
11,536,356,1
12,481,268,1
13,470,318,1
14,472,412,1
15,142,421,1
16,152,237,1
17,169,21,1
18,522,64,1
19,142,391,1
20,322,376,1
21,41,551,1
22,287,39,1
23,304,319,1
24,27,154,1
25,365,392,1
26,224,49,1
27,25,180,1
28,293,491,1
29,441,336,1
30,267,213,1
31,496,520,1
32,576,40,1
33,524,382,1
34,516,465,1
35,243,371,1
36,453,395,1
37,459,176,1
38,105,310,1
39,23,61,1
40,41,319,1
41,519,141,1
42,74,200,1
43,64,240,1
44,481,48,1
45,414,206,1
46,467,115,1
47,224,198,1
48,434,55,1
49,75,313,1
50,384,374,1
51,279,311,1
52,442,418,1
53,156,217,0
54,173,118,1
55,482,371,1
56,233,417,1
57,369,289,1
58,287,456,1
59,110,368,1
60,223,396,1
61,165,373,1
62,324,254,1
63,441,89,1
64,76,60,1
65,31,213,1
66,294,425,0
67,444,556,1
68,303,103,1
69,41,110,1
70,573,190,1
71,561,380,1
72,300,519,1
73,201,472,1
74,573,355,1
75,359,545,1
76,347,114,1
77,107,406,1
78,200,397,1
79,276,556,1
80,362,176,1
81,166,288,1
82,125,109,1
83,275,479,1
84,320,504,1
85,265,393,1
86,339,398,1
87,500,430,1
88,172,508,1
89,263,355,1
90,56,288,1
91,272,529,1
92,411,450,1
93,100,146,1
94,410,306,1
95,120,186,1
96,348,380,1
97,21,87,1
98,346,562,1
99,57,151,1
100,458,156,1
101,540,122,1
102,533,280,1
103,233,465,1
104,145,502,1
105,431,312,1
106,448,284,1
107,523,568,1
108,563,143,1
109,507,183,1
110,259,449,1
111,176,556,1
112,22,381,1
113,126,338,1
114,478,573,1
115,572,528,1
116,341,162,1
117,322,455,1
118,447,22,1
119,215,310,1
120,571,398,1
121,326,49,1
122,48,76,1
123,406,122,1
124,119,427,1
125,244,244,1
126,414,39,1
127,304,408,1
128,227,164,1
129,152,439,1
130,520,165,1
131,324,98,1
132,115,447,1
133,331,342,1
134,152,55,1
135,257,49,1
136,198,432,1
137,67,34,1
138,42,481,1
139,209,333,1
140,419,553,1
141,83,79,1
142,519,514,1
143,442,485,1
144,338,132,1
145,94,173,1
146,71,262,1
147,303,264,1
148,46,435,1
149,242,94,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
