### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,103,490,-85.8366,0,255,0,0,100,1,1
1,453,257,-81.1166,0,255,0,0,100,1,1
2,558,23,12.9406,0,255,0,0,100,1,1
3,105,389,-119.931,0,255,0,0,100,1,1
4,145,545,-148.795,0,255,0,0,100,1,1
5,557,380,155.289,0,255,0,0,100,1,1
6,414,490,96.9129,0,255,0,0,100,1,1
7,464,525,145.545,0,255,0,0,100,1,1
8,413,202,174.479,0,255,0,0,100,1,1
9,557,341,-161.949,0,255,0,0,100,1,1
10,174,366,21.0377,0,255,0,0,100,1,1
11,264,367,76.6166,0,255,0,0,100,1,1
12,389,102,126.728,0,255,0,0,100,1,1
13,331,260,18.4608,0,255,0,0,100,1,1
14,502,15,-92.2839,0,255,0,0,100,1,1
15,182,366,-53.1861,0,255,0,0,100,1,1
16,199,358,61.8242,0,255,0,0,100,1,1
17,65,47,-152.088,0,255,0,0,100,1,1
18,264,181,-143.976,0,255,0,0,100,1,1
19,251,287,-148.537,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,550,79,1
1,75,373,1
2,241,455,1
3,151,186,1
4,116,572,1
5,187,237,1
6,410,213,1
7,159,457,1
8,313,561,1
9,200,94,1
10,159,232,1
11,440,418,1
12,80,320,1
13,273,79,1
14,367,94,1
15,189,348,1
16,209,73,1
17,352,370,1
18,559,477,1
19,507,341,1
20,500,407,1
21,189,314,1
22,494,136,1
23,250,105,1
24,441,335,1
25,485,342,1
26,407,280,1
27,245,560,1
28,45,62,1
29,175,143,1
30,308,540,1
31,120,162,1
32,102,297,1
33,392,43,1
34,227,211,1
35,347,206,1
36,276,332,1
37,97,153,1
38,549,110,1
39,467,317,1
40,543,346,1
41,142,311,1
42,430,365,1
43,221,29,1
44,345,486,1
45,369,41,1
46,459,421,1
47,423,549,1
48,336,576,1
49,465,349,1
50,421,477,1
51,202,446,1
52,144,159,1
53,476,154,1
54,412,450,1
55,475,266,1
56,289,115,1
57,319,187,1
58,391,147,1
59,115,40,1
60,366,216,1
61,292,505,1
62,357,524,1
63,30,436,1
64,146,338,1
65,281,430,1
66,123,287,1
67,543,234,1
68,188,501,1
69,100,173,1
70,518,523,1
71,402,392,1
72,39,147,1
73,561,295,1
74,362,289,1
75,466,56,1
76,580,345,1
77,467,502,1
78,466,479,1
79,141,50,1
80,453,295,1
81,269,491,1
82,71,213,1
83,438,203,1
84,156,381,1
85,448,86,1
86,120,450,1
87,69,170,1
88,364,192,1
89,321,231,1
90,197,293,1
91,581,524,1
92,114,265,1
93,177,62,1
94,28,38,1
95,268,410,1
96,109,485,0
97,508,573,1
98,553,145,1
99,50,569,1
100,233,520,1
101,412,146,1
102,128,186,1
103,315,408,1
104,233,166,1
105,158,537,1
106,318,266,1
107,577,104,1
108,94,562,1
109,411,500,0
110,173,196,1
111,340,233,1
112,331,45,1
113,461,375,1
114,499,290,1
115,455,232,1
116,486,376,1
117,495,116,1
118,478,40,1
119,533,51,1
120,266,29,1
121,422,77,1
122,514,268,1
123,235,242,1
124,223,388,1
125,162,278,1
126,79,66,1
127,397,546,1
128,518,234,1
129,537,573,1
130,378,393,1
131,483,528,1
132,325,153,1
133,539,205,1
134,307,106,1
135,70,421,1
136,50,332,1
137,435,138,1
138,372,561,1
139,231,353,1
140,488,93,1
141,461,445,1
142,331,545,1
143,134,215,1
144,317,448,1
145,69,487,1
146,202,253,1
147,575,173,1
148,81,268,1
149,418,183,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
