### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,225,360,-81.8657,0,255,0,0,100,1,1
1,121,502,175.599,0,255,0,0,100,1,1
2,99,319,-35.131,0,255,0,0,100,1,1
3,280,185,-124.341,0,255,0,0,100,1,1
4,443,437,66.4641,0,255,0,0,100,1,1
5,519,174,45.4452,0,255,0,0,100,1,1
6,493,560,-162.149,0,255,0,0,100,1,1
7,171,437,104.987,0,255,0,0,100,1,1
8,133,151,58.6618,0,255,0,0,100,1,1
9,303,523,19.3686,0,255,0,0,100,1,1
10,425,435,-126.339,0,255,0,0,100,1,1
11,327,87,173.582,0,255,0,0,100,1,1
12,484,527,-71.9416,0,255,0,0,100,1,1
13,278,309,161.885,0,255,0,0,100,1,1
14,65,145,125.666,0,255,0,0,100,1,1
15,95,570,80.7728,0,255,0,0,100,1,1
16,126,140,-166.797,0,255,0,0,100,1,1
17,350,124,17.4536,0,255,0,0,100,1,1
18,225,468,-97.0961,0,255,0,0,100,1,1
19,580,148,-15.7852,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,49,89,1
1,230,222,1
2,429,24,1
3,231,491,1
4,533,231,1
5,422,201,1
6,139,101,1
7,318,352,1
8,541,367,1
9,126,294,1
10,109,84,1
11,260,150,1
12,306,390,1
13,277,22,1
14,381,545,1
15,478,495,1
16,52,152,1
17,253,96,1
18,87,274,1
19,180,38,1
20,329,511,1
21,431,74,1
22,333,50,1
23,297,512,1
24,498,295,1
25,284,456,1
26,437,167,1
27,250,232,1
28,233,81,1
29,352,287,1
30,579,243,1
31,321,195,1
32,19,132,1
33,479,277,1
34,27,245,1
35,371,59,1
36,116,347,1
37,335,435,1
38,138,182,1
39,421,232,1
40,86,228,1
41,74,126,1
42,68,190,1
43,236,53,1
44,424,116,1
45,199,510,1
46,285,401,1
47,100,125,1
48,569,185,1
49,379,459,1
50,185,481,1
51,258,35,1
52,465,365,1
53,82,496,1
54,53,408,1
55,472,340,1
56,62,258,1
57,231,109,1
58,422,461,1
59,266,261,1
60,487,324,1
61,362,349,1
62,292,54,1
63,21,559,1
64,467,541,1
65,368,241,1
66,428,299,1
67,402,480,1
68,559,509,1
69,187,206,1
70,556,75,1
71,341,183,1
72,445,272,1
73,443,547,1
74,125,410,1
75,206,89,1
76,136,450,1
77,502,435,1
78,107,26,1
79,292,539,1
80,275,325,1
81,199,345,1
82,214,299,1
83,96,144,1
84,437,511,1
85,490,474,1
86,157,404,1
87,277,162,1
88,174,414,1
89,354,448,1
90,86,570,1
91,388,165,1
92,29,321,1
93,402,35,1
94,168,84,1
95,95,56,1
96,351,471,1
97,271,234,1
98,261,297,1
99,567,275,1
100,528,310,1
101,307,426,1
102,166,507,1
103,456,68,1
104,150,530,1
105,181,165,1
106,151,248,1
107,527,65,1
108,421,523,1
109,552,396,1
110,304,329,1
111,501,141,1
112,386,284,1
113,306,113,1
114,458,407,1
115,175,546,1
116,326,396,1
117,551,47,1
118,195,398,1
119,557,534,1
120,383,222,1
121,215,61,1
122,364,572,1
123,478,405,1
124,548,21,1
125,211,200,1
126,327,576,1
127,415,326,1
128,145,66,1
129,148,212,1
130,210,37,1
131,457,299,1
132,448,494,1
133,563,305,1
134,388,340,1
135,519,366,1
136,556,344,1
137,353,494,1
138,580,159,0
139,190,61,1
140,47,447,1
141,140,510,1
142,362,202,1
143,352,408,1
144,63,31,1
145,370,136,1
146,490,361,1
147,343,378,1
148,175,348,1
149,430,571,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
