### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,77,257,-1.50963,0,255,0,0,100,1,1
1,529,86,-95.7278,0,255,0,0,100,1,1
2,541,78,-12.0073,0,255,0,0,100,1,1
3,87,91,75.6286,0,255,0,0,100,1,1
4,523,270,20.7531,0,255,0,0,100,1,1
5,379,346,-58.2984,0,255,0,0,100,1,1
6,465,82,147.492,0,255,0,0,100,1,1
7,384,562,84.6592,0,255,0,0,100,1,1
8,121,54,-125.884,0,255,0,0,100,1,1
9,43,333,-179.995,0,255,0,0,100,1,1
10,220,217,-86.3219,0,255,0,0,100,1,1
11,247,373,-56.596,0,255,0,0,100,1,1
12,517,478,20.1207,0,255,0,0,100,1,1
13,188,556,92.1157,0,255,0,0,100,1,1
14,310,521,-116.676,0,255,0,0,100,1,1
15,16,543,50.1411,0,255,0,0,100,1,1
16,580,483,-148.173,0,255,0,0,100,1,1
17,206,53,164.031,0,255,0,0,100,1,1
18,143,211,-57.9725,0,255,0,0,100,1,1
19,74,200,174.414,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,518,560,1
1,377,94,1
2,347,240,1
3,269,236,1
4,48,149,1
5,506,543,1
6,531,515,1
7,462,480,1
8,439,134,1
9,356,553,1
10,571,339,1
11,429,49,1
12,455,34,1
13,147,121,1
14,305,460,1
15,370,413,1
16,419,457,1
17,111,503,1
18,528,418,1
19,413,370,1
20,87,230,1
21,537,197,1
22,49,270,1
23,460,168,1
24,60,316,1
25,155,494,1
26,149,189,1
27,373,184,1
28,244,560,1
29,111,110,1
30,277,279,1
31,517,159,1
32,570,24,1
33,68,141,1
34,350,469,1
35,22,51,1
36,460,454,1
37,441,277,1
38,403,120,1
39,58,106,1
40,524,221,1
41,32,488,1
42,204,382,1
43,578,370,1
44,255,513,1
45,52,222,1
46,26,104,1
47,151,344,1
48,506,183,1
49,237,54,1
50,430,417,1
51,361,125,1
52,574,502,1
53,301,502,1
54,418,328,1
55,377,144,1
56,453,559,1
57,86,329,1
58,274,515,1
59,203,502,1
60,422,390,1
61,383,208,1
62,482,368,1
63,162,313,1
64,313,559,1
65,258,78,1
66,445,376,1
67,529,340,1
68,28,225,1
69,45,429,1
70,443,186,1
71,361,358,1
72,467,522,1
73,226,93,1
74,308,164,1
75,251,465,1
76,191,439,1
77,105,386,1
78,484,264,1
79,82,64,1
80,566,304,1
81,282,438,1
82,479,431,1
83,168,108,1
84,387,283,1
85,331,166,1
86,190,164,1
87,200,549,1
88,377,335,1
89,109,251,1
90,337,418,1
91,416,29,1
92,517,201,1
93,338,571,1
94,275,65,1
95,217,480,1
96,575,248,1
97,76,529,1
98,193,144,1
99,350,379,1
100,508,97,1
101,551,403,1
102,487,34,1
103,129,443,1
104,542,22,1
105,125,138,1
106,297,233,1
107,142,547,1
108,323,51,1
109,505,444,1
110,326,274,1
111,469,70,1
112,236,448,1
113,493,413,1
114,114,181,1
115,328,255,1
116,496,158,1
117,518,280,1
118,409,202,1
119,257,351,1
120,89,188,1
121,179,25,1
122,517,317,1
123,269,317,1
124,475,94,1
125,172,399,1
126,495,306,1
127,357,25,1
128,407,174,1
129,140,250,1
130,356,203,1
131,474,325,1
132,143,300,1
133,429,107,1
134,494,282,1
135,580,404,1
136,527,447,1
137,547,329,1
138,396,576,1
139,217,265,1
140,536,132,1
141,39,168,1
142,51,490,1
143,180,473,1
144,294,117,1
145,446,227,1
146,213,228,1
147,241,410,1
148,259,33,1
149,547,246,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
