### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,354,32,96.7901,0,255,0,0,100,1,1
1,211,526,-81.4518,0,255,0,0,100,1,1
2,105,485,-50.3374,0,255,0,0,100,1,1
3,204,30,-136.184,0,255,0,0,100,1,1
4,571,529,-104.886,0,255,0,0,100,1,1
5,45,164,66.0106,0,255,0,0,100,1,1
6,108,104,-137.581,0,255,0,0,100,1,1
7,195,258,-19.5974,0,255,0,0,100,1,1
8,163,429,-170.555,0,255,0,0,100,1,1
9,26,128,-70.7416,0,255,0,0,100,1,1
10,308,241,67.348,0,255,0,0,100,1,1
11,80,545,-49.5844,0,255,0,0,100,1,1
12,483,41,-89.2253,0,255,0,0,100,1,1
13,276,408,124.922,0,255,0,0,100,1,1
14,411,361,89.614,0,255,0,0,100,1,1
15,144,172,10.0915,0,255,0,0,100,1,1
16,535,141,1.27771,0,255,0,0,100,1,1
17,133,185,28.0365,0,255,0,0,100,1,1
18,458,328,-175.287,0,255,0,0,100,1,1
19,254,143,83.0858,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,511,382,1
1,65,293,1
2,518,31,1
3,194,466,1
4,464,308,1
5,524,189,1
6,153,400,1
7,362,534,1
8,144,39,1
9,54,364,1
10,115,425,1
11,492,88,1
12,478,236,1
13,523,238,1
14,130,85,1
15,153,497,1
16,494,499,1
17,251,297,1
18,552,278,1
19,567,296,1
20,530,450,1
21,306,46,1
22,273,262,1
23,387,203,1
24,431,279,1
25,225,418,1
26,323,534,1
27,288,348,1
28,258,417,1
29,490,452,1
30,173,561,1
31,455,66,1
32,149,129,1
33,255,83,1
34,311,561,1
35,503,471,1
36,419,550,1
37,172,264,1
38,550,327,1
39,248,253,1
40,220,291,1
41,175,351,1
42,458,538,1
43,286,423,1
44,91,357,1
45,64,121,1
46,123,204,1
47,172,541,1
48,159,112,1
49,563,509,1
50,76,231,1
51,508,175,1
52,38,300,1
53,322,487,1
54,145,66,1
55,428,478,1
56,559,438,1
57,207,558,1
58,99,214,1
59,398,549,1
60,580,367,1
61,113,285,1
62,453,154,1
63,357,304,1
64,316,442,1
65,119,136,1
66,505,135,1
67,114,161,1
68,361,487,1
69,86,408,1
70,21,543,1
71,228,239,1
72,94,544,1
73,184,136,1
74,534,75,1
75,323,241,1
76,307,388,1
77,335,382,1
78,485,200,1
79,294,305,1
80,352,408,1
81,500,552,1
82,19,447,1
83,485,299,1
84,194,437,1
85,271,179,1
86,215,338,1
87,115,310,1
88,254,331,1
89,417,411,1
90,444,564,1
91,411,268,1
92,111,332,1
93,369,346,1
94,512,66,1
95,67,513,1
96,445,354,1
97,156,309,1
98,333,296,1
99,74,157,1
100,453,239,1
101,143,206,1
102,321,271,1
103,541,160,1
104,203,53,1
105,233,382,1
106,477,415,1
107,160,239,1
108,301,97,1
109,368,173,1
110,36,162,1
111,255,224,1
112,142,570,1
113,47,333,1
114,153,342,1
115,459,279,1
116,247,196,1
117,180,235,1
118,195,388,1
119,357,148,1
120,194,281,1
121,507,517,1
122,155,177,0
123,192,104,1
124,226,314,1
125,419,336,1
126,578,546,1
127,153,375,1
128,239,475,1
129,561,241,1
130,574,103,1
131,71,207,1
132,536,50,1
133,280,472,1
134,22,35,1
135,32,402,1
136,446,119,1
137,21,275,1
138,550,104,1
139,88,566,1
140,127,553,1
141,543,193,1
142,548,308,1
143,220,32,1
144,316,174,1
145,58,410,1
146,286,223,1
147,299,146,1
148,106,507,1
149,135,352,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
