### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,335,17,-87.6905,0,255,0,0,100,1,1
1,114,15,-73.8507,0,255,0,0,100,1,1
2,42,570,-0.276049,0,255,0,0,100,1,1
3,347,467,-136.685,0,255,0,0,100,1,1
4,29,564,-7.60546,0,255,0,0,100,1,1
5,520,449,-54.9234,0,255,0,0,100,1,1
6,361,468,75.7675,0,255,0,0,100,1,1
7,315,180,-79.5405,0,255,0,0,100,1,1
8,411,273,60.5689,0,255,0,0,100,1,1
9,499,112,47.8825,0,255,0,0,100,1,1
10,354,507,-33.3209,0,255,0,0,100,1,1
11,557,27,67.4911,0,255,0,0,100,1,1
12,472,186,-15.3482,0,255,0,0,100,1,1
13,39,465,10.1093,0,255,0,0,100,1,1
14,401,374,-79.672,0,255,0,0,100,1,1
15,491,77,-83.0384,0,255,0,0,100,1,1
16,198,510,-139.288,0,255,0,0,100,1,1
17,23,434,-57.6017,0,255,0,0,100,1,1
18,117,510,77.4867,0,255,0,0,100,1,1
19,542,507,141.402,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,47,208,1
1,538,92,1
2,485,530,1
3,301,203,1
4,445,432,1
5,448,248,1
6,530,29,1
7,179,271,1
8,158,318,1
9,220,281,1
10,118,336,1
11,207,539,1
12,114,557,1
13,436,144,1
14,401,184,1
15,267,62,1
16,101,322,1
17,31,115,1
18,499,420,1
19,372,397,1
20,69,547,1
21,513,335,1
22,192,147,1
23,309,59,1
24,469,294,1
25,58,67,1
26,574,112,1
27,174,247,1
28,392,24,1
29,90,438,1
30,439,176,1
31,198,568,1
32,513,316,1
33,135,63,1
34,351,408,1
35,279,159,1
36,420,392,1
37,498,553,1
38,545,402,1
39,565,502,1
40,441,64,1
41,355,38,1
42,562,342,1
43,370,312,1
44,98,71,1
45,425,492,1
46,353,95,1
47,264,392,1
48,67,218,1
49,352,375,1
50,156,93,1
51,348,155,1
52,471,254,1
53,138,290,1
54,288,372,1
55,41,170,1
56,200,313,1
57,77,238,1
58,202,22,1
59,344,351,1
60,509,98,1
61,474,494,1
62,499,477,1
63,142,26,1
64,540,235,1
65,287,408,1
66,229,194,1
67,422,305,1
68,344,259,1
69,230,334,1
70,98,117,1
71,390,292,1
72,371,558,1
73,67,346,1
74,315,89,1
75,68,517,1
76,512,536,1
77,329,575,1
78,120,536,1
79,292,179,1
80,152,470,1
81,230,477,1
82,255,271,1
83,149,346,1
84,210,253,1
85,554,188,1
86,246,38,1
87,248,564,1
88,163,400,1
89,220,506,1
90,191,220,1
91,326,241,1
92,464,513,1
93,188,421,1
94,132,310,1
95,431,267,1
96,565,522,1
97,426,78,1
98,89,285,1
99,70,167,1
100,406,367,1
101,254,148,1
102,533,368,1
103,90,498,1
104,387,456,1
105,40,351,1
106,397,413,1
107,256,322,1
108,291,302,1
109,70,402,1
110,234,252,1
111,364,445,1
112,21,406,1
113,535,452,1
114,579,93,1
115,436,539,1
116,71,431,1
117,405,267,1
118,19,47,1
119,393,231,1
120,365,65,1
121,134,376,1
122,508,200,1
123,577,374,1
124,247,377,1
125,74,27,1
126,221,382,1
127,49,502,1
128,25,484,1
129,331,475,1
130,328,516,1
131,492,154,1
132,273,334,1
133,117,284,1
134,542,350,1
135,313,128,1
136,290,126,1
137,300,478,1
138,48,454,1
139,361,245,1
140,189,458,1
141,520,512,1
142,148,269,1
143,75,372,1
144,181,34,1
145,419,120,1
146,279,428,1
147,122,219,1
148,223,155,1
149,145,510,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
