### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,197,389,156.581,0,255,0,0,100,1,1
1,129,46,-144.082,0,255,0,0,100,1,1
2,62,330,72.6146,0,255,0,0,100,1,1
3,364,61,-8.5451,0,255,0,0,100,1,1
4,227,508,-90.445,0,255,0,0,100,1,1
5,185,529,20.0041,0,255,0,0,100,1,1
6,583,92,70.0471,0,255,0,0,100,1,1
7,451,304,-26.5075,0,255,0,0,100,1,1
8,386,510,7.85895,0,255,0,0,100,1,1
9,284,265,-118.539,0,255,0,0,100,1,1
10,412,120,108.12,0,255,0,0,100,1,1
11,586,315,-25.3631,0,255,0,0,100,1,1
12,379,529,151.105,0,255,0,0,100,1,1
13,461,472,70.3278,0,255,0,0,100,1,1
14,31,494,-99.0944,0,255,0,0,100,1,1
15,40,121,162.527,0,255,0,0,100,1,1
16,98,162,109.777,0,255,0,0,100,1,1
17,128,143,-115.357,0,255,0,0,100,1,1
18,567,97,14.406,0,255,0,0,100,1,1
19,393,505,-57.6177,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,18,321,1
1,508,552,1
2,546,405,1
3,110,380,1
4,153,396,1
5,478,70,1
6,77,114,1
7,132,433,1
8,129,122,1
9,302,75,1
10,87,241,1
11,453,354,1
12,350,123,1
13,255,444,1
14,561,303,1
15,539,181,1
16,111,318,1
17,223,427,1
18,187,310,1
19,28,44,1
20,140,543,1
21,440,51,1
22,49,538,1
23,417,184,1
24,160,104,1
25,449,401,1
26,567,86,1
27,192,214,1
28,424,407,1
29,332,184,1
30,348,147,1
31,213,98,1
32,348,538,1
33,386,403,1
34,62,138,1
35,387,550,1
36,508,571,1
37,36,253,1
38,71,403,1
39,106,537,1
40,189,76,1
41,39,377,1
42,353,428,1
43,232,156,1
44,203,249,1
45,566,420,1
46,264,139,1
47,125,160,1
48,61,455,1
49,310,360,1
50,532,140,1
51,116,81,1
52,164,241,1
53,482,283,1
54,482,198,1
55,67,577,1
56,235,548,1
57,321,28,1
58,501,305,1
59,541,350,1
60,337,410,1
61,107,271,1
62,372,231,1
63,170,347,1
64,264,228,1
65,460,484,1
66,404,564,1
67,478,117,1
68,574,375,1
69,181,151,1
70,502,431,1
71,392,49,1
72,457,314,0
73,262,545,1
74,261,508,1
75,283,170,1
76,474,36,1
77,39,410,1
78,51,428,1
79,562,509,1
80,527,107,1
81,142,204,1
82,292,458,1
83,413,480,1
84,271,34,1
85,424,78,1
86,429,220,1
87,325,76,1
88,162,85,1
89,563,227,1
90,105,231,1
91,322,341,1
92,267,346,1
93,537,254,1
94,73,316,1
95,441,263,1
96,197,124,1
97,271,273,1
98,403,25,1
99,289,370,1
100,21,426,1
101,539,229,1
102,166,184,1
103,88,454,1
104,201,41,1
105,390,455,1
106,143,262,1
107,448,503,1
108,241,577,1
109,138,298,1
110,23,500,1
111,298,555,1
112,169,22,1
113,369,367,1
114,34,194,1
115,307,524,1
116,158,303,1
117,492,389,1
118,452,26,1
119,417,320,1
120,397,435,1
121,200,421,1
122,541,379,1
123,91,524,1
124,420,551,1
125,530,451,1
126,566,251,1
127,382,482,1
128,111,452,1
129,570,26,1
130,463,532,1
131,488,340,1
132,93,35,1
133,391,294,1
134,296,108,1
135,183,452,1
136,569,555,1
137,482,141,1
138,91,145,1
139,531,472,1
140,29,357,1
141,176,428,1
142,57,48,1
143,158,451,1
144,371,418,1
145,229,268,1
146,117,56,1
147,393,79,1
148,213,562,1
149,91,56,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
