### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,444,148,130.125,0,255,0,0,100,1,1
1,352,241,-177.801,0,255,0,0,100,1,1
2,303,209,-117.627,0,255,0,0,100,1,1
3,407,582,56.0416,0,255,0,0,100,1,1
4,55,468,98.417,0,255,0,0,100,1,1
5,79,100,144.822,0,255,0,0,100,1,1
6,271,165,76.1588,0,255,0,0,100,1,1
7,109,148,19.8315,0,255,0,0,100,1,1
8,409,162,-170.753,0,255,0,0,100,1,1
9,457,248,16.0373,0,255,0,0,100,1,1
10,256,544,-115.676,0,255,0,0,100,1,1
11,71,457,33.9392,0,255,0,0,100,1,1
12,155,380,137.928,0,255,0,0,100,1,1
13,70,353,-128.464,0,255,0,0,100,1,1
14,63,116,51.1057,0,255,0,0,100,1,1
15,219,260,-53.1581,0,255,0,0,100,1,1
16,328,139,-177.941,0,255,0,0,100,1,1
17,201,187,-39.9418,0,255,0,0,100,1,1
18,143,232,67.0105,0,255,0,0,100,1,1
19,345,278,104.013,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,576,271,1
1,346,295,1
2,252,503,1
3,151,188,1
4,207,64,1
5,211,563,1
6,327,439,1
7,289,149,1
8,262,171,1
9,528,88,1
10,201,207,1
11,125,307,1
12,88,320,1
13,450,542,1
14,495,99,1
15,100,490,1
16,261,468,1
17,96,142,1
18,63,271,1
19,339,385,1
20,511,38,1
21,470,74,1
22,512,465,1
23,55,577,1
24,552,224,1
25,399,464,1
26,512,495,1
27,127,335,1
28,342,424,1
29,388,26,1
30,310,45,1
31,93,346,1
32,44,462,1
33,95,190,1
34,544,285,1
35,487,27,1
36,117,512,1
37,26,38,1
38,46,217,1
39,367,105,1
40,109,171,1
41,537,54,1
42,54,330,1
43,213,230,1
44,277,61,1
45,428,524,1
46,540,108,1
47,149,79,1
48,262,373,1
49,494,384,1
50,284,245,1
51,576,567,1
52,527,440,1
53,369,398,1
54,321,182,1
55,567,520,1
56,75,494,1
57,224,179,1
58,123,25,1
59,546,137,1
60,520,519,1
61,414,288,1
62,347,107,1
63,166,168,1
64,22,376,1
65,496,63,1
66,120,229,1
67,455,134,1
68,529,379,1
69,505,220,1
70,152,456,1
71,177,461,1
72,319,313,1
73,254,130,1
74,45,82,1
75,370,560,1
76,492,241,1
77,79,33,1
78,416,231,1
79,491,423,1
80,176,226,1
81,301,349,1
82,209,346,1
83,490,298,1
84,382,298,1
85,226,454,1
86,304,252,1
87,458,363,1
88,244,479,1
89,251,424,1
90,450,241,1
91,494,455,1
92,478,361,1
93,172,21,1
94,262,98,1
95,366,526,1
96,534,322,1
97,295,477,1
98,127,554,1
99,384,383,1
100,297,180,1
101,331,125,1
102,514,417,1
103,219,384,1
104,488,273,1
105,86,553,1
106,553,338,1
107,306,567,1
108,480,557,1
109,563,307,1
110,162,314,1
111,289,506,1
112,455,416,1
113,171,391,1
114,565,357,1
115,173,297,1
116,396,53,1
117,438,272,1
118,356,455,1
119,459,114,1
120,149,549,1
121,206,123,1
122,42,148,1
123,453,483,1
124,438,507,1
125,176,275,1
126,563,547,1
127,417,204,1
128,109,320,1
129,70,408,1
130,558,164,1
131,190,51,1
132,158,524,1
133,141,398,1
134,208,495,1
135,416,454,1
136,260,282,1
137,66,163,1
138,378,319,1
139,312,397,1
140,129,93,1
141,289,117,1
142,568,456,1
143,563,113,1
144,145,577,1
145,534,24,1
146,261,531,1
147,389,352,1
148,189,427,1
149,71,221,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
