### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,546,485,-94.537,0,255,0,0,100,1,1
1,503,160,-138.467,0,255,0,0,100,1,1
2,27,277,105.272,0,255,0,0,100,1,1
3,458,438,-61.1757,0,255,0,0,100,1,1
4,502,96,-41.0327,0,255,0,0,100,1,1
5,414,535,-150.542,0,255,0,0,100,1,1
6,489,119,-70.4244,0,255,0,0,100,1,1
7,322,234,127.976,0,255,0,0,100,1,1
8,49,443,-44.1964,0,255,0,0,100,1,1
9,52,321,155.351,0,255,0,0,100,1,1
10,371,241,-16.5959,0,255,0,0,100,1,1
11,472,72,-34.4061,0,255,0,0,100,1,1
12,109,565,62.9595,0,255,0,0,100,1,1
13,428,302,140.785,0,255,0,0,100,1,1
14,257,187,62.9355,0,255,0,0,100,1,1
15,56,279,-6.14689,0,255,0,0,100,1,1
16,334,430,158.966,0,255,0,0,100,1,1
17,142,321,-169.168,0,255,0,0,100,1,1
18,551,93,21.588,0,255,0,0,100,1,1
19,456,138,-159.799,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,396,429,1
1,100,336,1
2,308,253,1
3,289,523,1
4,315,400,1
5,509,566,1
6,41,445,1
7,372,200,1
8,575,482,1
9,386,113,1
10,418,274,1
11,387,280,1
12,234,245,1
13,99,544,1
14,215,269,1
15,393,259,1
16,348,309,1
17,302,424,1
18,504,221,1
19,267,496,1
20,63,499,1
21,427,167,1
22,235,512,1
23,420,137,1
24,193,330,1
25,198,576,1
26,211,444,1
27,452,101,1
28,68,303,1
29,480,450,1
30,181,230,1
31,159,423,1
32,319,177,1
33,269,195,1
34,496,493,1
35,181,405,1
36,243,215,1
37,449,298,1
38,518,26,1
39,305,88,1
40,220,64,1
41,440,202,1
42,441,513,1
43,33,352,1
44,97,447,1
45,282,345,1
46,81,172,1
47,501,130,1
48,117,378,1
49,130,82,1
50,263,294,1
51,158,282,1
52,182,124,1
53,378,321,1
54,329,82,1
55,239,143,1
56,365,564,1
57,562,331,1
58,67,85,1
59,394,302,1
60,73,456,1
61,127,155,1
62,291,122,1
63,519,82,1
64,241,485,1
65,194,45,1
66,59,557,1
67,389,454,1
68,92,224,1
69,416,99,1
70,554,573,1
71,189,473,1
72,85,68,1
73,19,376,1
74,331,141,1
75,100,196,1
76,178,564,1
77,124,417,1
78,208,520,1
79,26,93,1
80,413,310,1
81,460,370,1
82,293,557,1
83,511,184,1
84,188,542,1
85,540,141,1
86,205,103,1
87,270,418,1
88,36,549,1
89,272,22,1
90,263,48,1
91,45,154,1
92,199,163,1
93,465,500,1
94,466,335,1
95,215,146,1
96,247,363,1
97,397,183,1
98,578,553,1
99,241,388,1
100,469,471,1
101,315,299,1
102,251,419,1
103,569,244,1
104,579,294,1
105,166,361,1
106,315,220,1
107,93,420,1
108,529,411,1
109,494,268,1
110,469,399,1
111,458,151,1
112,358,472,1
113,151,512,1
114,85,95,1
115,108,281,1
116,374,387,1
117,325,450,1
118,213,340,1
119,364,128,1
120,99,473,1
121,43,480,1
122,28,295,1
123,70,477,1
124,407,533,0
125,551,64,1
126,159,27,1
127,275,539,1
128,375,533,1
129,439,539,1
130,292,175,1
131,43,69,1
132,161,142,1
133,527,306,1
134,291,492,1
135,326,272,1
136,381,238,1
137,560,37,1
138,367,165,1
139,536,431,1
140,475,56,1
141,523,488,1
142,532,213,1
143,124,339,1
144,244,320,1
145,415,72,1
146,507,151,1
147,334,326,1
148,560,539,1
149,559,371,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
