### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,249,405,-134.674,0,255,0,0,100,1,1
1,409,50,143.214,0,255,0,0,100,1,1
2,291,327,-137.03,0,255,0,0,100,1,1
3,140,501,-103.875,0,255,0,0,100,1,1
4,295,86,-176.858,0,255,0,0,100,1,1
5,298,290,83.0942,0,255,0,0,100,1,1
6,278,273,134.527,0,255,0,0,100,1,1
7,96,512,-93.0848,0,255,0,0,100,1,1
8,43,88,165.527,0,255,0,0,100,1,1
9,507,100,119.261,0,255,0,0,100,1,1
10,441,26,-44.787,0,255,0,0,100,1,1
11,538,377,172.154,0,255,0,0,100,1,1
12,442,277,3.31723,0,255,0,0,100,1,1
13,438,555,47.7805,0,255,0,0,100,1,1
14,400,175,111.21,0,255,0,0,100,1,1
15,581,399,102.196,0,255,0,0,100,1,1
16,194,516,102.246,0,255,0,0,100,1,1
17,383,50,-45.7638,0,255,0,0,100,1,1
18,168,225,-174.439,0,255,0,0,100,1,1
19,56,45,-85.1806,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,66,520,1
1,110,65,1
2,291,120,1
3,48,495,1
4,274,310,1
5,81,31,1
6,384,136,1
7,445,234,1
8,415,576,1
9,394,259,1
10,425,60,1
11,137,256,1
12,358,207,1
13,229,174,1
14,552,155,1
15,39,203,1
16,101,485,1
17,101,302,1
18,306,259,1
19,414,520,1
20,389,405,1
21,459,277,1
22,114,525,1
23,156,313,1
24,215,249,1
25,397,31,1
26,235,463,1
27,327,120,1
28,505,288,1
29,408,362,1
30,484,517,1
31,19,58,1
32,205,513,1
33,179,242,1
34,400,159,1
35,433,325,1
36,182,313,1
37,276,248,1
38,363,464,1
39,241,99,1
40,563,479,1
41,379,309,1
42,393,379,1
43,385,233,1
44,565,548,1
45,166,483,1
46,573,225,1
47,391,552,1
48,54,105,1
49,204,542,1
50,116,119,1
51,268,535,1
52,266,395,1
53,249,560,1
54,203,475,1
55,327,218,1
56,271,210,1
57,211,27,1
58,519,568,1
59,99,336,1
60,502,471,1
61,357,500,1
62,54,419,1
63,384,207,1
64,96,111,1
65,235,257,1
66,327,450,1
67,206,371,1
68,460,535,1
69,549,88,1
70,203,436,1
71,34,429,1
72,85,280,1
73,251,495,1
74,41,236,1
75,332,552,1
76,550,229,1
77,144,566,1
78,34,326,1
79,434,380,1
80,498,568,1
81,38,379,1
82,276,166,1
83,522,477,1
84,208,218,1
85,537,305,1
86,228,345,1
87,547,134,1
88,230,386,1
89,298,417,1
90,132,206,1
91,86,360,1
92,545,549,1
93,449,341,1
94,550,190,1
95,55,57,1
96,230,543,1
97,451,208,1
98,30,403,1
99,99,375,1
100,67,80,1
101,523,100,1
102,207,191,1
103,101,459,1
104,480,97,1
105,114,218,1
106,57,165,1
107,490,163,1
108,283,93,1
109,464,355,1
110,344,368,1
111,128,418,1
112,452,441,1
113,340,340,1
114,353,104,1
115,24,451,1
116,64,469,1
117,366,27,1
118,142,513,1
119,259,324,1
120,183,519,1
121,454,181,1
122,97,152,1
123,318,194,1
124,193,409,1
125,50,131,1
126,537,328,1
127,286,442,1
128,434,422,1
129,536,353,1
130,416,472,1
131,258,443,1
132,129,474,1
133,183,558,1
134,299,231,1
135,303,353,1
136,358,245,1
137,216,452,1
138,169,351,1
139,463,577,1
140,338,137,1
141,81,257,1
142,469,229,1
143,472,53,1
144,288,192,1
145,573,397,1
146,424,401,1
147,60,343,1
148,356,84,1
149,431,300,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
