### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,438,438,179.803,0,255,0,0,100,1,1
1,355,304,-132.67,0,255,0,0,100,1,1
2,377,456,-81.3902,0,255,0,0,100,1,1
3,409,160,117.742,0,255,0,0,100,1,1
4,110,479,41.7402,0,255,0,0,100,1,1
5,97,317,36.4397,0,255,0,0,100,1,1
6,454,237,132.18,0,255,0,0,100,1,1
7,450,468,155.924,0,255,0,0,100,1,1
8,280,45,4.78771,0,255,0,0,100,1,1
9,146,288,149.213,0,255,0,0,100,1,1
10,270,524,-25.9826,0,255,0,0,100,1,1
11,418,539,84.3971,0,255,0,0,100,1,1
12,81,150,-43.5956,0,255,0,0,100,1,1
13,569,407,-79.3305,0,255,0,0,100,1,1
14,339,425,-36.0489,0,255,0,0,100,1,1
15,437,416,-127.398,0,255,0,0,100,1,1
16,36,326,-10.2972,0,255,0,0,100,1,1
17,435,197,-155.69,0,255,0,0,100,1,1
18,212,99,-175.588,0,255,0,0,100,1,1
19,255,36,-176.38,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,172,43,1
1,526,219,1
2,577,173,1
3,35,366,1
4,194,348,1
5,472,541,1
6,337,299,1
7,399,542,1
8,506,298,1
9,285,430,1
10,478,227,1
11,513,407,1
12,34,110,1
13,364,566,1
14,427,110,1
15,367,284,1
16,387,514,1
17,48,292,1
18,162,259,1
19,237,233,1
20,40,389,1
21,500,564,1
22,484,189,1
23,218,492,1
24,78,403,1
25,428,316,1
26,309,35,1
27,560,382,1
28,491,423,1
29,553,234,1
30,241,502,1
31,273,347,1
32,320,224,1
33,142,373,1
34,26,28,1
35,154,56,1
36,372,244,1
37,41,178,1
38,235,67,1
39,137,414,1
40,167,569,1
41,157,469,1
42,485,155,1
43,440,551,1
44,290,50,0
45,159,128,1
46,481,360,1
47,35,148,1
48,188,159,1
49,226,278,1
50,522,179,1
51,104,154,1
52,103,493,1
53,396,462,1
54,251,119,1
55,427,46,1
56,258,573,1
57,94,199,1
58,447,318,1
59,182,187,1
60,22,519,1
61,74,328,1
62,361,340,1
63,428,424,1
64,359,27,1
65,154,218,1
66,389,416,1
67,186,547,1
68,169,413,1
69,296,257,1
70,571,399,1
71,246,144,1
72,372,493,1
73,100,425,1
74,223,540,1
75,361,80,1
76,475,521,1
77,255,302,1
78,396,144,1
79,417,202,1
80,280,480,1
81,405,356,1
82,279,232,1
83,368,456,1
84,555,78,1
85,212,145,1
86,478,396,1
87,157,152,1
88,213,29,1
89,125,484,1
90,477,98,1
91,91,459,1
92,81,374,1
93,571,244,1
94,221,373,1
95,469,24,1
96,361,165,1
97,444,371,1
98,448,494,1
99,343,142,1
100,343,381,1
101,469,167,1
102,106,28,1
103,491,279,1
104,254,382,1
105,149,315,1
106,187,426,1
107,465,480,1
108,311,379,1
109,565,39,1
110,402,22,1
111,566,557,1
112,330,361,1
113,526,489,1
114,382,326,1
115,77,355,1
116,208,314,1
117,453,568,1
118,446,530,1
119,503,445,1
120,510,53,1
121,95,85,1
122,304,440,1
123,33,77,1
124,146,27,1
125,131,330,1
126,344,410,1
127,492,72,1
128,502,524,1
129,130,438,1
130,142,537,1
131,168,236,1
132,204,397,1
133,77,516,1
134,157,521,1
135,577,505,1
136,54,408,1
137,299,411,1
138,567,344,1
139,49,566,1
140,336,535,1
141,306,68,1
142,235,481,1
143,303,349,1
144,194,453,1
145,113,285,1
146,581,209,1
147,62,37,1
148,281,512,1
149,317,132,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
