### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,153,282,49.8149,0,255,0,0,100,1,1
1,159,507,90.927,0,255,0,0,100,1,1
2,147,553,-51.144,0,255,0,0,100,1,1
3,331,306,-161.917,0,255,0,0,100,1,1
4,505,121,2.25515,0,255,0,0,100,1,1
5,17,518,19.5875,0,255,0,0,100,1,1
6,447,228,24.367,0,255,0,0,100,1,1
7,376,244,-24.2744,0,255,0,0,100,1,1
8,326,236,100.314,0,255,0,0,100,1,1
9,411,384,-68.0464,0,255,0,0,100,1,1
10,326,72,34.4222,0,255,0,0,100,1,1
11,547,526,85.7382,0,255,0,0,100,1,1
12,567,333,-155.6,0,255,0,0,100,1,1
13,67,106,21.3821,0,255,0,0,100,1,1
14,430,308,24.7763,0,255,0,0,100,1,1
15,445,358,12.2344,0,255,0,0,100,1,1
16,111,390,151.876,0,255,0,0,100,1,1
17,443,435,55.9714,0,255,0,0,100,1,1
18,388,383,51.2555,0,255,0,0,100,1,1
19,433,194,49.3328,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,575,83,1
1,439,74,1
2,329,118,1
3,314,489,1
4,521,498,1
5,452,91,1
6,386,512,1
7,72,540,1
8,62,62,1
9,581,493,1
10,247,557,1
11,193,68,1
12,444,311,1
13,553,457,1
14,230,542,1
15,296,46,1
16,192,252,1
17,152,116,1
18,573,114,1
19,257,521,1
20,235,403,1
21,34,348,1
22,580,297,1
23,299,178,1
24,573,408,1
25,349,518,1
26,438,496,1
27,494,118,1
28,544,185,1
29,391,200,1
30,424,160,1
31,569,522,1
32,55,200,1
33,110,400,1
34,426,288,1
35,180,84,1
36,479,352,1
37,502,140,1
38,223,272,1
39,207,213,1
40,541,567,1
41,301,473,1
42,153,492,1
43,392,550,1
44,56,504,1
45,215,299,1
46,212,188,1
47,233,253,1
48,378,411,1
49,533,104,1
50,551,267,1
51,257,212,1
52,176,199,1
53,237,308,1
54,545,71,1
55,210,575,1
56,345,318,1
57,340,481,1
58,175,386,1
59,517,196,1
60,56,343,1
61,153,152,1
62,535,314,1
63,450,122,1
64,92,61,1
65,85,405,1
66,575,31,1
67,280,470,1
68,94,327,1
69,109,528,1
70,263,64,1
71,219,339,1
72,325,308,1
73,503,321,1
74,558,353,1
75,492,292,1
76,129,207,1
77,391,89,1
78,176,493,1
79,201,477,1
80,27,479,1
81,566,201,1
82,422,447,1
83,85,160,1
84,127,493,1
85,309,266,1
86,366,271,1
87,66,278,1
88,500,181,1
89,485,161,1
90,320,415,1
91,391,119,1
92,328,83,0
93,433,516,1
94,502,432,1
95,295,238,1
96,540,292,1
97,362,448,1
98,489,261,1
99,155,234,1
100,19,191,1
101,354,392,1
102,131,144,1
103,423,196,1
104,297,378,1
105,556,142,1
106,534,443,1
107,172,160,1
108,383,296,1
109,107,171,1
110,96,433,1
111,288,523,1
112,56,249,1
113,537,378,1
114,117,257,1
115,48,171,1
116,413,32,1
117,361,297,1
118,531,253,1
119,307,396,1
120,93,301,1
121,432,335,1
122,97,510,1
123,510,245,1
124,160,182,1
125,253,32,1
126,76,345,1
127,190,352,1
128,548,511,1
129,200,120,1
130,263,448,1
131,417,471,1
132,131,360,1
133,140,536,1
134,243,491,1
135,480,477,1
136,363,167,1
137,398,574,1
138,38,259,1
139,377,152,1
140,388,177,1
141,177,46,1
142,522,79,1
143,28,544,1
144,531,47,1
145,270,240,1
146,413,423,1
147,288,82,1
148,111,221,1
149,406,249,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
