### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,429,131,-13.6493,0,255,0,0,100,1,1
1,129,291,-160.199,0,255,0,0,100,1,1
2,563,477,-48.9532,0,255,0,0,100,1,1
3,208,355,-169.86,0,255,0,0,100,1,1
4,67,525,131.088,0,255,0,0,100,1,1
5,197,18,163.01,0,255,0,0,100,1,1
6,266,320,-125.297,0,255,0,0,100,1,1
7,538,408,-143.634,0,255,0,0,100,1,1
8,185,311,-82.9206,0,255,0,0,100,1,1
9,498,149,6.00744,0,255,0,0,100,1,1
10,382,194,134.668,0,255,0,0,100,1,1
11,95,442,131.84,0,255,0,0,100,1,1
12,149,53,167.891,0,255,0,0,100,1,1
13,276,345,86.9806,0,255,0,0,100,1,1
14,270,275,-31.7029,0,255,0,0,100,1,1
15,78,501,-65.9686,0,255,0,0,100,1,1
16,482,24,26.8623,0,255,0,0,100,1,1
17,499,432,-52.6733,0,255,0,0,100,1,1
18,152,260,70.319,0,255,0,0,100,1,1
19,274,503,-75.3435,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,410,566,1
1,312,511,1
2,404,220,1
3,500,169,1
4,534,382,1
5,119,59,1
6,560,330,1
7,388,481,1
8,95,461,1
9,563,176,1
10,36,400,1
11,456,199,1
12,271,538,1
13,512,525,1
14,205,470,1
15,411,21,1
16,158,568,1
17,340,61,1
18,124,440,1
19,515,144,1
20,63,451,1
21,260,560,1
22,163,86,1
23,24,139,1
24,303,190,1
25,122,481,1
26,390,400,1
27,319,417,1
28,262,175,1
29,287,486,1
30,140,559,1
31,200,386,1
32,456,247,1
33,313,321,1
34,515,548,1
35,73,33,1
36,568,507,1
37,492,250,1
38,130,421,1
39,169,67,1
40,302,461,1
41,492,354,1
42,343,239,1
43,512,434,1
44,245,480,1
45,138,175,1
46,278,368,1
47,305,128,1
48,219,553,1
49,107,336,1
50,40,345,1
51,193,251,1
52,424,102,1
53,453,321,1
54,422,280,1
55,20,546,1
56,70,143,1
57,178,368,1
58,344,191,1
59,58,312,1
60,32,510,1
61,183,212,1
62,26,449,1
63,570,529,1
64,287,516,1
65,234,202,1
66,365,394,1
67,332,455,1
68,459,299,1
69,533,79,1
70,184,420,1
71,497,501,1
72,105,395,1
73,430,471,1
74,456,360,1
75,475,398,1
76,468,427,1
77,443,28,1
78,569,377,1
79,574,298,1
80,176,333,1
81,340,573,1
82,551,267,1
83,208,331,1
84,220,576,1
85,317,539,1
86,492,206,1
87,78,327,1
88,368,545,1
89,248,319,1
90,354,345,1
91,435,304,1
92,453,275,1
93,74,56,1
94,483,486,1
95,208,205,1
96,391,567,1
97,86,381,1
98,439,414,1
99,135,532,1
100,421,132,1
101,289,233,1
102,123,229,1
103,68,275,1
104,359,464,1
105,162,548,1
106,358,494,1
107,207,421,1
108,135,505,1
109,520,173,1
110,567,147,1
111,19,429,1
112,446,74,1
113,259,221,1
114,248,411,1
115,282,165,1
116,340,317,1
117,203,152,1
118,394,444,1
119,416,321,1
120,395,191,1
121,425,249,1
122,57,165,1
123,544,457,1
124,480,274,1
125,324,338,1
126,170,243,1
127,332,32,1
128,518,65,1
129,63,555,1
130,173,465,1
131,339,126,1
132,143,436,1
133,58,361,1
134,113,503,1
135,68,429,1
136,100,99,1
137,94,304,1
138,386,349,1
139,427,72,1
140,459,163,1
141,152,228,1
142,129,251,1
143,279,130,1
144,447,126,1
145,200,551,1
146,375,513,1
147,549,420,1
148,300,367,1
149,25,62,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
