### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,10,182,-168.279,0,255,0,0,100,1,1
1,194,181,131.629,0,255,0,0,100,1,1
2,542,510,5.48987,0,255,0,0,100,1,1
3,517,505,175.227,0,255,0,0,100,1,1
4,301,333,85.3987,0,255,0,0,100,1,1
5,539,146,-0.694767,0,255,0,0,100,1,1
6,72,34,126.618,0,255,0,0,100,1,1
7,74,106,73.1135,0,255,0,0,100,1,1
8,197,172,61.9852,0,255,0,0,100,1,1
9,205,392,-33.2126,0,255,0,0,100,1,1
10,337,577,-23.6933,0,255,0,0,100,1,1
11,264,421,-135.801,0,255,0,0,100,1,1
12,97,424,96.5584,0,255,0,0,100,1,1
13,418,546,-139.676,0,255,0,0,100,1,1
14,293,117,-177.865,0,255,0,0,100,1,1
15,382,298,-62.8687,0,255,0,0,100,1,1
16,104,143,-108.591,0,255,0,0,100,1,1
17,246,177,-62.6226,0,255,0,0,100,1,1
18,569,445,0.734167,0,255,0,0,100,1,1
19,416,356,65.9275,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,524,445,1
1,399,508,1
2,107,518,1
3,330,434,1
4,498,47,1
5,413,142,1
6,374,337,1
7,199,417,1
8,305,324,1
9,206,475,1
10,225,171,1
11,249,139,1
12,381,130,1
13,180,280,1
14,75,301,1
15,27,476,1
16,401,303,1
17,165,312,1
18,302,220,1
19,315,479,1
20,262,565,1
21,137,490,1
22,413,39,1
23,390,260,1
24,397,234,1
25,477,319,1
26,49,474,1
27,37,577,1
28,337,21,1
29,293,139,1
30,120,210,1
31,356,358,1
32,316,108,1
33,178,175,1
34,213,133,1
35,292,431,1
36,174,400,1
37,292,461,1
38,48,519,1
39,273,407,1
40,542,459,1
41,53,106,1
42,39,66,1
43,315,44,1
44,376,388,1
45,506,541,1
46,575,431,1
47,63,546,1
48,553,159,1
49,189,549,1
50,519,473,1
51,181,91,1
52,167,564,1
53,545,559,1
54,496,216,1
55,301,24,1
56,518,190,1
57,208,82,1
58,384,461,1
59,137,544,1
60,348,232,1
61,95,91,1
62,278,270,1
63,425,536,1
64,153,275,1
65,40,298,1
66,562,473,1
67,361,43,1
68,478,82,1
69,570,373,1
70,284,84,1
71,284,348,1
72,457,52,1
73,217,376,1
74,246,346,1
75,450,352,1
76,525,139,1
77,544,67,1
78,445,118,1
79,90,117,1
80,497,27,1
81,295,542,1
82,283,382,1
83,113,67,1
84,320,263,1
85,485,299,1
86,550,435,1
87,549,292,1
88,572,571,1
89,231,310,1
90,211,540,1
91,428,436,1
92,338,537,1
93,371,251,1
94,577,411,1
95,479,421,1
96,576,67,1
97,403,382,1
98,559,210,1
99,328,165,1
100,307,164,1
101,214,445,1
102,128,158,1
103,218,190,1
104,310,571,1
105,511,171,1
106,256,454,1
107,474,34,1
108,579,495,1
109,218,414,1
110,455,259,1
111,470,342,1
112,392,545,1
113,409,270,1
114,71,23,1
115,184,197,1
116,336,211,1
117,480,494,1
118,143,104,1
119,249,162,1
120,440,162,1
121,210,512,1
122,193,65,1
123,482,148,1
124,451,289,1
125,418,122,1
126,506,285,1
127,33,391,1
128,245,253,1
129,428,499,1
130,450,21,1
131,316,390,1
132,74,389,1
133,110,473,1
134,520,47,1
135,581,203,1
136,262,536,1
137,434,264,1
138,387,56,1
139,27,547,1
140,440,79,1
141,118,453,1
142,499,115,1
143,476,375,1
144,342,474,1
145,365,577,1
146,356,96,1
147,96,234,1
148,411,167,1
149,538,364,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
