### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,542,164,-67.2405,0,255,0,0,100,1,1
1,35,378,143.891,0,255,0,0,100,1,1
2,202,569,-127.699,0,255,0,0,100,1,1
3,558,385,-19.0329,0,255,0,0,100,1,1
4,516,547,-59.6632,0,255,0,0,100,1,1
5,567,117,60.1795,0,255,0,0,100,1,1
6,231,382,70.9563,0,255,0,0,100,1,1
7,226,255,100.545,0,255,0,0,100,1,1
8,81,515,54.7419,0,255,0,0,100,1,1
9,555,71,-86.126,0,255,0,0,100,1,1
10,289,273,97.0937,0,255,0,0,100,1,1
11,427,51,-108.48,0,255,0,0,100,1,1
12,518,557,-178.627,0,255,0,0,100,1,1
13,50,400,-21.6894,0,255,0,0,100,1,1
14,553,582,70.7647,0,255,0,0,100,1,1
15,349,31,-166.185,0,255,0,0,100,1,1
16,417,357,149.866,0,255,0,0,100,1,1
17,200,505,80.0573,0,255,0,0,100,1,1
18,500,88,-124.495,0,255,0,0,100,1,1
19,90,508,11.6368,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,549,428,1
1,357,284,1
2,560,558,1
3,573,442,1
4,184,276,1
5,112,101,1
6,287,304,1
7,541,209,1
8,168,483,1
9,411,89,1
10,525,64,1
11,236,270,1
12,20,316,1
13,287,101,1
14,365,141,1
15,25,158,1
16,65,93,1
17,360,246,1
18,51,164,1
19,302,209,1
20,419,377,1
21,423,497,1
22,572,169,1
23,48,222,1
24,385,485,1
25,57,291,1
26,429,346,1
27,384,240,1
28,483,542,1
29,167,236,1
30,20,546,1
31,387,29,1
32,149,372,1
33,304,28,1
34,208,315,1
35,96,469,1
36,577,65,1
37,317,308,1
38,208,32,1
39,388,543,1
40,102,57,1
41,292,256,1
42,261,361,1
43,170,76,1
44,35,247,1
45,299,443,1
46,147,33,1
47,223,360,1
48,264,149,1
49,127,340,1
50,510,467,1
51,471,355,1
52,276,339,1
53,445,399,1
54,502,503,1
55,114,128,1
56,184,182,1
57,165,287,1
58,405,553,1
59,40,349,1
60,546,268,1
61,71,396,1
62,384,458,1
63,481,205,1
64,550,394,1
65,478,274,1
66,80,187,1
67,79,259,1
68,546,456,1
69,363,91,1
70,208,439,1
71,55,534,1
72,122,283,1
73,552,233,1
74,508,394,1
75,407,260,1
76,44,306,1
77,342,475,1
78,412,110,1
79,541,156,1
80,281,132,1
81,393,214,1
82,261,422,1
83,98,306,1
84,67,449,1
85,110,366,1
86,198,140,1
87,192,535,1
88,300,124,1
89,477,81,1
90,420,568,1
91,245,176,1
92,31,488,1
93,184,247,1
94,568,100,1
95,474,126,1
96,195,570,0
97,460,98,1
98,343,269,1
99,332,83,1
100,243,330,1
101,260,31,1
102,576,244,1
103,223,140,1
104,501,36,1
105,29,381,0
106,403,498,1
107,349,496,1
108,519,446,1
109,195,484,1
110,252,65,1
111,328,51,1
112,562,520,1
113,309,420,1
114,437,100,1
115,408,141,1
116,41,118,1
117,439,220,1
118,139,209,1
119,533,88,1
120,379,73,1
121,172,534,1
122,295,472,1
123,579,217,1
124,144,96,1
125,311,189,1
126,522,489,1
127,21,435,1
128,484,438,1
129,37,406,1
130,260,516,1
131,480,388,1
132,257,251,1
133,497,68,1
134,308,48,1
135,255,492,1
136,323,484,1
137,242,374,1
138,338,521,1
139,580,416,1
140,467,453,1
141,74,121,1
142,137,444,1
143,471,240,1
144,455,42,1
145,562,343,1
146,496,344,1
147,245,457,1
148,353,547,1
149,392,275,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
