### ### ###
### Full logger

### ### ###
#
#
# Robots
#
# id, x, y, orientation, groupId, LED_redValue, LED_greenValue, LED_blueValue, energyLevel, isAlive, isRegistered
#
#
0,102,454,-153.27,0,255,0,0,100,1,1
1,285,490,-60.2155,0,255,0,0,100,1,1
2,569,248,119.915,0,255,0,0,100,1,1
3,342,551,8.79764,0,255,0,0,100,1,1
4,283,185,126.826,0,255,0,0,100,1,1
5,278,288,108.657,0,255,0,0,100,1,1
6,582,315,-62.312,0,255,0,0,100,1,1
7,109,41,28.2962,0,255,0,0,100,1,1
8,565,413,-9.50968,0,255,0,0,100,1,1
9,190,401,-85.5262,0,255,0,0,100,1,1
10,104,412,1.90635,0,255,0,0,100,1,1
11,586,117,-7.51089,0,255,0,0,100,1,1
12,203,567,-82.7618,0,255,0,0,100,1,1
13,197,444,-164.268,0,255,0,0,100,1,1
14,340,78,-82.748,0,255,0,0,100,1,1
15,108,352,-4.10516,0,255,0,0,100,1,1
16,344,296,-75.0027,0,255,0,0,100,1,1
17,398,297,118.825,0,255,0,0,100,1,1
18,236,17,89.8484,0,255,0,0,100,1,1
19,270,490,-160.537,0,255,0,0,100,1,1
### ### ###
#
# Physical Objects
#
# id, x, y, isVisible
#
#
0,233,505,1
1,194,457,1
2,321,460,1
3,312,276,1
4,479,130,1
5,42,469,1
6,567,163,1
7,408,22,1
8,410,368,1
9,120,432,1
10,425,327,1
11,118,124,1
12,557,61,1
13,330,112,1
14,402,147,1
15,528,279,1
16,320,310,1
17,489,352,1
18,239,34,1
19,377,570,1
20,375,251,1
21,299,136,1
22,60,426,1
23,185,146,1
24,304,411,1
25,205,522,1
26,204,422,1
27,299,212,1
28,426,536,1
29,561,441,1
30,486,108,1
31,226,381,1
32,529,346,1
33,219,51,1
34,433,227,1
35,338,28,1
36,224,554,1
37,159,378,1
38,461,570,1
39,59,212,1
40,167,230,1
41,290,116,1
42,209,174,1
43,454,466,1
44,498,68,1
45,271,170,1
46,499,141,1
47,399,331,1
48,132,498,1
49,217,484,1
50,454,253,1
51,114,543,1
52,463,529,1
53,354,528,1
54,176,97,1
55,389,91,1
56,520,244,1
57,534,83,1
58,444,501,1
59,453,342,1
60,413,571,1
61,373,369,1
62,536,457,1
63,164,200,1
64,405,231,1
65,19,201,1
66,471,478,1
67,288,515,1
68,129,462,1
69,271,409,1
70,337,205,1
71,544,360,1
72,241,282,1
73,81,310,1
74,146,312,1
75,394,287,1
76,280,300,1
77,186,562,1
78,421,461,1
79,371,410,1
80,571,381,1
81,122,170,1
82,445,291,1
83,128,211,1
84,453,221,1
85,428,61,1
86,200,74,1
87,557,144,1
88,475,234,1
89,332,370,1
90,533,222,1
91,236,258,1
92,457,438,1
93,329,542,1
94,318,159,1
95,148,571,1
96,149,249,1
97,375,202,1
98,126,298,1
99,38,561,1
100,111,27,1
101,579,144,1
102,146,345,1
103,331,517,1
104,40,113,1
105,265,547,1
106,261,190,1
107,378,118,1
108,65,66,1
109,19,308,1
110,126,45,1
111,465,21,1
112,361,435,1
113,219,352,1
114,498,181,1
115,410,552,1
116,160,506,1
117,181,188,1
118,483,48,1
119,382,517,1
120,130,75,1
121,226,449,1
122,423,154,1
123,486,264,1
124,291,72,1
125,344,290,1
126,141,186,1
127,407,493,1
128,528,568,1
129,249,208,1
130,567,527,1
131,494,316,1
132,51,158,1
133,227,428,1
134,429,93,1
135,178,302,1
136,81,454,1
137,328,574,1
138,259,99,1
139,299,561,1
140,26,285,1
141,78,563,1
142,154,531,1
143,238,330,1
144,328,225,1
145,384,44,1
146,33,500,1
147,360,109,1
148,94,280,1
149,508,485,1
### ### ###
#
# Landmarks
#
# id, x, y
#
#
